custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,"Barclays Maintains Overweight on Agilent Technologies, Raises Price Target to $83",1,increase,0.8,0.4,,127,340,2.0
1,AGILENT TECHNOLOGIES INC,"UPDATE: Agilent Raises FY19 Adj. EPS Guidance From $3-$3.05 To $3.03-$3.07 vs $3.05 Estimate, Sales From $5.13B-$5.17B To $5.15B-$5.19B vs $5.17B Est.",1,increase,0.8,0.2,,173,404,2.0
2,AGILENT TECHNOLOGIES INC,"Agilent Sees Q2 Adj. EPS $0.70-$0.72 vs $0.72 Estimate, Sales $1.255B-$1.27B vs $1.27B Est.; Raises FY19 Guidance",1,increase,0.7,0.3,,156,404,2.0
3,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q1 EPS $0.76 Beats $0.73 Estimate, Sales $1.284B Beat $1.27B Estimate",1,increase,0.8,0.3,,139,468,2.0
4,AGILENT TECHNOLOGIES INC,"Deutsche Bank Maintains Buy on Agilent Technologies, Raises Price Target to $85",1,,,,,126,274,
5,ALTISOURCE ASSET MANAGEMENT CORP,Peabody Declares Supplemental Cash Dividend Of $1.85/Share To Augment $1.5B Buyback,1,uncertain,0.9,0.0,,136,533,1.0
6,ALTISOURCE ASSET MANAGEMENT CORP,"Altisource Asset Management Q4 EPS $(2.69) Down From $(1.15) YoY, Sales $4.02M Down From $4.08M YoY",1,decrease,0.8,0.6,,149,405,0.0
7,APPLIED OPTOELECTRONICS INC,"UPDATE: DA Davidson Downgrades Applied Optoelectronics As Firm Notes 'With inventory levels growing at data center customers, visibility to overall revenue growth is muted",1,decrease,0.8,0.6,,145,405,0.0
8,APPLIED OPTOELECTRONICS INC,Needham Downgrades Applied Optoelectronics to Hold,1,decrease,0.8,0.4,,125,469,0.0
9,APPLIED OPTOELECTRONICS INC,"DA Davidson: Near-Term Applied Optoelectronics Outlook Blurred By Inventory Congestion, China Weakness",1,decrease,0.9,0.6,,134,405,0.0
10,APPLIED OPTOELECTRONICS INC,"DA Davidson Downgrades Applied Optoelectronics to Neutral, Lowers Price Target to $16",1,decrease,0.8,0.4,,133,405,0.0
11,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Sees Q1 Sales $50M-$55M vs $64.6M Estimate,1,decrease,0.8,0.7,,136,405,0.0
12,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Q4 EPS $(0.02) Beats $(0.04) Estimate, Sales $58.9M Miss $60.28M Estimate",1,,,,,147,403,
13,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Q4 Earnings Preview,1,uncertain,0.6,0.3,,122,277,1.0
14,AAON INC,"AAON Q4 EPS $0.24 Misses $0.28 Estimate, Sales $112.3M Beat $108.61M Estimate",1,decrease,0.7,0.4,,131,405,0.0
15,ADVANCE AUTO PARTS INC,Advanced Auto Parts shares are trading higher in sympathy with AutoZone after AutoZone reported strong Q2 earnings.,1,increase,0.7,0.4,,127,404,2.0
16,ADVANCE AUTO PARTS INC,Morgan Stanley Maintains Overweight On Advance Auto As Firm Notes Co. 'has one of the largest margin opportunities in retail'; While '2019 margin guidance of 20-60 bps is a disappointment relative to the bull case but is a step in the right direction',1,increase,0.8,0.4,,161,404,2.0
17,ADVANCE AUTO PARTS INC,"Advance Auto Parts shares are trading higher after the company reported Q4 EPS of $1.17, beating the $1.14 consensus estimate.",1,increase,0.8,0.2,,135,340,2.0
18,ADVANCE AUTO PARTS INC,Advanced Auto Parts Sees FY19 Sales $9.65B-$9.80B vs $9.78B Est.,1,decrease,0.7,0.2,,132,469,0.0
19,ADVANCE AUTO PARTS INC,"Advance Auto Parts Q4 Adj. EPS $1.17 Beats $1.14 Estimate, Sales $2.105B Miss $2.11B Estimate",1,increase,0.7,0.2,,139,404,2.0
20,ALLIANCEBERNSTEIN HOLDING L P,"AllianceBernstein Q4 Adj. EPS $0.64, Inline, Sales $804.66M Beat $706.19M Estimate",1,increase,0.8,0.5,,145,468,2.0
21,ALLIANCEBERNSTEIN HOLDING L P,AllianceBernstein Q4 Earnings Outlook,1,uncertain,0.2,0.2,,124,277,1.0
22,ABBVIE INC,Abbvie And Voyager Earlier Announced Parkinson's Collaboration With AbbVie; Voyager Will Receive $65M Upfront And Up To $245M In Preclinical And Phase 1 Option Payments,1,increase,0.6,0.2,,140,532,2.0
23,ABBVIE INC,Voyager Therapeutics And AbbVie Announce Collaboration To Develop Vectorized Antibodies For Parkinson's Disease And Other Synucleinopathies; Voyager To Receiver $65M Upfront And Up To $245M In Preclinical Phase 1 Option Payments,1,increase,0.6,0.1,,154,531,2.0
24,ABBVIE INC,"Morgan Stanley Expects A Verdict On Amgen Vs. Sandoz Enbrel IP Litigation In 1Q19; Firm Estimates 'ABBV could be down 6–8% if the ruling is against Amgen, up 1–2% if it's for Amgen, and ~0% if there is a settlement'",1,decrease,0.8,0.3,,170,597,0.0
25,ABBVIE INC,AbbVie Reports HUMIRA Approved By Health Canada To Treat Pediatric Patients With Chronic Non-Infectious Anterior Uveitis,1,increase,0.7,0.2,,127,404,2.0
26,ABBVIE INC,AbbVie Reports New Drug Application Accepted For Priority Review By FDA For Upadacitinib For Treatment Of Moderate To Severe Rheumatoid Arthritis,1,increase,0.8,0.3,,130,468,2.0
27,ABBVIE INC,AbbVie to Collaborate with Teneobio to Develop and Commercialize an Immunotherapeutic for the Treatment of Multiple Myeloma,1,increase,0.7,0.2,,130,276,2.0
28,ASBURY AUTOMOTIVE GROUP INC,"JP Morgan Initiates Coverage On Asbury Automotive Group with Neutral Rating, Announces $82 Price Target",1,uncertain,0.6,0.2,,130,277,1.0
29,ASBURY AUTOMOTIVE GROUP INC,"Asbury Automotive Group Q4 Adj. EPS $2.20 Beats $2.05 Estimate, Sales $1.784B Beat $1.73B Estimate",1,,,,,144,274,
30,A B M INDUSTRIES INC,Maxim Group Initiates Coverage On ABM Industries with Buy Rating,1,increase,0.8,0.4,,120,212,2.0
31,ARBOR REALTY TRUST INC,"Arbor Realty Trust Q4 EPS $0.29 Beats $0.28 Estimate, Sales $30.36M Beat $25.9M Estimate",1,increase,0.8,0.4,,138,404,2.0
32,ACADIA PHARMACEUTICALS,"ACADIA Pharmaceuticals Inc Q4 EPS $(0.50) Beats $(0.55) Estimate, Sales $59.571M Beat $59.46M Estimate",1,increase,0.6,0.2,,147,468,2.0
33,ACADIA PHARMACEUTICALS,ACADIA Pharmaceuticals Sees FY19 NUPLAZID Sales $275M-$300M vs $297.15M Est.,1,decrease,0.7,0.2,,140,405,0.0
34,ACADIA PHARMACEUTICALS,"ACADIA Pharmaceuticals Inc Q4 EPS $(0.50) Beats $(0.55) Estimate, Sales $59.57M Beat $59.46M Estimate",1,increase,0.7,0.2,,147,340,2.0
35,A C C O BRANDS CORP,"ACCO Brands Sees FY19 Adj. EPS $1.10-$1.20 vs $1.30 Est., Sales Down 3% To Flat",1,decrease,0.8,0.6,,143,341,0.0
36,A C C O BRANDS CORP,"ACCO Brands Q4 Adj. EPS $0.41 Misses $0.43 Estimate, Sales $529.3M Miss $553.36M Estimate",1,decrease,0.8,0.6,,144,405,0.0
