custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
3246,ASTRAZENECA PLC,"Fasenra Approved in the US for Self-administration in a New Pre-filled Auto-injector, the Fasenra Pen",8,positive,0.9,0.8,"the news is positive because it highlights regulatory success, product innovation, and increased patient convenience.",150,301,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3254,BANK OF AMERICA CORP,"Morgan Stanley Maintains Overweight on Bank of America, Lowers Price Target to $31",8,neutral,0.9,0.5,the news is neutral as morgan stanley maintains an 'overweight' rating (positive) but lowers the price target to $31 (negative).,142,356,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3262,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (5) near the Ask: 620 @ $0.398 vs 640 OI; Ref=$21.24,8,positive,0.8,0.7,"the purchase of call options near the ask price in a sweep order indicates bullish sentiment, suggesting that investors expect the stock price to rise.",159,395,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3270,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (18) near the Ask: 600 @ $0.4 vs 640 OI; Ref=$21.2,8,positive,0.8,0.6,"the purchase of call options at a strike price above the current stock price indicates bullish sentiment, suggesting investors expect the stock price to rise.",159,337,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3278,BANK OF NEW YORK MELLON CORP,"Morgan Stanley Maintains Underweight on Bank of New York Mellon, Lowers Price Target to $40",8,negative,0.9,0.8,maintaining an 'underweight' rating and lowering the price target both indicate a negative outlook on the stock's future performance.,150,244,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3286,BURLINGTON STORES INC,Canada Goose Holdings Get Small Spike As Traders Circulate Unconfirmed Chatter Indicating Burlington Stores Has Approached The Company With An M&A Offer,8,positive,0.7,0.6,"the news suggests potential growth and expansion for burlington stores through an m&a offer, which is generally positive, but the information is unconfirmed.",152,367,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3294,FIRST BUSEY CORP,"B. Riley Maintains Neutral on First Busey, Lowers Price Target to $27",8,neutral,0.7,0.3,"the headline indicates that b. riley maintains a neutral stance on first busey but lowers the price target, which suggests a mixed sentiment with no strong positive or negative bias.",143,74,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3302,BLACKSTONE INC,Jon Najarian Sees Unusual Options Activity In Blackstone And Luckin Coffee,8,neutral,0.8,0.5,"the headline mentions unusual options activity, which is informative but does not provide a clear positive or negative sentiment about blackstone.",134,372,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3310,C F INDUSTRIES HOLDINGS INC,"Stifel Nicolaus Maintains Hold on CF Industries Holdings, Lowers Price Target to $46",8,negative,0.8,0.6,"the news is negative because stifel nicolaus lowered the price target for cf industries holdings, indicating a less optimistic view of the company's future performance.",145,305,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3318,CHEGG INC,"BMO Capital Maintains Outperform on Chegg, Lowers Price Target to $35",8,neutral,0.6,0.4,"the news is mixed: maintaining an 'outperform' rating is positive, but lowering the price target is negative.",136,267,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3326,COHERUS BIOSCIENCES INC,Coherus Biosciences shares are trading higher. Not seeing any news to justify price action.,8,positive,0.8,0.6,"the shares of coherus biosciences are trading higher, indicating positive investor sentiment, despite the absence of specific news.",145,264,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3334,CHARTER COMMUNICATIONS INC NEW,Charter Communications shares are trading higher after KeyBanc upgraded the stock from Sector Weight to Overweight and announced a price target of $515 per share.,8,positive,0.9,0.8,"the news is positive because an upgrade from keybanc to overweight and a price target increase to $515 per share typically indicates confidence in the company's future performance, leading to higher share prices.",158,78,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3342,CHARTER COMMUNICATIONS INC NEW,"KeyBanc Upgrades Charter Communications On Price Hike, Broadband Potential",8,positive,0.9,0.8,"the news is positive because keybanc upgraded charter communications based on a price hike and broadband potential, indicating strong future performance.",142,281,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3350,CHARTER COMMUNICATIONS INC NEW,"Citigroup Maintains Buy on Charter Communications, Raises Price Target to $483",8,positive,0.9,0.8,"the news is positive because citigroup maintained a 'buy' rating and raised the price target for charter communications, indicating confidence in the company's future performance.",143,69,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3358,CHARTER COMMUNICATIONS INC NEW,"KeyBanc Upgrades Charter Communications to Overweight, Announces $515 Price Target",8,positive,0.9,0.8,the upgrade to 'overweight' and the $515 price target are strong positive signals for charter communications.,144,287,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3366,COMERICA INC,"B. Riley Maintains Neutral on Comerica, Lowers Price Target to $65",8,negative,0.8,0.6,"the headline is negative because the price target for comerica inc. was lowered, despite the rating remaining neutral.",135,309,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3374,COMCAST CORP NEW,"Citigroup Maintains Buy on Comcast, Raises Price Target to $56",8,positive,0.9,0.8,citigroup's maintenance of a 'buy' rating and increase in price target to $56 indicates optimism about comcast's future performance.,136,224,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3382,CONSOLIDATED COMMS HLDGS INC,Consolidated Communications shares are trading lower despite no company-specific news. The stock has dropped approximately 17% in the last 5 days.,8,negative,0.9,0.8,"the stock has dropped approximately 17% in the last 5 days, which is a significant decline.",160,250,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3390,CALLON PETROLEUM CO DEL,"Morgan Stanley Maintains Equal-Weight on Callon Petroleum, Lowers Price Target to $4.75",8,negative,0.8,0.6,"morgan stanley maintained a neutral rating but lowered the price target, indicating a negative outlook on future performance.",147,223,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3398,SALESFORCE INC,"UK's Competition And Markets Authority Says Is Considering If Salesforce, Tableau Deal Resulted In A Lessening Of Competition Within UK",8,negative,0.8,0.7,"the news indicates regulatory scrutiny by the uk's competition and markets authority, which could lead to potential legal and financial challenges for salesforce.",144,279,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3406,C S X CORP,A Peek Into The Markets: US Stock Futures Fall; All Eyes On Jobs Data,8,neutral,0.9,0.0,the headline does not mention c s x corp specifically and focuses on general market trends and jobs data.,138,288,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3414,C S X CORP,"JP Morgan Downgrades CSX to Neutral, Lowers Price Target to $76",8,negative,0.9,0.8,the downgrade to 'neutral' and the lowered price target to $76 by jp morgan indicate a less favorable outlook for csx corp.,139,225,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3422,CYTOSORBENTS CORP,CytoSorbents Reports Removal Of Ticagrelor Intraoperatively Results In Expected Cost Savings Of ~$5K Per Patient,8,positive,0.9,0.8,"the news is positive because it reports significant cost savings of approximately $5,000 per patient due to the removal of ticagrelor intraoperatively, which is beneficial for the company.",153,243,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3430,CYTOKINETICS INC,Cytokinetics Highlights Presentation Of Added Analyses From FORTITUDE-ALS At NEALS Meeting,8,positive,0.9,0.7,"the headline suggests that cytokinetics is presenting new, additional analyses from a clinical trial at a professional meeting, which is generally a positive development.",143,473,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3438,D B V TECHNOLOGIES S A,"DBV Technologies Shares Resume Trade, Up 12%",8,positive,0.9,0.8,"the news indicates a significant 12% increase in share price, which is a strong positive indicator for the company.",138,264,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3446,D B V TECHNOLOGIES S A,DBV Technologies To Resume Trade At 12:15 a.m. EDT,8,neutral,0.9,0.1,the headline is a factual statement about the resumption of trading without any explicit positive or negative sentiment.,143,264,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,D B V TECHNOLOGIES S A,"DBV Technologies Announces FDA Acceptance Of BLA filing For Viaskin Peanut For The Treatment Of Peanut Allergy; Target Action Date Provided By FDA Is Aug. 5, 2020",8,positive,0.9,0.8,"the news is positive because the fda has accepted the bla filing for viaskin peanut, indicating progress in the regulatory process for the treatment of peanut allergy.",165,71,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3462,D B V TECHNOLOGIES S A,"DBV Technologies Shares Halted, News Pending",8,neutral,0.6,0.2,"the headline indicates uncertainty with pending news, which could be either positive or negative, but halted shares often cause short-term concern.",137,384,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3470,DISH NETWORK CORP,"Citi Maintains Buy on DISH Network, Lowers Price Target to $40",8,neutral,0.7,0.5,"citi maintains a buy rating, which is positive, but lowers the price target, which is negative, resulting in a neutral overall sentiment.",139,255,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3478,DISH NETWORK CORP,Sportradar Announces Partnership With DISH to Become the Company's Official Sports Data Provider,8,positive,0.9,0.8,"the announcement of a partnership with sportradar to become the official sports data provider suggests an enhancement in dish network corp's offerings, which is generally viewed positively.",139,371,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3486,DOMINOS PIZZA INC,"Wedbush Likes Domino's Pizza, Says Pressure From Third-Party Delivery Is 'Unsustainable'",8,positive,0.9,0.7,the headline indicates that wedbush has a favorable view of domino's pizza and believes that current challenges from third-party delivery services are temporary.,145,346,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3494,DOMINOS PIZZA INC,UPDATE: Wedbush On Domino's Also Notes 'The health of DPZ's domestic system can withstand a near-term challenge as management executes an offensive strategy',8,positive,0.9,0.7,"the news highlights domino's resilience in facing challenges and its proactive management strategy, indicating a positive outlook.",157,264,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3502,DOMINOS PIZZA INC,"UPDATE: Wedbush Initiates Domino's With Outperform, Announces $280 Target As Firm Views Current Economics Of Third Party Delivery 'as unsustainable beyond the near-term from the point of view of both restaurants and third party marketplaces'",8,positive,0.9,0.8,"wedbush's 'outperform' rating and $280 target price indicate a positive outlook for domino's pizza inc., suggesting strong future performance.",172,332,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3510,DOMINOS PIZZA INC,"Wedbush Initiates Coverage On Domino's Pizza with Outperform Rating, Announces $280 Price Target",8,positive,0.9,0.8,the 'outperform' rating and the $280 price target indicate a positive outlook on domino's pizza inc.'s future performance.,146,324,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3518,DEVON ENERGY CORP NEW,"Morgan Stanley Maintains Equal-Weight on Devon Energy, Lowers Price Target to $27",8,negative,0.7,0.6,"morgan stanley maintained an 'equal-weight' rating but lowered the price target to $27, indicating a less favorable outlook.",142,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3526,ELECTRONIC ARTS INC,Electronic Arts Says Implemented Fix Related To FIFA 20 Global Series Registration Page Issue,8,positive,0.7,0.6,"the news is positive because ea has resolved an issue, showing responsiveness and problem-solving capability.",140,389,2,,,,,,,,,,,,,,,,,,,,,,,,,,
