custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,headline type num,date,ticker,datetime_utc,permno,cusip,ret,ret_f1,ret_f2,ret_f3,ret_f4,ret_f5,ret_f6,ret_f7,ret_f8,ret_f9,ret_f10,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,Mkt-RF,SMB,HML,RF,Mkt-RF_1,SMB_1,HML_1,RF_1,date_1,Mkt-RF_2,SMB_2,HML_2,RF_2,date_2,Mkt-RF_3,SMB_3,HML_3,RF_3,date_3,Mkt-RF_4,SMB_4,HML_4,RF_4,date_4,Mkt-RF_5,SMB_5,HML_5,RF_5,date_5,Mkt-RF_6,SMB_6,HML_6,RF_6,date_6,Mkt-RF_7,SMB_7,HML_7,RF_7,date_7,Mkt-RF_8,SMB_8,HML_8,RF_8,date_8,Mkt-RF_9,SMB_9,HML_9,RF_9,date_9,Mkt-RF_10,SMB_10,HML_10,RF_10,date_10,index,b_mkt,b_smb,b_hml,er_CAPM,ar_CAPM,er_CAPM_1,ar_CAPM_1,er_CAPM_2,ar_CAPM_2,er_CAPM_3,ar_CAPM_3,er_CAPM_4,ar_CAPM_4,er_CAPM_5,ar_CAPM_5,er_CAPM_6,ar_CAPM_6,er_CAPM_7,ar_CAPM_7,er_CAPM_8,ar_CAPM_8,er_CAPM_9,ar_CAPM_9,er_CAPM_10,ar_CAPM_10,CAPM_CAR_1,CAPM_CAR_2,CAPM_CAR_3,CAPM_CAR_5,CAPM_CAR_10
10001,1 800 FLOWERS COM INC,1-800-Flowers.Com shares are trading higher after the company reported better-than-expected Q3 EPS and sales and raised its FY19 guidance.,8,increase,0.85,0.7,"the better-than-expected q3 eps and sales, along with the raised fy19 guidance, typically indicate strong company performance, which is likely to boost investor confidence and drive the stock price higher.",2.0,2019-04-30,FLWS,2019-04-30 14:10:00+00:00,87162.0,68243Q10,0.0968573465943336,0.0190948452800512,0.0106389131397008,0.0004713330708909,0.0186358038336038,0.0171642750501632,-0.0009093754342757,-0.0008596620173193,0.0011134791420772,-0.004550096578896,-0.0014220355078578,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,-0.04,-0.7,0.28,0.01,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,0.35,-0.37,0.08,0.009,2019-05-10,-2.67,-0.73,0.28,0.009,2019-05-13,0.93,0.4,-0.02,0.009,2019-05-14,588373.0,0.9121,1.0695,-0.5524,-0.026484,0.1233413465943336,-0.748043,0.7671378452800512,-0.136936,0.1475749131397009,1.0396729999999998,-1.0392016669291089,-0.346719,0.3653548038336038,-1.5324490000000002,1.5496132750501634,-0.191662,0.1907526245657242,-0.246388,0.2455283379826806,0.328235,-0.3271215208579227,-2.426307,2.421756903421104,0.857253,-0.8586750355078578,0.8904791918743848,0.914712758419752,-0.891626753789408,0.8757664119546584,3.221854584653892
10009,1 800 FLOWERS COM INC,1-800 Flowers.com Raises FY19 EPS Guidance From $0.44-$0.46 To $0.49-$0.50 vs $0.45 Est.,8,increase,0.8,0.6,"the raised eps guidance indicates stronger expected earnings, which typically leads to positive investor sentiment and an increase in stock price.",2.0,2019-04-30,FLWS,2019-04-30 11:32:00+00:00,87162.0,68243Q10,0.0968573465943336,0.0029318956658244,0.0225592739880085,0.0190948452800512,0.0106389131397008,0.0004713330708909,0.0186358038336038,0.0171642750501632,-0.0009093754342757,-0.0008596620173193,0.0011134791420772,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,-0.04,-0.7,0.28,0.01,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,0.35,-0.37,0.08,0.009,2019-05-10,-2.67,-0.73,0.28,0.009,2019-05-13,0.93,0.4,-0.02,0.009,2019-05-14,588373.0,0.9121,1.0695,-0.5524,-0.026484,0.1233413465943336,-0.748043,0.7509748956658244,-0.136936,0.1594952739880085,1.0396729999999998,-1.0205781547199486,-0.346719,0.3573579131397009,-1.5324490000000002,1.5329203330708912,-0.191662,0.2102978038336038,-0.246388,0.2635522750501632,0.328235,-0.3291443754342757,-2.426307,2.4254473379826806,0.857253,-0.8561395208579228,0.874316242260158,0.9104701696538328,-0.8610828807319402,0.8697000914906434,3.2469338536451406
10017,1 800 FLOWERS COM INC,"1-800 Flowers.com Q3 EPS $(0.13) Beats $(0.18) Estimate, Sales $248.4M Beat $243.07M Estimate",8,increase,0.75,0.6,"the company reported a smaller-than-expected loss and higher-than-expected sales, which typically indicates better performance and can lead to a positive reaction in the stock price.",2.0,2019-04-30,FLWS,2019-04-30 11:31:00+00:00,87162.0,68243Q10,0.0968573465943336,0.0029318956658244,0.0225592739880085,0.0190948452800512,0.0106389131397008,0.0004713330708909,0.0186358038336038,0.0171642750501632,-0.0009093754342757,-0.0008596620173193,0.0011134791420772,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,-0.04,-0.7,0.28,0.01,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,0.35,-0.37,0.08,0.009,2019-05-10,-2.67,-0.73,0.28,0.009,2019-05-13,0.93,0.4,-0.02,0.009,2019-05-14,588373.0,0.9121,1.0695,-0.5524,-0.026484,0.1233413465943336,-0.748043,0.7509748956658244,-0.136936,0.1594952739880085,1.0396729999999998,-1.0205781547199486,-0.346719,0.3573579131397009,-1.5324490000000002,1.5329203330708912,-0.191662,0.2102978038336038,-0.246388,0.2635522750501632,0.328235,-0.3291443754342757,-2.426307,2.4254473379826806,0.857253,-0.8561395208579228,0.874316242260158,0.9104701696538328,-0.8610828807319402,0.8697000914906434,3.2469338536451406
10025,AMICUS THERAPEUTICS INC,Amicus Therapeutics Highlights Presentation Of Preclinical Pompe Disease Gene Therapy Data At American Society Of Gene & Cell Therapy (ASGCT) 22nd Annual Meeting,8,increase,0.7,0.6,"the presentation of preclinical data at a prominent conference like asgct typically indicates progress in research and development, which can positively influence investor sentiment and stock price.",2.0,2019-04-30,FOLD,2019-04-30 10:24:00+00:00,92040.0,03152W10,-0.0074404338374733,0.0029735828284174,0.0044471975415945,0.0036896206438541,-0.0026957630179822,-0.0108121056109666,-0.0195006784051656,-0.0203952435404062,-0.0084055541083216,-0.0039124027825891,0.0066771688871085,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,-0.04,-0.7,0.28,0.01,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,0.35,-0.37,0.08,0.009,2019-05-10,-2.67,-0.73,0.28,0.009,2019-05-13,0.93,0.4,-0.02,0.009,2019-05-14,589682.0,1.3766,1.6249,-0.7242,-0.045064,0.0376235661625266,-1.1335780000000002,1.1365515828284176,-0.211256,0.2157031975415945,1.564558,-1.5608683793561458,-0.5278740000000001,0.5251782369820178,-2.317454,2.3066418943890334,-0.293852,0.2743513215948343,-0.376448,0.3560527564595938,0.4908099999999999,-0.4992155541083216,-3.666522,3.662609597217411,1.289238,-1.2825608311128915,1.1741751489909442,1.352254780370012,-1.3451651818145511,1.2709517520149056,4.817879184439659
10033,FORRESTER RESEARCH INC,"Forrester Research Q1 EPS $0.08 Beats $(0.04) Estimate, Sales $100.649M Beat $97.83M Estimate",8,increase,0.8,0.7,"the company reported better-than-expected earnings per share and sales, which typically leads to positive investor sentiment and an increase in stock price.",2.0,2019-04-30,FORR,2019-04-30 20:58:00+00:00,84210.0,34656310,0.002760240342468,0.0201954040676355,-0.0108556877821683,0.0051646176725625,0.00449586706236,0.0089513678103685,0.022179938852787,-0.0099193369969725,-0.0062617645598948,0.0126023823395371,-0.0068450318649411,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,-0.04,-0.7,0.28,0.01,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,0.35,-0.37,0.08,0.009,2019-05-10,-2.67,-0.73,0.28,0.009,2019-05-13,0.93,0.4,-0.02,0.009,2019-05-14,588022.0,0.8661,0.8288,0.4479,-0.024644,0.027404240342468,-0.7098629999999999,0.7300584040676354,-0.129576,0.1187203122178316,0.987693,-0.9825283823274372,-0.328779,0.33327486706236,-1.454709,1.4636603678103686,-0.1815419999999999,0.203721938852787,-0.233508,0.2235886630030274,0.312135,-0.3183967645598948,-2.303487,2.316089382339537,0.814473,-0.8213180318649411,0.7574626444101035,0.8487787162854671,-0.8638080701096057,0.8144068525452912,3.0673455555808844
10041,FIRST SOLAR INC,Goldman On Solar Space: Maintains Buy On First Solar And Notes Co. Is 'our top idea across the space'; Maintains Sell On TerraForm Power As Firm Sees Co. Having 'near-term risk on weaker production',8,increase,0.8,0.7,"goldman's positive outlook and designation of first solar as their 'top idea' in the solar space suggests strong confidence in the company's performance, likely leading to an increase in stock price.",2.0,2019-04-30,FSLR,2019-04-30 13:03:00+00:00,91611.0,33643310,-0.0050129587762057,-0.0121212005615234,-0.012269927188754,0.018633522093296,-0.0365853309631347,0.0126582151278853,-0.0312500447034835,0.0387097187340259,0.0496894679963588,-0.0591716095805168,-0.006289301905781,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,-0.04,-0.7,0.28,0.01,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,0.35,-0.37,0.08,0.009,2019-05-10,-2.67,-0.73,0.28,0.009,2019-05-13,0.93,0.4,-0.02,0.009,2019-05-14,589490.0,1.309,0.3307,0.2104,-0.0423599999999999,0.0373470412237942,-1.07747,1.0653487994384765,-0.2004399999999999,0.1881700728112459,1.4881699999999998,-1.4695364779067035,-0.50151,0.4649246690368652,-2.20321,2.2158682151278852,-0.27898,0.2477299552965164,-0.35752,0.3962297187340259,0.4671499999999999,-0.4174605320036411,-3.48603,3.426858390419483,1.22637,-1.232659301905781,1.1026958406622709,1.2535188722497224,-1.2813664050954578,1.2112564062580469,4.636566445668488
10049,FRANKLIN STREET PROPERTIES CORP,"Franklin Street Props Q1 EPS $0.21 Down From $0.25 YoY, Adj. FFO $0.06, Sales $64.716M Beat $63.85M Estimate",8,decrease,0.7,0.6,"the decline in eps suggests reduced profitability, which is likely to negatively impact investor sentiment despite a sales beat.",0.0,2019-04-30,FSP,2019-04-30 21:42:00+00:00,90755.0,35471R10,0.0128865856677293,-0.0214156135916709,0.0430267713963985,-0.0170697513967752,0.021707683801651,-0.0063739484176039,0.0071276109665632,-0.0134466048330068,0.0010760648874565,-0.0060910093598067,-0.0270367693156004,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,-0.04,-0.7,0.28,0.01,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,0.35,-0.37,0.08,0.009,2019-05-10,-2.67,-0.73,0.28,0.009,2019-05-13,0.93,0.4,-0.02,0.009,2019-05-14,589179.0,0.6985,1.2793,0.7607,-0.0179399999999999,0.0308265856677293,-0.570755,0.549339386408329,-0.10276,0.1457867713963985,0.7983049999999999,-0.8153747513967752,-0.263415,0.285122683801651,-1.171465,1.165091051582396,-0.14467,0.1517976109665632,-0.18658,0.1731333951669931,0.253475,-0.2523989351125434,-1.855995,1.8499039906401933,0.658605,-0.6856417693156004,0.5801659720760584,0.6951261578047275,-0.6695879800003767,0.6348389839872719,2.4018853439280017
10057,FRANKLIN STREET PROPERTIES CORP,Franklin Street Props Q1 FFO $0.21 Down From $0.25 YoY,8,decrease,0.75,0.6,"the decrease in ffo from $0.25 to $0.21 year-over-year suggests declining profitability, which is likely to negatively impact investor sentiment and lead to a decrease in stock price.",0.0,2019-04-30,FSP,2019-04-30 20:35:00+00:00,90755.0,35471R10,0.0128865856677293,-0.0578119270503521,0.0271844957023859,0.0120982872322201,0.0257750693708658,-0.009468256495893,0.0128675904124975,-0.0214156135916709,0.0430267713963985,-0.0170697513967752,0.021707683801651,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,-0.04,-0.7,0.28,0.01,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,0.35,-0.37,0.08,0.009,2019-05-10,-2.67,-0.73,0.28,0.009,2019-05-13,0.93,0.4,-0.02,0.009,2019-05-14,589179.0,0.6985,1.2793,0.7607,-0.0179399999999999,0.0308265856677293,-0.570755,0.5129430729496479,-0.10276,0.1299444957023859,0.7983049999999999,-0.7862067127677798,-0.263415,0.2891900693708658,-1.171465,1.161996743504107,-0.14467,0.1575375904124975,-0.18658,0.165164386408329,0.253475,-0.2104482286036014,-1.855995,1.8389252486032248,0.658605,-0.636897316198349,0.5437696586173772,0.6428875686520338,-0.6562622170653939,0.6649801001071931,2.4762784241262077
10065,GAIA INC,Gaia shares are trading higher after the company reported better-than-expected Q1 EPS.,8,increase,0.85,0.7,"better-than-expected q1 eps typically indicates strong financial performance, which generally leads to an increase in stock price.",2.0,2019-04-30,GAIA,2019-04-30 17:22:00+00:00,87321.0,36269P10,0.1388589888811111,-0.0094438781961798,0.031514897942543,0.0089858397841453,-0.0295165367424488,0.0089145293459296,0.0166320018470287,0.0117587652057409,0.0088428109884262,-0.0340596176683902,0.0046668476425111,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,-0.04,-0.7,0.28,0.01,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,0.35,-0.37,0.08,0.009,2019-05-10,-2.67,-0.73,0.28,0.009,2019-05-13,0.93,0.4,-0.02,0.009,2019-05-14,588395.0,0.8287,1.4776,0.0066,-0.0231479999999999,0.1620069888811111,-0.678821,0.6693771218038201,-0.123592,0.155106897942543,0.945431,-0.9364451602158546,-0.314193,0.2846764632575512,-1.3915030000000002,1.4004175293459298,-0.173314,0.1899460018470287,-0.223036,0.2347947652057409,0.299045,-0.2902021890115738,-2.203629,2.1695693823316096,0.779691,-0.7750241523574889,0.8313841106849312,0.8244840197463632,-0.7813382622733116,0.7486488323876264,2.929501337361246
10073,GEO GROUP INC NEW,"The GEO Group Q1 FFO $0.5 Up From $0.43 YoY, Sales $610.667 Miss $601.59M Estimate",8,uncertain,0.6,0.3,"while the increase in ffo is positive, the sales miss against estimates may create mixed reactions among investors.",1.0,2019-04-30,GEO,2019-04-30 10:53:00+00:00,80774.0,36162J10,0.0330238044261932,-0.0248109865933656,-0.0276287645101547,-0.0167620554566383,0.0051975054666399,-0.0103412615135312,-0.0043886955827474,-0.0041981688700616,-0.0012647040421143,-0.0145631581544876,0.0237738415598869,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,-0.04,-0.7,0.28,0.01,-0.83,-0.1,-0.02,0.009,2019-05-01,-0.16,0.45,-0.27,0.009,2019-05-02,1.13,0.94,-0.27,0.009,2019-05-03,-0.39,0.6,-0.42,0.009,2019-05-06,-1.69,-0.28,0.5,0.009,2019-05-07,-0.22,-0.15,-0.32,0.009,2019-05-08,-0.28,0.08,0.12,0.009,2019-05-09,0.35,-0.37,0.08,0.009,2019-05-10,-2.67,-0.73,0.28,0.009,2019-05-13,0.93,0.4,-0.02,0.009,2019-05-14,587727.0,0.5731,0.6161,0.0852,-0.012924,0.0459478044261932,-0.466673,0.4418620134066343,-0.082696,0.0550672354898452,0.656603,-0.6733650554566384,-0.214509,0.21970650546664,-0.959539,0.9491977384864688,-0.117082,0.1126933044172525,-0.151468,0.1472698311299383,0.209585,-0.2108497040421143,-1.5211770000000002,1.5066138418455126,0.5419830000000001,-0.5182091584401132,0.4878098178328275,0.4969292488964796,-0.6182978199667931,0.4955391884964705,1.986715853396945
