custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
4704,AGILENT TECHNOLOGIES INC,"Agilent Technologies Sees Q4 Adj. EPS $0.84-$0.86 vs $0.87 Est., Sales $1.31B-$1.33B vs $1.34B Est., Sees FY19 Adj. EPS $3.07-$3.08 vs $3.05 Est., Sales $5.105B-$5.125B vs $5.11B Est.",7,decrease,0.8,0.6,the lower than expected q4 earnings and sales forecast may lead to a decrease in agilent technologies inc's stock price.,214,62,0.0,2019-08-14,87432.0,6.098490953445435,10.077757288850098,6.632118223536576,1.515837013721466,-1.4568764061181017,-2.6622513977326845,-3.0308,-0.3339,0.9817,-2.95,0.22,-0.51,0.007,-0.141785,5.8696,0.7632,-0.1128,-0.3351,0.5786,-0.3498,-0.4593,-0.9972,0.0725,0.146
4712,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q3 Adj. EPS $0.76 Beats $0.72 Estimate, Sales $1.27B Beat $1.24B Estimate",7,increase,0.8,0.7,"agilent technologies beat both earnings and sales estimates in q3, indicating strong performance which is likely to positively impact the stock price.",162,60,2.0,2019-08-14,87432.0,6.098490953445435,10.077757288850098,6.632118223536576,1.515837013721466,-1.4568764061181017,-2.6622513977326845,-3.0308,-0.3339,0.9817,-2.95,0.22,-0.51,0.007,-0.141785,5.8696,0.7632,-0.1128,-0.3351,0.5786,-0.3498,-0.4593,-0.9972,0.0725,0.146
4720,AGILENT TECHNOLOGIES INC,Q3 Earnings Preview For Agilent Technologies,7,uncertain,0.6,0.3,the q3 earnings preview could go either way depending on the actual results and market conditions.,139,53,1.0,2019-08-14,87432.0,6.098490953445435,10.077757288850098,6.632118223536576,1.515837013721466,-1.4568764061181017,-2.6622513977326845,-3.0308,-0.3339,0.9817,-2.95,0.22,-0.51,0.007,-0.141785,5.8696,0.7632,-0.1128,-0.3351,0.5786,-0.3498,-0.4593,-0.9972,0.0725,0.146
4728,ADVANCE AUTO PARTS INC,Here Comes The Sun: Advance Auto Parts Analysts Bullish After Stormy Q2,7,increase,0.8,0.7,"analysts are bullish after a stormy q2, indicating positive sentiment and potential growth for advance auto parts inc.",145,57,2.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1516,0.6653,-2.95,0.22,-0.51,0.007,-2.080065,0.7967,-1.7837,-0.9259,-0.2506,0.0979,1.0218,-0.0211,-0.7128,0.366,0.8462
4736,ADVANCE AUTO PARTS INC,"UBS Maintains Buy on Advance Auto Parts, Lowers Price Target to $170",7,uncertain,0.6,0.3,"while ubs maintains a buy rating on advance auto parts, the lowering of the price target could create uncertainty in the market leading to a slight decrease in stock price.",145,68,1.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1516,0.6653,-2.95,0.22,-0.51,0.007,-2.080065,0.7967,-1.7837,-0.9259,-0.2506,0.0979,1.0218,-0.0211,-0.7128,0.366,0.8462
4744,ADVANCE AUTO PARTS INC,"Morgan Stanley Maintains Overweight on Advance Auto Parts, Lowers Price Target to $185",7,uncertain,0.6,0.3,"while morgan stanley maintains an overweight rating, the lowered price target could have a mixed impact on the stock price.",147,57,1.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1516,0.6653,-2.95,0.22,-0.51,0.007,-2.080065,0.7967,-1.7837,-0.9259,-0.2506,0.0979,1.0218,-0.0211,-0.7128,0.366,0.8462
4752,ADVANCE AUTO PARTS INC,"Credit Suisse Maintains Outperform on Advance Auto Parts, Lowers Price Target to $162",7,uncertain,0.6,0.3,"while credit suisse maintains an outperform rating, the lowering of the price target may create uncertainty in the market leading to a slight decrease in stock price.",147,66,1.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1516,0.6653,-2.95,0.22,-0.51,0.007,-2.080065,0.7967,-1.7837,-0.9259,-0.2506,0.0979,1.0218,-0.0211,-0.7128,0.366,0.8462
4760,ADVANCE AUTO PARTS INC,"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $156",7,decrease,0.8,0.7,the fact that citigroup lowered the price target for advance auto parts suggests a decrease in the stock price.,145,56,0.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1516,0.6653,-2.95,0.22,-0.51,0.007,-2.080065,0.7967,-1.7837,-0.9259,-0.2506,0.0979,1.0218,-0.0211,-0.7128,0.366,0.8462
4768,ADVANCE AUTO PARTS INC,Guggenheim Downgrades Advance Auto Parts to Neutral,7,decrease,0.8,0.7,the downgrade to neutral by guggenheim may lead to decreased investor confidence and selling pressure on advance auto parts stock.,138,58,0.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1516,0.6653,-2.95,0.22,-0.51,0.007,-2.080065,0.7967,-1.7837,-0.9259,-0.2506,0.0979,1.0218,-0.0211,-0.7128,0.366,0.8462
4776,ACORDA THERAPEUTICS INC,Acorda Therapeutics shares are trading lower after H.C. Wainwright downgraded the stock from Buy to Neutral and lowered the price target from $31 to $6.,7,decrease,0.9,0.8,the downgrade from buy to neutral and the significant decrease in price target are likely to negatively impact investor sentiment and lead to a decrease in acorda therapeutics inc's stock price.,168,74,0.0,2019-08-14,91086.0,9.623421728610992,31.380752015536693,51.46442398931328,-3.5335656255483627,-6.506851146053627,-7.457628027228259,-12.4542,-8.6964,1.5249,-2.95,0.22,-0.51,0.007,-7.962745,10.8425,-0.5203,6.6883,10.6232,-3.8146,2.4017,3.3341,5.2109,4.1524,5.0307
