custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
4259,AGILENT TECHNOLOGIES INC,Agilent Technologies Option Alert: Mar 15 $75 Calls at the Ask: 1000 @ $2.3 vs 33 OI; Earnings 2/20 After Close Ref=$73.74,8,positive,0.7,0.25,"an aggressive buy of 1,000 mar 15 $75 calls at the ask (vs. 33 oi) signals a bullish bet ahead of earnings, though it could be a spread/hedge so the signal is limited.",167,936,2.0,2019-01-29,87432.0,0.39579765871167,2.55574360489845,3.73844497244495,4.77161809764763,-0.51596043631434,1.51010853696054,2.26098407824653
4267,AGILENT TECHNOLOGIES INC,"Needham Initiates Coverage On Agilent Technologies with Buy Rating, Announces $77 Price Target",8,positive,0.9,0.7,"i cannot provide internal step-by-step reasoning, but briefly: needham initiating coverage is the action; assigning a 'buy' rating denotes favorable analyst sentiment; issuing a $77 price target implies expected upside versus the current market price; therefore the news is positive for agilent.",143,1059,2.0,2019-01-03,87432.0,-3.6839731037616703,3.4613538533449097,10.4789014039671,11.93298417828634,-2.62377206236124,-0.40933389583762,-0.94264766640217
4275,ADVANCE AUTO PARTS INC,Bank of America Earlier Upgraded Advance Auto Parts to Buy,8,positive,0.95,0.6,bank of america's upgrade of advance auto parts to 'buy' is a positive signal reflecting improved analyst sentiment and expectations of better relative performance for the company.,134,956,2.0,2019-01-09,89217.0,2.75589823722839,0.38923230022192,-1.21023553800085,-4.93826883795827,-0.69504478015005,0.7619209874224699,-1.73779659177284
4283,ADVANCE AUTO PARTS INC,"Barclays Upgrades Advance Auto Parts to Overweight, Raises Price Target to $205",8,positive,0.9,0.6,an upgrade to overweight and an increased price target from barclays signals analyst optimism about advance auto parts' outlook and is therefore a positive indicator for the stock.,141,585,2.0,2019-01-07,89217.0,1.46716320887208,-0.69504478015005,-1.50179842710763,1.85553280222496,-2.48081572353839,0.56357611096211,0.85735473452046
4291,ABBVIE INC,Abbvie shares are continuing lower following a large sell off Friday due to worse than expected Q4 EPS and revenue results.,8,negative,0.9,0.8,"worse-than-expected q4 eps and revenue combined with a large sell-off indicate negative news for abbvie, likely hurting investor sentiment and the stock price.",142,1059,0.0,2019-01-28,13721.0,-4.22150678932666,0.42779599316418,1.80191779742646,3.4093819858510304,-6.21797442436218,-8.9429012528845,-9.15858591226986
4299,ABBVIE INC,AbbVie Announces FDA Approval of IMBRUVICA Plus Obinutuzumab for Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma in Previously Untreated Patien,8,positive,0.9,0.7,"fda approval of imbruvica plus obinutuzumab for previously untreated cll/sll expands abbvie's label and market opportunity, which is likely to be financially and strategically beneficial.",157,815,2.0,2019-01-28,13721.0,-4.22150678932666,0.42779599316418,1.80191779742646,3.4093819858510304,-6.21797442436218,-8.9429012528845,-9.15858591226986
4307,ABBVIE INC,From AbbVie Q4 Earnings Conference Call: CEO Richard Gonzalez Says Rumors Of His Retirement Are False,8,positive,0.7,0.3,"the ceo’s denial of retirement rumors implies leadership stability and reduced uncertainty, which is mildly positive for abbvie.",139,606,2.0,2019-01-25,13721.0,-6.21797442436218,-4.22150678932666,-0.04966597606999,-1.08021210327025,-2.9055960476398397,-3.1355811200046997,-4.0446957283493
4315,ABBVIE INC,"From AbbVie Q4 Earnings Conference Call: Sees Q1 EPS $2.05-$2.07 vs $2.03 Estimate, Sales $7.7B vs $8B Est.",8,neutral,0.8,0.3,"mixed results: q1 eps guidance slightly above estimates (positive) while sales guidance misses estimates (negative), producing an overall neutral impact.",159,746,1.0,2019-01-25,13721.0,-6.21797442436218,-4.22150678932666,-0.04966597606999,-1.08021210327025,-2.9055960476398397,-3.1355811200046997,-4.0446957283493
4323,ABBVIE INC,AbbVie shares are trading lower after the company missed Q4 EPS and sales estimates.,8,negative,0.9,0.7,"missing both eps and sales estimates typically indicates weaker-than-expected financial performance and often leads to downward stock movement, which is supported here by shares trading lower.",135,326,0.0,2019-01-25,13721.0,-6.21797442436218,-4.22150678932666,-0.04966597606999,-1.08021210327025,-2.9055960476398397,-3.1355811200046997,-4.0446957283493
4331,ABBVIE INC,"From AbbVie Conference Call; Co. Says Humira Will Continue To Generate 'Strong Revenue', Driving Roughly $1B Of Growth In 2019",8,positive,0.85,0.6,abbvie’s statement that humira will continue to generate 'strong revenue' and drive roughly $1b of growth in 2019 signals solid near-term sales and a meaningful positive impact on the company’s revenue.,150,786,2.0,2019-01-25,13721.0,-6.21797442436218,-4.22150678932666,-0.04966597606999,-1.08021210327025,-2.9055960476398397,-3.1355811200046997,-4.0446957283493
