headline type,magnitude,confidence,custom_id,company_name,headline,prompt_type,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
uncertain,0.2,0.6,26155,NOMURA HOLDINGS INC,"""Brexit"" And The US-China Trade War Drag On European Freight Markets",7,"slower european freight due to brexit and the us–china trade war signals weaker global trade that could indirectly hurt nomura's capital-markets and corporate-client revenues, but the bank's diversified business mix, limited direct shipping exposure, and potential trading gains from volatility make the net impact ambiguous.",140,610,1.0,2019-09-04,89256.0,1.21064679697156,0.47846846282482,6.93779836751893,3.11005064392186,1.72414220869541,4.55696367014339,4.82233642550444
increase,0.4,0.75,13910,CANADIAN NATIONAL RAILWAY CO,"""Every Option"" On Table To End CN Strike, Canadian Minister Says",7,"a government signal that ""every option"" is on the table to end the cn strike raises the likelihood of a prompt resolution or intervention to restore service, reducing operational disruption and revenue risk and therefore is likely to boost investor sentiment and the stock price.",145,280,2.0,2019-11-25,84181.0,0.54192161187529,1.5839783474802902,-2.95897302363726,-1.0260752411344398,0.09963061893358,-0.08839981180025,-2.19578026778957
uncertain,0.1,0.6,20299,HUNT J B TRANSPORT SERVICES INC,"""FreightWaves Is Doing Some Pretty Cool Stuff""",7,"the positive note about freightwaves could indirectly benefit freight carriers through better market data and tech adoption, but the item does not mention any direct partnership, contract, or material development involving j.b. hunt, so any impact on its stock is unclear and likely small.",142,477,1.0,2019-09-20,42877.0,0.92838471755385,-0.61323218978941,-2.7244857209331097,-4.87954411929361,-1.34333642199635,-1.5837101252327,-1.65217519888541
uncertain,0.2,0.65,11659,CALAMOS GLOBAL DYNAMIC INCOME FD,"""Nuclear Verdict"" Kills 540 Truck Carrier",7,"a single large jury award against a truck carrier is most likely to have limited direct impact on a diversified global income fund—while it could modestly hurt transportation and insurance-related holdings, the fund’s broad mix of assets makes the net effect unclear and likely small.",141,533,1.0,2019-10-14,92110.0,0.38167599122971,-0.3802247578278099,0.7604555605203299,2.28136670467478,0.25284811854362,0.37974730762979,1.79717809338064
uncertain,0.1,0.8,12188,ISHARES INC,"""Really tariffs, laws, have to originate with Congress, and I think you just can't declare emergencies on spending, on tariffs, also on arms sales,"" - Sen. Rand Paul on CNN",7,"a senator's comment about tariff/emergency authority is a general political development unlikely to directly move ishares (an etf issuer) — any impact would be indirect and sector-specific (some etfs might benefit if tariffs are constrained, others might not), so the net effect on ishares inc is uncertain and likely small.",161,423,1.0,2019-06-04,83223.0,1.8514201045036296,0.64427657052874,3.7735835528885,2.5077447330715303,-0.5824790336191601,-4.19847925269117,-2.82396183203412
increase,0.35,0.65,28484,X P O INC,"""Shipper Of Choice"" – It Can Be A Sweet Deal To Partner With Nestle",7,"a partnership as a ""shipper of choice"" with a large, stable customer like nestlé should boost xpo's freight volumes, revenue visibility and asset utilization, supporting the stock, although the impact depends on contract size, pricing and margin terms.",141,281,2.0,2019-06-13,90175.0,2.60575208812952,-1.3045746833086,0.2957003230493,-4.2268225451035795,0.95495274290442,0.86408558309953,4.1837113188820805
uncertain,0.6,0.8,13107,P G & E CORP,$0 Or $40? PG&E Price Targets Reflect Uncertain Outlook On Wall Street,7,"a wide range of analyst targets (from $0 to $40) signals high uncertainty and mixed sentiment that will likely drive volatility without a clear directional impulse, though the presence of a $0 target could create downward bias in investor sentiment.",144,540,1.0,2019-10-10,13688.0,-29.052820801734917,2.95250955969095,0.5134784597915001,-7.573814472553781,0.73394426144659,-4.52174311213484,1.01195647796594
decrease,0.7,0.85,34726,P G & E CORP,"' PG&E Knew for Years Its Lines Could Spark Wildfires, And Didn't Fix Them' -Dow Jones",7,"this report heightens legal, regulatory and reputational risk for pg&e—increasing the likelihood of fines, litigation costs and stricter oversight that will hurt investor confidence and likely depress the stock, though some of this risk may already be partially priced in.",149,340,0.0,2019-07-10,13688.0,-2.23846398293972,-4.43924702703952,-13.7850417007584,-11.72897348352941,0.73630856350064,0.45891909280191,-2.1457372841654
decrease,0.25,0.6,19523,ISHARES TRUST,"'#BREAKING UK PM to suspend parliament from Oct 8-14, according to Downing St' -AFP news agency Tweets",7,"suspending uk parliament raises near‑term brexit/political uncertainty and risk‑off sentiment that could weigh on equity markets and prompt modest outflows from ishares etfs (harming ishares trust revenue/stock), though the effect is likely limited given the firm's size and diversified product mix.",149,422,0.0,2019-10-02,14907.0,-2.86357589066028,0.56310058571398,0.33123672876986,5.29976924000969,-1.11358696594834,-0.98757399121525,-1.01910733184336
decrease,0.5,0.8,33650,P G & E CORP,'#BREAKING: CAL FIRE formally blames PG&E equipment for cause of deadly #CampFire in Paradise last year.' -Tweet From Editor For Comstock Mag,7,"a formal finding that pg&e equipment caused the deadly camp fire increases expected liabilities, regulatory scrutiny and reputational damage, which is likely to push the stock lower.",159,331,0.0,2019-05-15,13688.0,-1.63399316370487,0.6090842187404599,5.20487567184684,-1.55038101815943,0.71311611682176,-1.29032130572283,-5.1162778300079
