"","question","return","model","prompt","mag_v_conf","ret","up.coef","down.coef","up.se","down.se","group_id","id","return_type"
"1","q1",0.36834367097657,"gpt-3.5-turbo","base_blanks","magnitude","1",-3.57959122985162,2.39057867511653,2.20829801691486,0.695976928968272,"q1_magnitude_1_base_blanks",37,"abnormal_CAPM"
"2","q1",0.36834367097657,"gpt-3.5-turbo","base_json","magnitude","1",-7.40825382184803,3.96761105258246,3.43467181086064,0.941897771340103,"q1_magnitude_1_base_json",38,"abnormal_CAPM"
"3","q1",0.36834367097657,"gpt-3.5-turbo","cot1","magnitude","1",-6.91741492697333,4.08966802358055,2.08712603771257,1.10637640264274,"q1_magnitude_1_cot1",39,"abnormal_CAPM"
"4","q1",0.36834367097657,"gpt-3.5-turbo","cot2","magnitude","1",-6.37053122895381,3.86394572776738,1.93110954097626,1.02434365512527,"q1_magnitude_1_cot2",40,"abnormal_CAPM"
"5","q1",0.36834367097657,"gpt-3.5-turbo","cot3","magnitude","1",-7.44434818024128,5.02383620803407,2.3855302047692,1.01317593104247,"q1_magnitude_1_cot3",41,"abnormal_CAPM"
"6","q1",0.36834367097657,"gpt-3.5-turbo","persona1","magnitude","1",-8.09622565363513,3.11773626601382,2.88037347333921,0.961659811559508,"q1_magnitude_1_persona1",42,"abnormal_CAPM"
"7","q1",0.36834367097657,"gpt-3.5-turbo","persona2","magnitude","1",-6.85783069767605,2.59868470939371,2.18977162912433,0.90612204925694,"q1_magnitude_1_persona2",43,"abnormal_CAPM"
"8","q1",0.36834367097657,"gpt-3.5-turbo","persona3","magnitude","1",-7.52221469983596,3.35892218827512,2.20680794018637,0.97664726927585,"q1_magnitude_1_persona3",44,"abnormal_CAPM"
"9","q1",0.36834367097657,"gpt-3.5-turbo","persona4","magnitude","1",-4.7619499596816,9.03884860838293,1.35942386906708,1.70576766384621,"q1_magnitude_1_persona4",45,"abnormal_CAPM"
"10","q1",0.36834367097657,"gpt-3.5-turbo","base_blanks","confidence","1",-1.69113167601332,6.65146023491231,3.7889388658472,1.6715589890977,"q1_confidence_1_base_blanks",10,"abnormal_CAPM"
"11","q1",0.36834367097657,"gpt-3.5-turbo","base_json","confidence","1",-9.44801743983493,11.0526386191073,2.82429941254905,3.21770160879779,"q1_confidence_1_base_json",11,"abnormal_CAPM"
"12","q1",0.36834367097657,"gpt-3.5-turbo","cot1","confidence","1",-6.39243383146348,9.53860462612632,1.25698515749003,3.0872776051519,"q1_confidence_1_cot1",12,"abnormal_CAPM"
"13","q1",0.36834367097657,"gpt-3.5-turbo","cot2","confidence","1",-7.33650732032771,10.4862918605775,2.79118798282669,3.2933902812031,"q1_confidence_1_cot2",13,"abnormal_CAPM"
"14","q1",0.36834367097657,"gpt-3.5-turbo","cot3","confidence","1",-6.16672855548527,9.07429913910828,1.45588533722515,2.7441332906066,"q1_confidence_1_cot3",14,"abnormal_CAPM"
"15","q1",0.36834367097657,"gpt-3.5-turbo","persona1","confidence","1",-10.2955603457082,15.936752593871,1.36762811305291,2.74987373575409,"q1_confidence_1_persona1",15,"abnormal_CAPM"
"16","q1",0.36834367097657,"gpt-3.5-turbo","persona2","confidence","1",-11.6630193324358,18.6097534792607,2.22283053244609,3.20037531272664,"q1_confidence_1_persona2",16,"abnormal_CAPM"
"17","q1",0.36834367097657,"gpt-3.5-turbo","persona3","confidence","1",-12.0939161646061,16.3527482436949,1.97377395320568,3.29614838242963,"q1_confidence_1_persona3",17,"abnormal_CAPM"
"18","q1",0.36834367097657,"gpt-3.5-turbo","persona4","confidence","1",-10.4850369816002,23.4566775950241,2.94387825857701,3.34548482900399,"q1_confidence_1_persona4",18,"abnormal_CAPM"
"19","q1",0.36834367097657,"gpt-3.5-turbo","base_blanks","no_interaction","1",2.80971824480369,-2.72278616972739,0.33074620636722,0.171284265297615,"q1_no_interaction_1_base_blanks",64,"abnormal_CAPM"
"20","q1",0.36834367097657,"gpt-3.5-turbo","base_json","no_interaction","1",2.51483564079317,-3.90635086941401,0.288029029639143,0.207576548582045,"q1_no_interaction_1_base_json",65,"abnormal_CAPM"
"21","q1",0.36834367097657,"gpt-3.5-turbo","cot1","no_interaction","1",2.4499440844908,-3.76442875320168,0.281673049445864,0.198945307430154,"q1_no_interaction_1_cot1",66,"abnormal_CAPM"
"22","q1",0.36834367097657,"gpt-3.5-turbo","cot2","no_interaction","1",2.49398772649173,-3.8648680402696,0.285106632155696,0.1973958068783,"q1_no_interaction_1_cot2",67,"abnormal_CAPM"
"23","q1",0.36834367097657,"gpt-3.5-turbo","cot3","no_interaction","1",2.51102130801689,-3.78071391529098,0.287369098716203,0.192027662632052,"q1_no_interaction_1_cot3",68,"abnormal_CAPM"
"24","q1",0.36834367097657,"gpt-3.5-turbo","persona1","no_interaction","1",2.46238759695877,-3.84656309180383,0.282029777648242,0.207909942786348,"q1_no_interaction_1_persona1",69,"abnormal_CAPM"
"25","q1",0.36834367097657,"gpt-3.5-turbo","persona2","no_interaction","1",2.39353599422138,-3.82780928436587,0.271966841178388,0.205311937120217,"q1_no_interaction_1_persona2",70,"abnormal_CAPM"
"26","q1",0.36834367097657,"gpt-3.5-turbo","persona3","no_interaction","1",2.35581730635543,-3.78706950072051,0.268225695248277,0.207213263031754,"q1_no_interaction_1_persona3",71,"abnormal_CAPM"
"27","q1",0.36834367097657,"gpt-3.5-turbo","persona4","no_interaction","1",2.39158752987902,-3.82462630645841,0.269167866160694,0.210146918232809,"q1_no_interaction_1_persona4",72,"abnormal_CAPM"
"28","q1",0.348076812304676,"gpt-3.5-turbo","base_blanks","magnitude","5",-4.12171802865503,2.12889760016868,2.26474455330561,0.912194587358976,"q1_magnitude_5_base_blanks",46,"abnormal_CAPM"
"29","q1",0.348076812304676,"gpt-3.5-turbo","base_json","magnitude","5",-7.24709225142775,3.42305997835619,3.47137613426366,1.11486089261758,"q1_magnitude_5_base_json",47,"abnormal_CAPM"
"30","q1",0.348076812304676,"gpt-3.5-turbo","cot1","magnitude","5",-7.36822879909002,3.80694241409955,2.25260307382591,1.186935318304,"q1_magnitude_5_cot1",48,"abnormal_CAPM"
"31","q1",0.348076812304676,"gpt-3.5-turbo","cot2","magnitude","5",-6.90786881838942,2.56528330250939,2.1140192692559,1.30624310276263,"q1_magnitude_5_cot2",49,"abnormal_CAPM"
"32","q1",0.348076812304676,"gpt-3.5-turbo","cot3","magnitude","5",-7.67137290718311,4.74345031966026,2.58978652760566,1.11898427923343,"q1_magnitude_5_cot3",50,"abnormal_CAPM"
"33","q1",0.348076812304676,"gpt-3.5-turbo","persona1","magnitude","5",-8.21708884016697,3.41823854682021,3.02309096561318,1.0445117155936,"q1_magnitude_5_persona1",51,"abnormal_CAPM"
"34","q1",0.348076812304676,"gpt-3.5-turbo","persona2","magnitude","5",-7.42049764229912,2.34885278819362,2.30678413517737,1.01150939822395,"q1_magnitude_5_persona2",52,"abnormal_CAPM"
"35","q1",0.348076812304676,"gpt-3.5-turbo","persona3","magnitude","5",-7.83490376856173,2.84224815222917,2.35423008950603,1.16550136963323,"q1_magnitude_5_persona3",53,"abnormal_CAPM"
"36","q1",0.348076812304676,"gpt-3.5-turbo","persona4","magnitude","5",-5.26520113952513,9.18530092807863,1.79632834755344,1.8483757612595,"q1_magnitude_5_persona4",54,"abnormal_CAPM"
"37","q1",0.348076812304676,"gpt-3.5-turbo","base_blanks","confidence","5",-2.89556388803728,7.0508384766863,4.09527679273846,1.68073242569475,"q1_confidence_5_base_blanks",19,"abnormal_CAPM"
"38","q1",0.348076812304676,"gpt-3.5-turbo","base_json","confidence","5",-9.54509396135025,6.35126585924234,3.08975273894693,4.76919980734348,"q1_confidence_5_base_json",20,"abnormal_CAPM"
"39","q1",0.348076812304676,"gpt-3.5-turbo","cot1","confidence","5",-6.59108462081288,3.31605483049601,1.37306793200578,4.85565398007569,"q1_confidence_5_cot1",21,"abnormal_CAPM"
"40","q1",0.348076812304676,"gpt-3.5-turbo","cot2","confidence","5",-7.8856793986692,8.56769830950474,2.84420966892483,3.54017776358247,"q1_confidence_5_cot2",22,"abnormal_CAPM"
"41","q1",0.348076812304676,"gpt-3.5-turbo","cot3","confidence","5",-5.95965012188609,3.81693812447585,1.63094513876779,4.12466234246035,"q1_confidence_5_cot3",23,"abnormal_CAPM"
"42","q1",0.348076812304676,"gpt-3.5-turbo","persona1","confidence","5",-10.3351028135783,11.0566045081359,1.91380113703153,3.72876477771809,"q1_confidence_5_persona1",24,"abnormal_CAPM"
"43","q1",0.348076812304676,"gpt-3.5-turbo","persona2","confidence","5",-12.936948859787,13.6417543601921,2.43708452706297,3.89937754703607,"q1_confidence_5_persona2",25,"abnormal_CAPM"
"44","q1",0.348076812304676,"gpt-3.5-turbo","persona3","confidence","5",-12.8494734568698,15.2787239997289,2.37066362642721,4.18491337370367,"q1_confidence_5_persona3",26,"abnormal_CAPM"
"45","q1",0.348076812304676,"gpt-3.5-turbo","persona4","confidence","5",-11.0720183363583,23.7556371069524,4.06388086840735,4.05709808531223,"q1_confidence_5_persona4",27,"abnormal_CAPM"
