custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,Agilent Companion Diagnostic Receives Expanded FDA Approval For PD-L1 IHC 22C3 PharmDx,1,positive,0.9,0.7,,128,11,2
1,AGILENT TECHNOLOGIES INC,"Piper Jaffray Initiates Coverage On Agilent Technologies with Overweight Rating, Announces $83 Price Target",1,positive,0.9,0.7,,129,11,2
2,ABBVIE INC,AbbVie shares are trading higher after the company's SKYRIZI maintained its complete skin clearance.,1,positive,0.9,0.7,,119,11,2
3,AXCELIS TECHNOLOGIES INC,Axcelis Cuts Q2 Prelim. Sales Guidance From $80M To $75M vs $82.93M,1,negative,0.9,0.7,,132,11,0
4,ALBEMARLE CORP,Albemarle Corp Executive Says Company Sees Demand For Lithium Remaining Strong; Says Company Continues To Expect Annual Global Lithium Demand Will Hit 1 Million Tonnes By 2025,1,positive,0.9,0.7,,143,11,2
5,AMERICAN HOMES 4 RENT,Citigroup Downgrades American Homes 4 Rent to Neutral,1,negative,0.8,0.7,,119,11,0
6,ARROW ELECTRONICS INC,"Deutsche Bank Reinstates Buy on Arrow Electronics, Announces $83 Price Target",1,positive,0.8,0.6,,121,11,2
7,AEROVIRONMENT INC,AeroVironment Acquires VTOL UAS Developer Pulse Aerospace For $25.7M To Strengthen Family Of Small Unmanned Aircraft Systems,1,positive,0.9,0.7,,134,11,2
8,BROADCOM INC,Analysts Discuss Broadcom's New Supply Agreement With Apple,1,positive,0.85,0.7,,112,11,2
9,BROADCOM INC,Broadcom  shares are trading higher after the company disclosed an agreement to supply radio frequency components and modules for Apple devices.,1,positive,0.9,0.7,,124,11,2
10,BROADCOM INC,Broadcom Late Monday Disclosed Agreement With Apple For A Supply Arrangement; Co. To Supply Apple With Radio Frequency Components And Modules For Apple Devices,1,positive,0.9,0.7,,129,11,2
11,AVNET INC,"Deutsche Bank Reinstates Hold on Avnet, Announces $44 Price Target",1,neutral,0.7,0.1,,115,11,1
12,BUNGE LTD,"Floods Raising Freight Rates, Washing Away Revenues",1,negative,0.9,0.8,,111,11,0
13,BAIDU INC,Baidu Reports Its DuerOS For Apollo Internet Of Vehicles Solution Platform Signed New Partnerships With 60 Automotive Manufacturers Across 300+ Car Models To Date,1,positive,0.9,0.7,,131,11,2
14,CITIGROUP INC,"Citi To Report Q2 Earnings Before Market Open On Mon., Jul. 15, 2019",1,neutral,0.7,0.1,,122,11,1
15,CITIGROUP INC,Citigroup CFO Says Bank Expects Investment Banking Revenue To Be Down In Mid Teen Range,1,negative,0.8,0.6,,118,11,0
16,CITIGROUP INC,Citigroup CFO Mark Mason Speaking At An Investor Conference Says Slow Down In Market Activity Has Persisted Through Most Of Q2; Says Bank Expects Trading Revenue To Be Down Mid Single Digits,1,negative,0.8,0.6,,139,11,0
17,CASEYS GENERAL STORES INC,Casey's General Stores Inc. shares are trading higher after the company reported better-than-expected Q4 EPS and sales results.,1,positive,0.9,0.7,,129,11,2
18,CASEYS GENERAL STORES INC,"Casey's General Reports Big Q4 Earnings Beat, Shares Rise 10%",1,positive,0.9,0.8,,119,11,2
19,CYMABAY THERAPEUTICS INC,"CymaBay Therapeutics Shares Slightly Higher After Hours As Hearing Raymond James Upgraded To Strong Buy, Set $19 Price Target",1,positive,0.8,0.6,,139,11,2
20,CYMABAY THERAPEUTICS INC,CymaBay Therapeutics shares are trading lower after the company reported data from its Phase 2b study of Seladelpar in patients with nonalcoholic steatohepatitis. Data showed reductions in liver fat were minimal and not significant compared to the placebo.,1,negative,0.9,0.8,,166,11,0
21,CYMABAY THERAPEUTICS INC,Viking Therapeutics Shares Up 5.7% Following Concerning Data From A Phase 2b Study Of Seladelpar In Patients With Nonaloholic Steatohepatitis By CymaBay Therapeutics,1,negative,0.8,0.7,,157,11,0
22,CYMABAY THERAPEUTICS INC,CymaBay Therapeutics Plummets 40% Following Liver Disease Data,1,negative,0.9,0.4,,128,11,0
23,CYMABAY THERAPEUTICS INC,"CymaBay Therapeutics Reports Data From Phase 2b Study Of Seladelpar In Patients With Nonalcoholic Steatohepatitis; Reductions In Liver Fat Were Minimal, Not Significant Compared To Placebo, Reductions In Markers Of Liver Injury Were Clinically Meaningful",1,negative,0.8,0.6,,171,11,0
24,C D W CORP NEW,"Deutsche Bank Reinstates Buy on CDW, Announces $113 Price Target",1,positive,0.9,0.7,,121,11,2
25,COHERUS BIOSCIENCES INC,Coherus BioSciences shares are trading higher after Barclays initiated coverage on the company's stock with an overweight rating and a $30 price target.,1,positive,0.9,0.7,,135,11,2
26,COHERUS BIOSCIENCES INC,"Barclays Initiates Coverage On Coherus BioSciences with Overweight Rating, Announces $30 Price Target",1,positive,0.9,0.7,,130,11,2
27,CHICOS FAS INC,Chico's FAS Q1 Comparable Sales Down 7.0%,1,negative,0.9,0.7,,117,11,0
28,CHICOS FAS INC,"Chico's FAS Q1 Adj. EPS $0.05 Beats $0.03 Estimate, Sales $517.73M Miss $518.3M Estimate",1,positive,0.7,0.2,,137,11,2
29,COLGATE PALMOLIVE CO,"Argus Research Maintains Buy on Colgate-Palmolive, Raises Price Target to $82",1,positive,0.9,0.7,,128,11,2
30,COMCAST CORP NEW,5 Tips To Spring Clean Your Finances,1,neutral,0.8,0.0,,111,11,1
31,CANADIAN NATIONAL RAILWAY CO,Alberta Premier Say Government May Have To Consider Extending Oil Curtailments Into Next Year Because Of Delay To Line 3 Pipeline,1,negative,0.7,0.6,,135,11,0
32,CANADIAN NATIONAL RAILWAY CO,Alberta Government Has Started Talks With The Private Sector About Offloading Crude-By-Rail Contracts Signed By Previous Government,1,neutral,0.7,0.2,,133,11,1
33,CORCEPT THERAPEUTICS INC,"Corcept Therapeutics 8-K Shows Co. Received Paragraph IV Notice Letter Advising Sun Pharma Submitted Abbreviated New Drug Application For FDA Authorization To Manufacture, Use Or Sell Generic Version Of KORLYM, 300mg In US",1,negative,0.8,0.7,,157,11,0
34,CATALYST PHARMACEUTICALS INC,"Catalyst Pharmaceuticals CEO Buys 25,000 @ Avg Price: $3.23",1,positive,0.8,0.6,,131,11,2
35,SALESFORCE INC,"Tableau Wanted Salesforce Shares, Benioff Tells Cramer: 'I Can't Blame Them'",1,positive,0.8,0.5,,121,11,2
36,SALESFORCE INC,"Volatility Still Elevated Despite Rally, Pointing To Possible Anxiety In Market",1,negative,0.7,0.6,,115,11,0
37,C V S HEALTH CORP,Federal Judge Nears Blocking CVS-Aetna Deal,1,negative,0.9,0.8,,114,11,0
38,DEUTSCHE BANK A G,"'Deutsche Bank threatens to axe 1,000 clients in compliance push' -FT",1,negative,0.8,0.7,,125,11,0
39,DEERE & CO,JLD-Laguë Acquires Quebec Peterbilt Dealer Transdiff,1,neutral,0.8,0.1,,114,11,1
40,DENNYS CORP,Maxim Group Downgrades Denny's to Hold,1,negative,0.9,0.7,,114,11,0
41,DANAHER CORP,"Piper Jaffray Initiates Coverage On Danaher with Neutral Rating, Announces $148 Price Target",1,neutral,0.7,0.2,,123,11,1
42,DICKS SPORTING GOODS INC,Dick's Sporting Goods Option Alert: Jul 19 $37 Calls Sweep (34) near the Ask: 600 @ $0.65 vs 2301 OI; Ref=$34.83,1,positive,0.7,0.6,,145,11,2
43,DOLLAR TREE INC,Dollar Tree shares are trading higher after JP Morgan upgraded the company's stock from Neutral to Overweight and announced a $122 price target.,1,positive,0.9,0.7,,128,11,2
44,DOLLAR TREE INC,"JP Morgan Upgrades Dollar Tree to Overweight, Announces $122 Price Target",1,positive,0.9,0.7,,118,11,2
45,DARDEN RESTAURANTS INC,"Wells Fargo Maintains Market Perform on Darden Restaurants, Lowers Price Target to $117",1,negative,0.7,0.5,,128,11,0
46,DESWELL INDUSTRIES INC,"Deswell 2H EPS $0.10 Down From $0.16 YoY, Sales $31.8M Up From $30.9M YoY,",1,negative,0.7,0.3,,139,11,0
47,DEXCOM INC,DexCom Shares Closed Up Nearly 10% On Mon.; Piper Jaffray Analyst JP McKim Tells Benzinga Upside Attributed To 'Positive Developments At The American Diabetes Association',1,positive,0.9,0.8,,139,11,2
