custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
4705,AGILENT TECHNOLOGIES INC,"Agilent Technologies Sees Q4 Adj. EPS $0.84-$0.86 vs $0.87 Est., Sales $1.31B-$1.33B vs $1.34B Est., Sees FY19 Adj. EPS $3.07-$3.08 vs $3.05 Est., Sales $5.105B-$5.125B vs $5.11B Est.",8,negative,0.6,0.4,"q4 expectations are slightly below estimates for both eps and sales, while fy19 expectations are slightly above estimates for eps and in line for sales.",210,395,0.0,2019-08-14,87432.0,6.098490953445435,10.077757288850098,6.632118223536576,1.515837013721466,-1.4568764061181017,-2.6622513977326845,-3.0308,0.0892,1.0591,-2.95,0.22,-0.51,0.007,0.0865449999999996,5.922,0.489,-0.2695,-0.0937,0.6129,-0.5382,-0.242,-1.0242,0.2499,-0.0645
4713,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q3 Adj. EPS $0.76 Beats $0.72 Estimate, Sales $1.27B Beat $1.24B Estimate",8,positive,0.9,0.8,"both adjusted eps and sales figures beat their respective estimates, indicating strong performance.",158,269,2.0,2019-08-14,87432.0,6.098490953445435,10.077757288850098,6.632118223536576,1.515837013721466,-1.4568764061181017,-2.6622513977326845,-3.0308,0.0892,1.0591,-2.95,0.22,-0.51,0.007,0.0865449999999996,5.922,0.489,-0.2695,-0.0937,0.6129,-0.5382,-0.242,-1.0242,0.2499,-0.0645
4721,AGILENT TECHNOLOGIES INC,Q3 Earnings Preview For Agilent Technologies,8,neutral,0.9,0.1,the headline is factual and does not provide specific details or sentiment about the company's performance.,134,272,1.0,2019-08-14,87432.0,6.098490953445435,10.077757288850098,6.632118223536576,1.515837013721466,-1.4568764061181017,-2.6622513977326845,-3.0308,0.0892,1.0591,-2.95,0.22,-0.51,0.007,0.0865449999999996,5.922,0.489,-0.2695,-0.0937,0.6129,-0.5382,-0.242,-1.0242,0.2499,-0.0645
4729,ADVANCE AUTO PARTS INC,Here Comes The Sun: Advance Auto Parts Analysts Bullish After Stormy Q2,8,positive,0.9,0.8,"the headline indicates a positive outlook from analysts despite a challenging second quarter, suggesting a recovery and improvement.",140,345,2.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1749,0.6546,-2.95,0.22,-0.51,0.007,-2.11163,0.6282,-1.656,-0.9055,-0.2464,0.0855,0.9882,-0.113,-0.7249,0.2009,0.9523
4737,ADVANCE AUTO PARTS INC,"UBS Maintains Buy on Advance Auto Parts, Lowers Price Target to $170",8,neutral,0.6,0.3,"ubs maintains a 'buy' rating, which is positive, but lowers the price target, which is negative, resulting in a neutral overall sentiment.",141,257,1.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1749,0.6546,-2.95,0.22,-0.51,0.007,-2.11163,0.6282,-1.656,-0.9055,-0.2464,0.0855,0.9882,-0.113,-0.7249,0.2009,0.9523
4745,ADVANCE AUTO PARTS INC,"Morgan Stanley Maintains Overweight on Advance Auto Parts, Lowers Price Target to $185",8,neutral,0.7,0.3,"while morgan stanley maintains an 'overweight' rating, which is positive, the lowering of the price target to $185 introduces a negative aspect, balancing the overall sentiment to neutral.",142,75,1.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1749,0.6546,-2.95,0.22,-0.51,0.007,-2.11163,0.6282,-1.656,-0.9055,-0.2464,0.0855,0.9882,-0.113,-0.7249,0.2009,0.9523
4753,ADVANCE AUTO PARTS INC,"Credit Suisse Maintains Outperform on Advance Auto Parts, Lowers Price Target to $162",8,positive,0.7,0.5,"the 'outperform' rating is a strong positive indicator, although the lowered price target introduces some negative sentiment.",142,315,2.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1749,0.6546,-2.95,0.22,-0.51,0.007,-2.11163,0.6282,-1.656,-0.9055,-0.2464,0.0855,0.9882,-0.113,-0.7249,0.2009,0.9523
4761,ADVANCE AUTO PARTS INC,"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $156",8,negative,0.7,0.4,"the news is slightly negative because citigroup lowered the price target, indicating a reduced expectation of the stock's future value, despite maintaining a neutral rating.",141,265,0.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1749,0.6546,-2.95,0.22,-0.51,0.007,-2.11163,0.6282,-1.656,-0.9055,-0.2464,0.0855,0.9882,-0.113,-0.7249,0.2009,0.9523
4769,ADVANCE AUTO PARTS INC,Guggenheim Downgrades Advance Auto Parts to Neutral,8,negative,0.9,0.7,"a downgrade from guggenheim indicates reduced confidence in the company's future performance, which is generally perceived negatively by investors.",136,276,0.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1749,0.6546,-2.95,0.22,-0.51,0.007,-2.11163,0.6282,-1.656,-0.9055,-0.2464,0.0855,0.9882,-0.113,-0.7249,0.2009,0.9523
4777,ACORDA THERAPEUTICS INC,Acorda Therapeutics shares are trading lower after H.C. Wainwright downgraded the stock from Buy to Neutral and lowered the price target from $31 to $6.,8,negative,0.9,0.8,"the news is negative because the stock was downgraded from buy to neutral and the price target was significantly lowered from $31 to $6, indicating a loss of confidence in the company's future performance.",166,70,0.0,2019-08-14,91086.0,9.623421728610992,31.380752015536693,51.46442398931328,-3.5335656255483627,-6.506851146053627,-7.457628027228259,-12.4542,-7.769,1.6714,-2.95,0.22,-0.51,0.007,-7.53057,9.349,0.455,6.5958,11.1754,-3.9193,1.4338,2.5388,4.9565,2.2569,5.9692
