custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
4383,ATLANTIC AMERICAN CORP,"Atlantic American Q4 EPS $0.01 Down From $0.12 YoY, Sales $49.2M Up From $48.825M YoY",7,decrease,0.8,0.6,"despite a slight increase in sales, the significant drop in eps from $0.12 to $0.01 is likely to negatively impact investor sentiment and decrease the stock price.",169,71,0.0,2019-04-01,15580.0,-0.8802143856883049,-3.559125036975974,-10.843490299856809,1.190475095063448,-1.5444000376846567,-0.3906245759533466,2.4706,3.2257,-0.1123,1.19,-0.3,0.99,0.01,2.594237,-0.9382,-0.3052,2.4408,-2.4955,-2.629,-5.6013,4.6761,-2.446,-3.1228,-0.3041
4391,ADVANCE AUTO PARTS INC,"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $182",7,decrease,0.8,0.6,"the lowering of the price target by citigroup is likely to be perceived negatively by investors, leading to a decrease in the stock price.",151,63,0.0,2019-04-01,89217.0,-0.1670267432928085,2.2807067847826046,4.492304082653242,1.0548140853643415,2.181076987793795,1.3430762431865917,1.8179,0.9113,0.7349,1.19,-0.3,0.99,0.01,0.933369,-0.0559,-1.169,1.0414,1.094,0.458,-0.4936,1.1941,1.2485,-0.8234,0.9067
4399,ALLIANCEBERNSTEIN HOLDING L P,"AllianceBernstein Holding Q1 EPS $0.49 Misses $0.53 Estimate, Sales $795.462M Beat $677.88M Estimate",7,uncertain,0.6,0.3,"while alliancebernstein holding's sales beat estimates, the eps miss could create mixed reactions among investors, leading to uncertainty in the stock price movement.",176,65,1.0,2019-04-25,75278.0,0.2407970372587442,1.4791892057317124,1.39198612258562,-0.3321168478578329,0.9078697551989424,0.166893044085481,-3.1323,-2.7012,1.0787,-0.14,-0.75,-0.19,0.01,-2.9912819999999996,-0.4804,-0.5678,1.0405,1.0297,0.1691,-0.1745,0.531,-1.6863,2.0701,0.8443
4407,ABBVIE INC,European Commission Approves Abbvie's SKYRIZI For Treatment Of Moderate To Severe Plaque Psoriasis,7,increase,0.8,0.6,"the approval of skyrizi by the european commission for the treatment of moderate to severe plaque psoriasis is likely to positively impact abbvie's stock price as it expands the market for one of its key products, potentially increasing revenue.",151,76,2.0,2019-04-30,13721.0,-0.6298022344708443,-1.813833442469792,-1.196620301706408,0.7528307847678661,1.2099908873899334,2.071952349914552,-1.1333,-1.2979,0.8915,-0.04,-0.7,0.28,0.01,-1.10764,0.063,-0.3048,-0.4348,1.1676,-0.1816,0.1347,0.1816,-1.0135,1.4117,1.3593
4415,ABBVIE INC,"AbbVie Highlights Will Present New, Updated Data of Investigational Medicines for Parkinson's Disease and Multiple Sclerosis at 2019 American Academy of Neurology Annual Meeting",7,increase,0.8,0.6,"presenting new and updated data on investigational medicines for significant conditions like parkinson's disease and multiple sclerosis at a major annual meeting is likely to be viewed positively by investors, as it suggests progress in abbvie's research and development pipeline.",162,83,2.0,2019-04-30,13721.0,-0.6298022344708443,-1.813833442469792,-1.196620301706408,0.7528307847678661,1.2099908873899334,2.071952349914552,-1.1333,-1.2979,0.8915,-0.04,-0.7,0.28,0.01,-1.10764,0.063,-0.3048,-0.4348,1.1676,-0.1816,0.1347,0.1816,-1.0135,1.4117,1.3593
4423,ABBVIE INC,"BMO Capital Upgrades AbbVie Inc. Common Stock to Market Perform, Raises Price Target to $79",7,increase,0.8,0.6,"an upgrade from bmo capital and a raised price target generally signals positive sentiment from analysts, which is likely to increase the stock price.",151,62,2.0,2019-04-29,13721.0,-1.133254822343588,-1.2951442821180437,-4.271482085119094,0.453744176775217,1.3092650150591467,1.3221373279404205,0.7528,0.7598,0.893,0.18,0.08,0.65,0.01,0.58206,-1.2979,0.063,-0.3048,-0.4348,1.1676,-0.1816,0.1347,0.1816,-1.0135,1.4117
4431,ABBVIE INC,Abbvie Says It Is Industry's Responsibility To Cover Some Drug Costs And Share Them With The Government To Make Them Affordable For Patients,7,decrease,0.7,0.5,"the news suggests that abbvie is willing to take on additional costs to make drugs more affordable, which could negatively impact its profit margins and thus its stock price.",155,63,0.0,2019-04-25,13721.0,0.453744176775217,-1.096540363434817,-1.8023602782995083,0.0127059582155197,0.6653827630017872,1.4180720222729537,0.8517,0.6309,0.902,-0.14,-0.75,-0.19,0.01,0.96798,0.1541,0.7598,-1.2979,0.063,-0.3048,-0.4348,1.1676,-0.1816,0.1347,0.1816
4439,ABBVIE INC,AbbVie  Raises FY19 Adj. EPS Guidance From $8.65-$8.75 To $8.73-$8.83 vs $8.69 Est.,7,increase,0.8,0.5,"raising the fy19 adjusted eps guidance generally signals positive financial performance, which is likely to boost investor confidence and increase the stock price.",164,62,2.0,2019-04-25,13721.0,0.453744176775217,-1.096540363434817,-1.8023602782995083,0.0127059582155197,0.6653827630017872,1.4180720222729537,0.8517,0.6309,0.902,-0.14,-0.75,-0.19,0.01,0.96798,0.1541,0.7598,-1.2979,0.063,-0.3048,-0.4348,1.1676,-0.1816,0.1347,0.1816
4447,ABBVIE INC,"AbbVie Q1 Adj. EPS $2.14 Beats $2.05 Estimate, Sales $7.83B Beat $7.76B Estimate",7,increase,0.8,0.6,"abbvie's q1 adjusted eps and sales both beat estimates, which is typically viewed positively by investors and likely to increase the stock price.",161,63,2.0,2019-04-25,13721.0,0.453744176775217,-1.096540363434817,-1.8023602782995083,0.0127059582155197,0.6653827630017872,1.4180720222729537,0.8517,0.6309,0.902,-0.14,-0.75,-0.19,0.01,0.96798,0.1541,0.7598,-1.2979,0.063,-0.3048,-0.4348,1.1676,-0.1816,0.1347,0.1816
4455,ABBVIE INC,Watching AbbVie Shares As Health Canada Approved Skyrizi For Treatment Of Moderate to Severe Plaque Psoriasis,7,increase,0.8,0.6,,151,72,2.0,2019-04-18,13721.0,0.7477140985429287,2.745903358208057,1.4696395426768485,-2.7801966294646263,-3.764032404547435,-3.4661988849468472,-0.5258,-0.8512,0.9028,0.11,-0.25,-0.51,0.01,-0.635108,0.334,-0.0627,0.2985,0.6309,0.1541,0.7598,-1.2979,0.063,-0.3048,-0.4348
