custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
3244,ASTRAZENECA PLC,"Fasenra Approved in the US for Self-administration in a New Pre-filled Auto-injector, the Fasenra Pen",6,positive,0.9,0.8,"the approval of fasenra for self-administration in a new auto-injector enhances patient convenience and potentially increases sales for astrazeneca, indicating a positive development for the company.",144,71,2,,,,,,,,,
3252,BANK OF AMERICA CORP,"Morgan Stanley Maintains Overweight on Bank of America, Lowers Price Target to $31",6,neutral,0.7,0.2,"while maintaining an 'overweight' rating is generally positive, the lowering of the price target suggests a more cautious outlook, resulting in a neutral overall sentiment.",136,66,1,,,,,,,,,
3260,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (5) near the Ask: 620 @ $0.398 vs 640 OI; Ref=$21.24,6,positive,0.7,0.6,"the significant call option activity suggests that investors are optimistic about big lots inc's stock price increasing above $22.5, indicating a bullish sentiment.",153,64,2,,,,,,,,,
3268,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (18) near the Ask: 600 @ $0.4 vs 640 OI; Ref=$21.2,6,positive,0.7,0.6,"the significant call option activity suggests bullish sentiment among investors, indicating expectations of a price increase for big lots inc.",153,57,2,,,,,,,,,
3276,BANK OF NEW YORK MELLON CORP,"Morgan Stanley Maintains Underweight on Bank of New York Mellon, Lowers Price Target to $40",6,negative,0.9,0.8,"morgan stanley's decision to maintain an underweight rating and lower the price target indicates a lack of confidence in the stock's performance, which is generally viewed as negative news.",144,70,0,,,,,,,,,
3284,BURLINGTON STORES INC,Canada Goose Holdings Get Small Spike As Traders Circulate Unconfirmed Chatter Indicating Burlington Stores Has Approached The Company With An M&A Offer,6,positive,0.7,0.6,"the news suggests that burlington stores is actively pursuing a merger or acquisition, which is generally viewed positively as it indicates growth potential and strategic interest in expanding operations.",146,66,2,,,,,,,,,
3292,FIRST BUSEY CORP,"B. Riley Maintains Neutral on First Busey, Lowers Price Target to $27",6,negative,0.8,0.7,the maintenance of a 'neutral' rating combined with a lowered price target suggests a lack of optimism about the company's future performance.,137,60,0,,,,,,,,,
3300,BLACKSTONE INC,Jon Najarian Sees Unusual Options Activity In Blackstone And Luckin Coffee,6,neutral,0.7,0.1,the mention of unusual options activity does not inherently indicate a positive or negative sentiment about blackstone inc; it simply highlights market interest.,128,62,1,,,,,,,,,
3308,C F INDUSTRIES HOLDINGS INC,"Stifel Nicolaus Maintains Hold on CF Industries Holdings, Lowers Price Target to $46",6,negative,0.8,0.7,"the maintenance of a 'hold' rating and the lowering of the price target suggest a lack of confidence in the stock's performance, indicating a negative outlook.",139,66,0,,,,,,,,,
3316,CHEGG INC,"BMO Capital Maintains Outperform on Chegg, Lowers Price Target to $35",6,negative,0.8,0.6,"while maintaining an 'outperform' rating is generally positive, lowering the price target indicates a less favorable outlook for chegg's stock performance.",130,63,0,,,,,,,,,
3324,COHERUS BIOSCIENCES INC,Coherus Biosciences shares are trading higher. Not seeing any news to justify price action.,6,neutral,0.8,0.1,"the news indicates that shares are trading higher without any specific news to justify the price action, suggesting a lack of clear positive or negative sentiment.",139,63,1,,,,,,,,,
3332,CHARTER COMMUNICATIONS INC NEW,Charter Communications shares are trading higher after KeyBanc upgraded the stock from Sector Weight to Overweight and announced a price target of $515 per share.,6,positive,0.9,0.8,"the upgrade from sector weight to overweight and the increased price target indicate a favorable outlook for charter communications, suggesting potential for stock price appreciation.",152,63,2,,,,,,,,,
3340,CHARTER COMMUNICATIONS INC NEW,"KeyBanc Upgrades Charter Communications On Price Hike, Broadband Potential",6,positive,0.85,0.7,the upgrade by keybanc suggests a favorable outlook for charter communications due to anticipated price increases and growth potential in broadband services.,136,60,2,,,,,,,,,
3348,CHARTER COMMUNICATIONS INC NEW,"Citigroup Maintains Buy on Charter Communications, Raises Price Target to $483",6,positive,0.9,0.8,"the maintenance of a 'buy' rating and an increase in the price target indicates strong confidence in the company's future performance, which is generally viewed positively by investors.",137,67,2,,,,,,,,,
3356,CHARTER COMMUNICATIONS INC NEW,"KeyBanc Upgrades Charter Communications to Overweight, Announces $515 Price Target",6,positive,0.9,0.8,"the upgrade to 'overweight' and the announcement of a $515 price target indicate a favorable outlook for charter communications, suggesting expected growth and investment potential.",138,66,2,,,,,,,,,
3364,COMERICA INC,"B. Riley Maintains Neutral on Comerica, Lowers Price Target to $65",6,negative,0.8,0.6,"the maintenance of a 'neutral' rating combined with a lowered price target suggests a lack of optimism about comerica's future performance, indicating potential challenges ahead.",129,66,0,,,,,,,,,
3372,COMCAST CORP NEW,"Citigroup Maintains Buy on Comcast, Raises Price Target to $56",6,positive,0.9,0.8,"the maintenance of a 'buy' rating and an increase in the price target indicates strong confidence in comcast's future performance, which is generally viewed positively by investors.",130,67,2,,,,,,,,,
3380,CONSOLIDATED COMMS HLDGS INC,Consolidated Communications shares are trading lower despite no company-specific news. The stock has dropped approximately 17% in the last 5 days.,6,negative,0.9,0.8,"the significant drop in stock price over the past week indicates negative market sentiment towards consolidated communications, despite the absence of specific company news.",154,62,0,,,,,,,,,
3388,CALLON PETROLEUM CO DEL,"Morgan Stanley Maintains Equal-Weight on Callon Petroleum, Lowers Price Target to $4.75",6,negative,0.8,0.7,"the downgrade in price target by morgan stanley suggests a less favorable outlook for callon petroleum, indicating potential challenges ahead.",141,58,0,,,,,,,,,
3396,SALESFORCE INC,"UK's Competition And Markets Authority Says Is Considering If Salesforce, Tableau Deal Resulted In A Lessening Of Competition Within UK",6,negative,0.8,0.6,the consideration by the uk's competition and markets authority suggests potential regulatory scrutiny that could hinder salesforce's operations or growth in the uk market.,138,61,0,,,,,,,,,
3404,C S X CORP,A Peek Into The Markets: US Stock Futures Fall; All Eyes On Jobs Data,6,neutral,0.7,0.0,the news discusses broader market trends and job data without providing specific information about c s x corp's performance or outlook.,132,59,1,,,,,,,,,
3412,C S X CORP,"JP Morgan Downgrades CSX to Neutral, Lowers Price Target to $76",6,negative,0.85,0.7,"the downgrade from jp morgan and the reduction in price target indicate a less favorable outlook for csx corp, which is generally viewed as negative news for the company.",133,68,0,,,,,,,,,
3420,CYTOSORBENTS CORP,CytoSorbents Reports Removal Of Ticagrelor Intraoperatively Results In Expected Cost Savings Of ~$5K Per Patient,6,positive,0.85,0.7,"the report of cost savings of approximately $5k per patient due to the removal of ticagrelor intraoperatively suggests a beneficial impact on healthcare costs, which is a positive development for cytosorbents corp.",147,81,2,,,,,,,,,
3428,CYTOKINETICS INC,Cytokinetics Highlights Presentation Of Added Analyses From FORTITUDE-ALS At NEALS Meeting,6,positive,0.8,0.7,the presentation of added analyses from a clinical trial at a significant meeting suggests progress and potential positive developments for cytokinetics inc's research efforts.,137,65,2,,,,,,,,,
