custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,"Agilent Technologies Sees Q4 Adj. EPS $0.84-$0.86 vs $0.87 Est., Sales $1.31B-$1.33B vs $1.34B Est., Sees FY19 Adj. EPS $3.07-$3.08 vs $3.05 Est., Sales $5.105B-$5.125B vs $5.11B Est.",1,decrease,0.7,0.3,,193,341,0.0
1,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q3 Adj. EPS $0.76 Beats $0.72 Estimate, Sales $1.27B Beat $1.24B Estimate",1,,,,,141,465,
2,AGILENT TECHNOLOGIES INC,Q3 Earnings Preview For Agilent Technologies,1,uncertain,0.6,0.5,,117,277,1.0
3,AGILENT TECHNOLOGIES INC,Agilent Announces Settlement of Key Intellectual Property Case in China,1,increase,0.8,0.3,,120,340,2.0
4,ALTISOURCE ASSET MANAGEMENT CORP,Altisource Asset Management Q2 EPS $1.81 Up From $(0.69) YoY,1,increase,0.8,0.7,,132,276,2.0
5,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics shares are trading higher after the company reported better-than-expected Q2 EPS and sales results.,1,increase,0.8,0.6,,136,340,2.0
6,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Q2 EPS $(0.26) Beats $(0.37) Estimate, Sales $43.4M Beat $42.49M Estimate",1,increase,0.7,0.2,,147,468,2.0
7,APPLIED OPTOELECTRONICS INC,A Preview Of Applied Optoelectronics Q2 Earnings,1,uncertain,0.7,0.2,,124,725,1.0
8,AAON INC,"AAON Q2 EPS $0.25 Misses $0.27 Estimate, Sales $119.4M Miss $128.36M Estimate",1,decrease,0.8,0.6,,131,341,0.0
9,ADVANCE AUTO PARTS INC,Here Comes The Sun: Advance Auto Parts Analysts Bullish After Stormy Q2,1,,,,,123,274,
10,ADVANCE AUTO PARTS INC,"UBS Maintains Buy on Advance Auto Parts, Lowers Price Target to $170",1,uncertain,0.6,0.3,,124,405,1.0
11,ADVANCE AUTO PARTS INC,"Morgan Stanley Maintains Overweight on Advance Auto Parts, Lowers Price Target to $185",1,increase,0.6,0.2,,125,340,2.0
12,ADVANCE AUTO PARTS INC,"Credit Suisse Maintains Outperform on Advance Auto Parts, Lowers Price Target to $162",1,uncertain,0.7,0.2,,125,469,1.0
13,ADVANCE AUTO PARTS INC,"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $156",1,decrease,0.7,0.2,,124,341,0.0
14,ADVANCE AUTO PARTS INC,Guggenheim Downgrades Advance Auto Parts to Neutral,1,decrease,0.7,0.3,,119,469,0.0
15,ADVANCE AUTO PARTS INC,Mid-Day Market Update: Crude Oil Up 4%; Deciphera Pharmaceuticals Shares Spike Higher,1,uncertain,0.7,0.2,,126,469,1.0
16,ADVANCE AUTO PARTS INC,Advance Auto Parts shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results. The company also narrowed its FY19 sales guidance.,1,decrease,0.9,0.7,,138,341,0.0
17,ADVANCE AUTO PARTS INC,Advance Auto Parts Falls After Q2 Earnings Miss,1,decrease,0.9,0.6,,116,405,0.0
18,ADVANCE AUTO PARTS INC,Advance Auto Parts Narrows FY19 Sales Guidance From %9.56B-$9.80B To $9.65B-$9.75B,1,increase,0.8,0.3,,138,468,2.0
19,ADVANCE AUTO PARTS INC,Advance Auto Parts Reports $400M Buyback,1,increase,0.8,0.4,,116,340,2.0
20,ADVANCE AUTO PARTS INC,"Advance Auto Parts Q2 Adj. EPS $2 Misses $2.21 Estimate, Sales $2.3B Miss $2.36B Estimate",1,decrease,0.9,0.6,,138,341,0.0
21,ADVANCE AUTO PARTS INC,Earnings Outlook For Advance Auto Parts,1,uncertain,0.6,0.4,,114,405,1.0
22,ABBVIE INC,AbbVie Says its Phase 3 Trial Evaluating Rova-T Demonstrated 'No Survival Benefit',1,decrease,0.8,0.3,,122,469,0.0
23,ABBVIE INC,AbbVie to Discontinue Development of Rovalpituzumab Tesirine (Rova-T),1,decrease,0.8,0.3,,122,469,0.0
24,ABBVIE INC,"UPDATE: PiperJaffray On AbbVie Also Notes 'while we have been rather vocal about the various pressure points on the Humira business, we do think ABBV has a great opportunity to pivot the narrative towards successful launches of Skyrizi and now Rinvoq'",1,increase,0.7,0.3,,156,340,2.0
25,ABBVIE INC,"UPDATE: PiperJaffray Upgrades AbbVie To Overweight, Announces $80 Target As Firm Notes 'we do think a bottom of sorts has been found on this name with the stock around ~$66'",1,increase,0.9,0.6,,144,468,2.0
26,ABBVIE INC,AbbVie shares are trading higher after Piper Jaffray upgraded the stock from Neutral to Overweight and announced a price target of $80 per share.,1,increase,0.8,0.4,,132,212,2.0
27,ABBVIE INC,"Piper Jaffray Upgrades AbbVie to Overweight, Announces $80 Price Target",1,increase,0.8,0.5,,121,340,2.0
28,ABBVIE INC,FDA Approves Nda For Abbvie's Rinvoq (Upadacitinib) For Treatment Of Rheumatoid Arthritis,1,increase,0.8,0.5,,127,596,2.0
29,ABBVIE INC,AbbVie Shares Tick Slightly Lower As Hearing Co. Accused Of Scheming To Stretch Androgel Monopoly,1,decrease,0.7,0.1,,125,469,0.0
30,AMERISOURCEBERGEN CORP,AmerisourceBergen shares are trading higher after the company reported better-than-expected Q3 EPS and sales results.,1,,,,,134,402,
31,AMERISOURCEBERGEN CORP,"AmerisourceBergen Q3 Adj. EPS $1.76 Beats $1.62 Estimate, Sales $45.239B Beat $45.1B Estimate",1,increase,0.8,0.4,,145,340,2.0
32,AMBEV SA,Barclays Downgrades Ambev to Equal-Weight,1,decrease,0.8,0.4,,115,277,0.0
33,AMBEV SA,Ambev shares are trading lower on seemingly no company-specific news.,1,decrease,0.7,0.2,,115,533,0.0
34,ASBURY AUTOMOTIVE GROUP INC,"Morgan Stanley Maintains Equal-Weight on Asbury Automotive Group, Raises Price Target to $95",1,increase,0.6,0.2,,130,532,2.0
35,ARCA BIOPHARMA INC,ARCA biopharma Q2 EPS $(1.14) Up From $(2.74) YoY,1,increase,0.8,0.3,,131,468,2.0
36,A B M INDUSTRIES INC,William Blair Initiates Coverage On ABM Industries with Market Perform Rating,1,uncertain,0.7,0.1,,120,405,1.0
37,A B M INDUSTRIES INC,"ABM Receives A Multi-Year Contract With The University Of Miami In Coral Gables, Florida, To Provide Services For The Campus",1,increase,0.7,0.2,,133,340,2.0
38,ARBOR REALTY TRUST INC,Raymond James Upgrades Arbor Realty Trust to Outperform,1,increase,0.8,0.3,,118,276,2.0
39,ARBOR REALTY TRUST INC,"Arbor Realty Trust Q2 EPS $0.31 Beats $0.3 Estimate, Adj. FFO $0.33",1,increase,0.8,0.2,,133,468,2.0
40,ACADIA PHARMACEUTICALS,"UPDATE: Cantor Fitzgerald Reiterates Overweight On Acadia Pharmaceuticals, Raises Target To $40 As Firm Notes 'enhanced conviction, due to recent diligence with multiple KOLs, for pimavanserin as treatment for negative symptoms in schizophrenia pts'",1,increase,0.8,0.6,,164,340,2.0
41,ACADIA PHARMACEUTICALS,"Cantor Fitzgerald Reiterates Overweight on ACADIA Pharmaceuticals, Raises Price Target to $40",1,increase,0.8,0.6,,133,340,2.0
42,A C C O BRANDS CORP,ACCO Brands Adds $100M To Buyback,1,increase,0.8,0.6,,121,404,2.0
43,A C C O BRANDS CORP,ACCO Brands Acquires Industria Grafica Foroni Ltda for $57M,1,increase,0.7,0.2,,127,340,2.0
44,ARCH CAPITAL GROUP LTD NEW,"Bank of America Maintains Buy on Arch Capital Group, Raises Price Target to $45",1,increase,0.8,0.4,,122,212,2.0
45,ARCH CAPITAL GROUP LTD NEW,"UBS Maintains Buy on Arch Capital Group, Raises Price Target to $45",1,increase,0.7,0.5,,121,276,2.0
46,AXCELIS TECHNOLOGIES INC,Axcelis Technologies shares are trading lower after the company reported worse-than-expected Q2 sales results.,1,decrease,0.9,0.7,,129,405,0.0
47,AXCELIS TECHNOLOGIES INC,"Axcelis Technologies Q2 EPS $0.02 Beats $(0.03) Estimate, Sales $74.305M Miss $75M Estimate",1,increase,0.7,0.3,,139,532,2.0
48,A E C O M,Aecom Completes Cleanup At The Separations Process Research Unit Nuclear Facility In New York,1,increase,0.8,0.2,,122,468,2.0
49,A E C O M,Barclays Upgrades AECOM to Overweight,1,increase,0.8,0.6,,116,404,2.0
50,A E C O M,AECOM Wins a $725M Contract Extension From the US Department of Energy,1,,,,,120,402,
51,A E C O M,AECOM Sees FY19 Adj. EPS $2.60-$2.90 vs $2.80 Est.,1,decrease,0.7,0.2,,128,341,0.0
52,A E C O M,"AECOM Q3 Adj. EPS $0.72 Misses $0.73 Estimate, Sales $4.98B Miss $5.23B Estimate",1,,,,,137,403,
53,ACCENTURE PLC IRELAND,"Accenture Wins $79M Contract To Provide Program, Project Mgmt. Support To US Navy Bureau Of Medicine And Survey",1,increase,0.8,0.1,,133,468,2.0
54,ACCENTURE PLC IRELAND,Accenture to Acquire Australian Analytics and Data Specialists Analytics8; Terms Not Disclosed,1,increase,0.7,0.2,,125,340,2.0
55,ACCENTURE PLC IRELAND,"Accenture Acquires Northstream, Stockholm-Based Consultancy to Communications Service Providers, Terms Not Disclosed",1,increase,0.7,0.2,,128,404,2.0
56,ACORDA THERAPEUTICS INC,Acorda Therapeutics shares are trading lower after H.C. Wainwright downgraded the stock from Buy to Neutral and lowered the price target from $31 to $6.,1,decrease,0.9,0.8,,149,341,0.0
57,ACORDA THERAPEUTICS INC,"H.C. Wainwright Downgrades Acorda Therapeutics to Neutral, Lowers Price Target to $6",1,decrease,0.8,0.5,,137,277,0.0
58,ACORDA THERAPEUTICS INC,"Stifel Maintains Hold on Acorda Therapeutics, Lowers Price Target to $7",1,decrease,0.8,0.3,,132,469,0.0
59,ACORDA THERAPEUTICS INC,"Wedbush Reiterates Neutral on Acorda Therapeutics, Lowers Price Target to $7",1,,,,,134,275,
60,ACELRX PHARMACEUTICALS INC,"AcelRx Pharmaceuticals Q2 EPS $(0.16) Beats $(0.22) Estimate, Sales $941K Miss $1.1M Estimate",1,uncertain,0.6,0.3,,146,405,1.0
61,ACELRX PHARMACEUTICALS INC,"Credit Suisse Assumes AcelRx Pharmaceuticals at Outperform, Announces $7 Price Target",1,increase,0.7,0.2,,132,404,2.0
62,ACASTI PHARMA INC,"UPDATE: B. Riley FBR On Acasti Pharma Also Notes 'CaPre could be the best-in-class omega-3 fatty acid drug and could capture a large share of the market, even without a first-to-market advantage. We project >C$100M in sales revenue in FY24'",1,increase,0.8,0.6,,169,276,2.0
63,ACASTI PHARMA INC,"Update: B. Riley FBR Initiates Acasti Pharma With Buy, $7.75 Target 'based on expectations of positive Phase III results in early 1Q20 with leading drug candidate, CaPre'",1,increase,0.8,0.5,,152,340,2.0
64,ACASTI PHARMA INC,"B. Riley FBR Initiates Coverage On Acasti Pharma with Buy Rating, Announces $7.75 Price Target",1,increase,0.7,0.4,,133,404,2.0
65,ACASTI PHARMA INC,Acasti Pharma Q1 EPS $(0.15) Beats $(0.16) Estimate,1,increase,0.7,0.1,,128,404,2.0
66,ACASTI PHARMA INC,"Shares of several healthcare companies are trading lower in sympathy with the overall market amid growing concerns over the U.S.-China trade war. This morning, President Trump announced the U.S. will not be doing business with Huawei.",1,decrease,0.7,0.2,,152,405,0.0
67,ACACIA RESEARCH CORP,"Acacia Research Late Monday Reported Q2 EPS $(0.04) Down From $0.13 YoY, Sales $5.458M May Not Be Comparable $49.2M Estimate",1,decrease,0.8,0.7,,149,277,0.0
68,ACACIA RESEARCH CORP,Immersion Corp 13D Shows Acacia Research Holds 5.1% Stake In Co.,1,increase,0.6,0.2,,128,596,2.0
69,ADOBE INC,"Canaccord Genuity Analyst Richard Davis Comments On Adobe's Weakness In Relation To Potential Sympathy Move On Autodesk's Weak Q3 Forecast, Tell Benzinga 'No, 2 different companies, wildly different segments, products, etc.'",1,,,,,149,338,
70,ADOBE INC,Adobe shares are potentially trading lower after B2B software company Autodesk forecasted worse-than-expected Q3 financial results.,1,decrease,0.6,0.3,,126,405,0.0
71,ADOBE INC,"Soros 13F Just Out; Shows New Stake In Allergan, Liquidated Stake In Adobe",1,decrease,0.7,0.3,,123,341,0.0
