custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,PreMarket Prep Recap: Yo-Yo Market And After-Hours Overshoot On Ackman's New Stake,1,increase,0.7,0.2,,130,1364,2.0
1,AGILENT TECHNOLOGIES INC,UPDATE: Bill Ackman's Pershing Square Files Amended 13F Showing New ~2.916M Share Stake In Agilent,1,uncertain,0.5,0.1,,135,1429,1.0
2,AGILENT TECHNOLOGIES INC,Hearing Pershing Square Reports 2.9M Share Stake In Agilent,1,uncertain,0.4,0.1,,125,1045,1.0
3,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics to Participate in Raymond James Technology Investors Conference Tuesday Dec. 10 At 3:35 p.m. ET,1,,,,,140,1237,
4,ADVANCE AUTO PARTS INC,"Advance Auto Parts Announces Purchase Of DieHard Brand From Transformco , Utilizing $200M Cash On Hand",1,increase,0.7,0.3,,127,1300,2.0
5,ADVANCE AUTO PARTS INC,'Advance Auto Parts to buy DieHard brand from Sears for $200 million in cash deal' -CNBC,1,uncertain,0.5,0.2,,129,1237,1.0
6,ADVANCE AUTO PARTS INC,"Advance Auto Parts shares are trading higher in sympathy with AutoZone, which reported strong Q1 results.",1,increase,0.7,0.4,,126,1108,2.0
7,ABBVIE INC,"Cowen & Co. Maintains Outperform on AbbVie, Raises Price Target to $98",1,increase,0.7,0.1,,122,1236,2.0
8,ABBVIE INC,AbbVie shares are trading higher. Not seeing any news to justify the price action.,1,uncertain,0.6,0.2,,119,1365,1.0
9,ABBVIE INC,Abbvie Reaches An Agreement With The Pan-Canadian Pharmaceutical Alliance For The Combination Venclexta With Rituximab As A Treatment For Patients With Chronic Lymphocytic Leukemia,1,uncertain,0.5,0.1,,141,1621,1.0
10,ABBVIE INC,AbbVie Receives European Commission Approval Of RINVOQ For The Treatment Of Adults With Moderate To Severe Active Rheumatoid Arthritis,1,,,,,128,1619,
11,ABBVIE INC,Watching Allergan Shares AS Hearing Co. Deal With AbbVie To Receive US Regulatory Approval In Jan. 2020,1,increase,0.7,0.5,,126,1172,2.0
12,ABBVIE INC,AbbVie and Scripps Research to Collaborate on New Therapies,1,uncertain,0.5,0.2,,117,1173,1.0
13,ABBVIE INC,AbbVie Reports Deal With Pan-Canadian Pharma Alliance For Skyrizi For Treatment Of Moderate To Severe Plaque Psoriasis,1,uncertain,0.5,0.1,,127,1429,1.0
14,AMBEV SA,Ambev SA shares are trading higher on seemingly no company-specific news. The stock was around the $4.65 resistance level before it spiked higher.,1,uncertain,0.4,0.2,,133,1302,1.0
15,AMBEV SA,Shares of several Brazilian companies are trading higher on strong economic data out of the country as well as global macro optimism on positive U.S.-China trade reports.,1,increase,0.6,0.4,,133,1940,2.0
16,AMBEV SA,Barclays Downgrades Ambev to Underweight,1,decrease,0.8,0.2,,114,2005,0.0
17,ASBURY AUTOMOTIVE GROUP INC,"Morgan Stanley Maintains Equal-Weight on Asbury Automotive Group, Lowers Price Target to $111",1,uncertain,0.5,0.0,,131,1621,1.0
18,ASBURY AUTOMOTIVE GROUP INC,Asbury Automotive Group Reports Purchase Of Park Place Dealerships For $1B In Cash,1,uncertain,0.5,0.2,,129,1493,1.0
19,A B M INDUSTRIES INC,"Baird Maintains Neutral on ABM Industries, Lowers Price Target to $34",1,uncertain,0.5,0.0,,124,1109,1.0
20,A B M INDUSTRIES INC,ABM Industries Raises Quarterly Dividend From $0.180 To $0.185/Share,1,increase,0.7,0.1,,125,1428,2.0
21,A B M INDUSTRIES INC,ABM Industries Sees FY20 Adj. EPS $1.90-$2.10 vs $2.10 Est.,1,decrease,0.6,0.2,,131,2005,0.0
22,A B M INDUSTRIES INC,"ABM Industries Q4 Adj. EPS $0.66 Beats $0.62 Estimate, Sales $1.648B Miss $1.67B Estimate",1,uncertain,0.4,0.2,,139,853,1.0
23,ARBOR REALTY TRUST INC,Arbor Realty Trust Announces 6M Share Common Stock Offering,1,decrease,0.7,0.4,,119,1173,0.0
24,ACADIA PHARMACEUTICALS,ACADIA Pharmaceuticals shares are trading lower. Not seeing any company-specific news to justify the price action.,1,uncertain,0.4,0.0,,133,1045,1.0
