custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
5065,AGILENT TECHNOLOGIES INC,"Bank of America Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $82",6,neutral,0.8,0.2,"mixed signal — bank of america sustaining a buy rating is positive, but lowering the price target is negative, so the overall sentiment is neutral with low magnitude.",141,326,1.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5073,AGILENT TECHNOLOGIES INC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also announced weak Q3 sales guidance.,6,negative,0.95,0.8,"the company reported worse-than-expected q2 eps and sales and issued weak q3 sales guidance, which is clearly negative and has driven the stock lower.",149,191,0.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5081,AGILENT TECHNOLOGIES INC,"Deutsche Bank Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $85",6,positive,0.8,0.3,"maintaining a buy rating signals continued positive endorsement for agilent, though lowering the price target tempers upside expectations, so the overall sentiment is mildly positive.",141,255,2.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5089,AGILENT TECHNOLOGIES INC,"Barclays Maintains Overweight on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $86",6,positive,0.8,0.3,"maintaining an overweight rating signals a continued favorable view of agilent, though the lowered price target tempers the optimism, making the overall tone mildly positive.",142,263,2.0,2019-05-15,87432.0,-11.01171225309372,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979
5097,AGILENT TECHNOLOGIES INC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also issued Q3 sales guidance below analyst estimates.,6,negative,0.95,0.8,"q2 eps and sales missed expectations and q3 sales guidance was issued below analyst estimates, which typically drives share weakness and is negative for the company's near-term outlook.",151,200,0.0,2019-05-14,87432.0,2.93879453092813,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059
5105,AGILENT TECHNOLOGIES INC,"Agilent Technologies Sees Q3 Adj. EPS $0.71-$0.73 vs $0.73 Est., Sales $1.225B-$1.245B vs $1.27B Est. Sees FY19 Adj. EPS $3.03-$3.07 vs $3.07 Est., Sales $5.085B-$5.125B vs $5.19B Est.",6,negative,0.85,0.3,agilent's q3 and fy guidance ranges are at or below analyst estimates—sales guidance is clearly below consensus and eps ranges include values below estimates—implying a slightly weaker-than-expected outlook.,202,400,0.0,2019-05-14,87432.0,2.93879453092813,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059
5113,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q2 Adj. EPS $0.71 Misses $0.72 Estimate, Sales $1.24B Miss $1.27B Estimate",6,negative,0.9,0.45,"both adjusted eps ($0.71 vs $0.72 est.) and sales ($1.24b vs $1.27b est.) missed analyst expectations, indicating a weaker-than-expected quarter and a negative signal for agilent.",151,272,0.0,2019-05-14,87432.0,2.93879453092813,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059
5121,ALTISOURCE ASSET MANAGEMENT CORP,Altisource Asset Management Q1 EPS $(0.56) Up From $(2.75) YoY,6,positive,0.85,0.5,"eps improved materially from a $(2.75) loss to a $(0.56) loss year-over-year, indicating a positive earnings trend despite still being negative.",142,264,2.0,2019-05-08,14127.0,-6.5000019967556,-1.7276844009757,-9.62566939755803,-15.67256098028511,-1.88494231551885,-1.92380325876716,-4.2709862433842405
5129,ATLANTIC AMERICAN CORP,"Atlantic American Q1 EPS $0.19 Up From $(0.25) YoY, Sales $55.018M Up From $40.54M YoY",6,positive,0.95,0.8,"both eps swung from a loss to a profit ($-0.25 to $0.19) and sales rose substantially year‑over‑year (about 36%), indicating a materially positive quarter for atlantic american.",152,338,2.0,2019-05-13,15580.0,-1.6546912491321502,0.0530933379195599,-4.03071219505601,-0.54314269806204,2.46503241360187,5.95320056566084,5.95320056566084
5137,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Posts Q1 Earnings Miss: What Analysts Have To Say,6,negative,0.9,0.6,"a reported q1 earnings miss signals weaker-than-expected financial performance for applied optoelectronics, which is generally viewed negatively by investors (analysts' commentary may add nuance).",138,203,0.0,2019-05-09,14145.0,-9.36981812119484,-2.01281122863292,-11.16194173138447,-18.938705928957532,-0.16555880429223,-4.96453256695802,-4.28571385863024
