custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,ATLANTIC AMERICAN CORP,"Atlantic American Q4 EPS $0.01 Down From $0.12 YoY, Sales $49.2M Up From $48.825M YoY",1,neutral,0.7,0.5,,128,11,1.0
1,ADVANCE AUTO PARTS INC,"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $182",1,negative,0.9,0.8,,136,11,0.0
2,ABBVIE INC,Alector Initiates Phase 1 Trial Of AL003 For Treatment Of Patients With Alzheimer's Disease,1,neutral,0.7,0.3,,128,11,1.0
3,ACADIA PHARMACEUTICALS,ACADIA Pharma Promotes Elena Ridloff CFO,1,neutral,0.7,0.4,,129,11,1.0
4,ADOBE INC,KeyBanc Lifts Roku Price Target Amid Ongoing Momentum,1,neutral,0.8,0.1,,130,11,1.0
5,ADMA BIOLOGICS INC,ADMA Shares Halted Ahead Of Apr. 2 PDUFA Date For RI-002,1,neutral,0.7,0.5,,115,11,1.0
6,AIR LEASE CORP,Air Lease Corporation Announces Delivery of First of Five New Boeing 787-9 Aircraft with China Southern Airlines,1,positive,0.9,0.7,,127,11,2.0
7,ALLY FINANCIAL INC,Ally Reports $1.25B Buyback,1,positive,0.8,0.7,,123,11,2.0
8,ALTAIR ENGINEERING INC,"Altair Acquires Cambridge Collaborative's SEAM Software, Terms Not Disclosed",1,positive,0.8,0.6,,130,11,2.0
9,AON PLC NEW,"Barclays Maintains Equal-Weight on Aon, Raises Price Target to $155",1,negative,0.8,0.6,,123,11,0.0
10,AIR TRANSPORT SERVICES GROUP INC,Amazon Moves Into 737 Freighter Operations Under Lease With Atlas Air,1,neutral,0.7,0.5,,118,11,1.0
11,ASTRAZENECA PLC,AstraZeneca shares are trading higher after the FDA granted Breakthrough Therapy Designation for the company's Zelumetinib and the stock was upgraded from Market Perform to Outperform by Cowen.,1,positive,0.9,0.8,,136,11,2.0
12,ASTRAZENECA PLC,"Cowen & Co. Upgrades AstraZeneca to Outperform, Raises Price Target to $48",1,positive,0.9,0.8,,127,11,2.0
