custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,"UBS Downgrades Agilent Technologies to Neutral, Announces $82 Price Target",1,decrease,0.8,0.5,,128,12,0.0
1,ACME UNITED CORP,"Acme United Q3 EPS $0.3 Beats $0.28 Estimate, Sales $36.995M Beat $36.76M Estimate",1,increase,0.8,0.5,,138,11,2.0
2,A D T INC,ADT shares are trading higher after the company announced it will acquire I-View Now to help reduce false alarms and optimize priority response from emergency services.,1,increase,0.8,0.5,,135,11,2.0
3,ARROWHEAD PHARMACEUTICALS INC,Arrowhead Pharmaceuticals shares are trading higher after the company discussed its developement strategy for its emerging pipiline of RNAi at its R&D conference.,1,increase,0.8,0.5,,146,11,2.0
4,AMES NATL CORP,Ames National Q3 EPS $0.44 Down From $0.48 YoY,1,decrease,0.8,0.5,,128,12,0.0
5,ACTIVISION BLIZZARD INC,Group Of Members Of Congress Pen Letter To Blizzard CEO Condemning Co.'s Decision To Ban Professional Hearthstone Player For Voicing Support For Hong Kong Protests,1,decrease,0.8,0.5,,146,12,0.0
6,ACTIVISION BLIZZARD INC,Activision Blizzard shares are trading lower despite high anticipation of the new Modern Warfare release and strength in its Call of Duty Mobile title. The company confirmed 'Modern Warfare' will have free maps and no loot boxes.,1,decrease,0.8,0.05,,155,12,0.0
7,AMERICAN EXPRESS CO,American Express Trades Higher On Q3 Earnings Beat,1,increase,0.8,0.5,,116,11,2.0
8,AMERICAN EXPRESS CO,American Express Sees FY19 Adj. EPS $7.85-$8.35 vs $8.12 Estimate,1,decrease,0.8,0.5,,129,12,0.0
9,AMERICAN EXPRESS CO,"American Express Q3 EPS $2.08 Beats $2.03 Estimate, Sales $11B Beat $10.95B Estimate",1,increase,0.8,0.5,,133,11,2.0
10,ACUITY BRANDS INC,"JMP Securities Maintains Market Outperform on Acuity Brands, Lowers Price Target to $160",1,decrease,0.8,0.5,,130,12,0.0
11,ALIBABA GROUP HOLDING LTD,"Alibaba shares trading lower with broader US, Chinese stock markets. The company's Pictures unit is expecting to reporting a net loss between RMB370 million and RMB400 million during the second half of 2019.",1,decrease,0.8,0.5,,155,12,0.0
12,ALIBABA GROUP HOLDING LTD,Alibaba Shares Down 2.4% For Session; Hearing Co.'s Pictures Unit Expecting 2H'19 Net Loss RMB370M-RMB400M,1,decrease,0.8,0.5,,147,12,0.0
13,B C B BANCORP INC,BCB Bancorp Q3 EPS $0.3 Up From $0.27 YoY,1,increase,0.8,0.5,,133,11,2.0
14,BANK OF NEW YORK MELLON CORP,Bank of New York Mellon shares are trading higher after Credit Suisse raised the price target of the stock from $46 to $48.,1,increase,0.8,0.5,,142,11,2.0
15,BANK OF NEW YORK MELLON CORP,"Credit Suisse Maintains Neutral on Bank of New York Mellon, Raises Price Target to $48",1,increase,0.8,0.5,,135,11,2.0
16,BANCO LATINOAMERICANO DE CO EX S,Foreign Trade Bank Q3 EPS $0.52 Misses $0.55 Estimate,1,decrease,0.8,0.5,,139,12,0.0
17,BADGER METER INC,"Baird Maintains Neutral on Badger Meter, Raises Price Target to $52",1,increase,0.8,0.5,,125,11,2.0
18,BURLINGTON STORES INC,"UPDATE: Credit Suisse Maintains Outperform On Burlington Stores, Raises Tgt To $245 On 'Conservative 4Q guidance + emerging SSS/margin drivers (with accelerating tailwinds from stepped up 2019 new store opens) that should support a best-in-class EPS algo'",1,increase,0.8,0.5,,169,11,2.0
19,BURLINGTON STORES INC,"Credit Suisse Maintains Outperform on Burlington Stores, Raises Price Target to $245",1,increase,0.8,0.5,,127,11,2.0
20,CHEESECAKE FACTORY INC,"Morgan Stanley Maintains Equal-Weight on Cheesecake Factory, Lowers Price Target to $43",1,decrease,0.8,0.5,,135,12,0.0
21,CHEESECAKE FACTORY INC,"Barclays Maintains Underweight on Cheesecake Factory, Lowers Price Target to $37",1,decrease,0.8,0.5,,134,12,0.0
22,CATERPILLAR INC,Caterpillar shares are trading lower after Morgan Stanley downgraded the stock from Overweight to Equal-Weight and lowered the price target $150 to $145 per share.,1,decrease,0.8,0.5,,143,12,0.0
23,CATERPILLAR INC,UPDATE: Morgan Stanley On Caterpillar Also Notes 'We believe that the US Construction Equipment market peaked in 2019 and that E&T markets will fail to re-accelerate in 2020',1,decrease,0.8,0.7,,149,12,0.0
24,CATERPILLAR INC,"UPDATE: Morgan Stanley Downgrades Caterpillar To Equal-Weight, Lowers Target To $145 As Firm Notes 'We see increasing downside risks to CAT's Construction and Energy & Transportation segments'",1,decrease,0.8,0.7,,147,12,0.0
25,CATERPILLAR INC,"Morgan Stanley Downgrades Caterpillar to Equal-Weight, Lowers Price Target to $145",1,decrease,0.8,0.5,,129,12,0.0
26,CROWN CASTLE INC,Crown Castle International shares are trading higher after SunTrust Robinson Humphrey maintained a Buy rating on the company's stock and raised the price target from $135 to $150.,1,increase,0.8,0.5,,142,11,2.0
27,CROWN CASTLE INC,"SunTrust Robinson Humphrey Maintains Buy on Crown Castle Intl, Raises Price Target to $150",1,increase,0.8,0.5,,127,11,2.0
28,CROWN CASTLE INC,"UBS Maintains Neutral on Crown Castle Intl, Raises Price Target to $137",1,increase,0.8,0.5,,124,11,2.0
29,CROWN HOLDINGS INC,"Crown Holdings shares are trading higher after analysts at multiple firms reiterated bullish ratings and raised price targets following Q3 results, citing positive global beverage can outlook.",1,increase,0.8,0.5,,138,11,2.0
30,CROWN HOLDINGS INC,"Deutsche Bank Maintains Buy on Crown Holdings, Raises Price Target to $75",1,increase,0.8,0.5,,124,11,2.0
31,CROWN HOLDINGS INC,"Wells Fargo Maintains Outperform on Crown Holdings, Raises Price Target to $75",1,increase,0.8,0.5,,125,11,2.0
32,CITIZENS FINANCIAL GROUP INC,Citizens Financial Group Q3 EPS $0.98 Beats $0.96 Estimate,1,increase,0.8,0.5,,131,11,2.0
33,COMSTOCK HOLDING COMPANIES INC,Comstock Holding Cos. Reports Rolls-Royce North America To Move Its Headquarters To Reston Station In Early 2020,1,increase,0.8,0.5,,141,11,2.0
34,CHOICE HOTELS INTERNATIONAL INC,"Wells Fargo Maintains Market Perform on Choice Hotels Intl, Lowers Price Target to $88",1,decrease,0.8,0.5,,129,12,0.0
35,CHEMUNG FINANCIAL CORP,Chemung Financial Q3 EPS $0.4 Down From $1.11 YoY,1,decrease,0.8,0.7,,132,12,0.0
36,CIGNA GROUP,"UPDATE: Mizuho On Cigna Also Notes 'In the near-term, we think earnings will be a catalyst to drive multiple expansion if CI meets its guidance for Express Scripts'",1,increase,0.8,0.5,,142,11,2.0
37,CIGNA GROUP,"UPDATE: Mizhuo Initiates Cigna With Buy, $180 Target As Firm Thinks 'Cigna and Express Scripts combined create revenue synergies that support the company's 2021 adjusted EPS outlook of $21.00-22.00 and the long-term EPS CAGR of +10-13%'",1,increase,0.8,0.7,,171,11,2.0
38,CIGNA GROUP,"Mizuho Initiates Coverage On Cigna with Buy Rating, Announces $180 Price Target",1,increase,0.8,0.5,,126,11,2.0
