custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,ATLANTIC AMERICAN CORP,"Atlantic American Q4 EPS $0.01 Down From $0.12 YoY, Sales $49.2M Up From $48.825M YoY",1,decrease,0.7,0.2,,145,12,0
1,ADVANCE AUTO PARTS INC,"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $182",1,decrease,0.7,0.5,,127,12,0
2,ABBVIE INC,Alector Initiates Phase 1 Trial Of AL003 For Treatment Of Patients With Alzheimer's Disease,1,uncertain,0.6,0.2,,124,12,1
3,ACADIA PHARMACEUTICALS,ACADIA Pharma Promotes Elena Ridloff CFO,1,increase,0.7,0.2,,127,11,2
4,ADOBE INC,KeyBanc Lifts Roku Price Target Amid Ongoing Momentum,1,uncertain,0.5,0.1,,118,12,1
5,ADMA BIOLOGICS INC,ADMA Shares Halted Ahead Of Apr. 2 PDUFA Date For RI-002,1,uncertain,0.7,0.5,,129,12,1
6,AIR LEASE CORP,Air Lease Corporation Announces Delivery of First of Five New Boeing 787-9 Aircraft with China Southern Airlines,1,increase,0.7,0.5,,128,11,2
7,ALLY FINANCIAL INC,Ally Reports $1.25B Buyback,1,increase,0.7,0.5,,120,11,2
8,ALTAIR ENGINEERING INC,"Altair Acquires Cambridge Collaborative's SEAM Software, Terms Not Disclosed",1,increase,0.7,0.5,,125,11,2
9,AON PLC NEW,"Barclays Maintains Equal-Weight on Aon, Raises Price Target to $155",1,increase,0.7,0.2,,124,11,2
10,AIR TRANSPORT SERVICES GROUP INC,Amazon Moves Into 737 Freighter Operations Under Lease With Atlas Air,1,increase,0.7,0.5,,123,11,2
11,ASTRAZENECA PLC,AstraZeneca shares are trading higher after the FDA granted Breakthrough Therapy Designation for the company's Zelumetinib and the stock was upgraded from Market Perform to Outperform by Cowen.,1,increase,0.8,0.5,,147,11,2
12,ASTRAZENECA PLC,"Cowen & Co. Upgrades AstraZeneca to Outperform, Raises Price Target to $48",1,increase,0.7,0.5,,129,11,2
13,AUTOZONE INC,"Citigroup Maintains Buy on AutoZone, Raises Price Target to $1.206K",1,increase,0.75,0.1,,122,11,2
14,ALIBABA GROUP HOLDING LTD,This Analyst Loves Alibaba's 'Super App',1,increase,0.7,0.5,,120,11,2
15,BANCO BILBAO VIZCAYA ARGENTARIA,BBVA shares are trading higher after analysts at Deutsche Bank upgraded the company's stock from Hold to Buy.,1,increase,0.8,0.5,,143,11,2
16,BANCO BILBAO VIZCAYA ARGENTARIA,Deutsche Bank Earlier Upgraded BBVA to Buy,1,increase,0.7,0.5,,134,11,2
17,PEABODY ENERGY CORP NEW,"Deutsche Bank Initiates Coverage On Peabody Energy with Buy Rating, Announces $33 Price Target",1,increase,0.7,0.5,,132,11,2
18,CACI INTERNATIONAL INC,CACI International Wins a $71M US Army Contract to Provide Sensor Systems,1,increase,0.7,0.5,,121,11,2
19,CAL MAINE FOODS INC,"Cal-Maine Foods Q3 EPS $0.82 Beats $0.42 Estimate, Sales $383.992M Beat $370.76M Estimate",1,increase,0.8,0.5,,141,11,2
20,CATERPILLAR INC,China Strength Appears To Give Markets An Early Boost Despite Weak Retail Sales Data,1,increase,0.6,0.3,,125,11,2
21,COMCAST CORP NEW,"Disney's 'Dumbo' Flies Off With Weekend Box Office, But Not Quite As High As Expected",1,uncertain,0.6,0.2,,129,12,1
22,GLOBAL CORD BLOOD CORP,"Global Cord Blood to Increase its Processing Fee from RMB 3,000 to RMB 9,800",1,decrease,0.7,0.5,,132,12,0
23,COMPASS DIVERSIFIED HOLDINGS,Compass Diversified Holdings Promotes Pat Maciariello COO,1,increase,0.7,0.2,,124,11,2
24,CIRRUS LOGIC INC,Cirrus Logic shares are trading lower following a report Cirrus is not a supplier for Apple's AirPods 2.,1,decrease,0.8,0.5,,132,12,0
25,CATALENT INC,Catalent Announces the First Patient Has Been Dosed in its Phase 1 Clinical Trial of its B-Cell Lymphona Treatment,1,increase,0.7,0.5,,132,11,2
26,CENOVUS ENERGY INC,Cenovus Energy Option Alert: Apr 18 $9 Calls at the Bid: 10000 @ $0.3 vs 44105 OI; Earnings 4/24 Before Open [est] Ref=$9.01,1,increase,0.7,0.5,,158,11,2
27,CURTISS WRIGHT CORP,Curtiss-Wright Issues a Response to a Media Report on a Potential Issue with a Reactor Coolant Pump at a Nuclear Reactor in China,1,decrease,0.7,0.5,,139,12,0
28,CYCLACEL PHARMACEUTICALS INC,Cyclacel Pharma Give an Updated From Phase 1 Data,1,uncertain,0.6,0.5,,132,12,1
29,CYTOKINETICS INC,Cytokinetics Option Alert: May 17 $10 Calls at the Ask: 1200 @ $0.35 vs 72 OI; Earnings 4/25 After Close [est] Ref=$8.05,1,increase,0.7,0.5,,155,11,2
30,DEUTSCHE BANK A G,"Deutsche Bank Executive Says Commerzbank Deal will Not Hurt Revenue, Harm Clients",1,increase,0.7,0.5,,128,11,2
31,3 D SYSTEMS CORP DEL,"3D Systems Issues Release Highlighting 3 Global Manufacturing Leaders, Nokia, rms, GF Precicast, Integrated Co.'s Additive Manufacturing Solutions, No Terms Disclosed",1,uncertain,0.6,0.3,,148,12,1
32,D H T HOLDINGS INC,DHT Holdings Reports ~725K Share Buyback At Average Price Of $4.47,1,increase,0.7,0.5,,128,11,2
33,DYNAVAX TECHNOLOGIES CORP,UPDATE: Dynavax Says 'Combination of SD-101 with domatinostat showed better results than combinations of SD-101 with competing HDAC inhibitors',1,increase,0.7,0.5,,146,11,2
34,DYNAVAX TECHNOLOGIES CORP,Dynavax Reports Combo Of 4SC's 202 With Co.'s SD-101 'induced a systemic anti-tumoral immune response in tumor mouse models',1,increase,0.7,0.5,,150,11,2
35,EDAP T M S S A,"Edap TMS Q4 EPS $0.04, Sales $15.109M Beat $11.57M Estimate",1,increase,0.8,0.5,,137,11,2
36,EDAP T M S S A,EDAP Q4 EPS €0.04 vs €0.00 YoY,1,increase,0.7,0.5,,128,11,2
37,EDAP T M S S A,EDAP Announces University Of Chicago Medicine Is First Medical Center In Midwest To Offer Prostate Cancer Therapy Using Its Focal One Technology,1,increase,0.7,0.5,,137,11,2
38,ENERGY FOCUS INC,Energy Focus Shares Resume Trade,1,uncertain,0.5,0.2,,111,12,1
39,ENERGY FOCUS INC,Energy Focus Shares To Resume Trade At 5:15 p.m. EDT,1,uncertain,0.5,0.5,,121,12,1
40,ENERGY FOCUS INC,Energy Focus Says Concluded Review Of STrategic Alternatives And Determined That Strategic Financing Was Most Favorable Strategic Alternative Option To Shareholders At This Time,1,increase,0.7,0.5,,137,11,2
41,ENERGY FOCUS INC,"Energy Focus Q4 EPS $(0.25) Misses $(0.15) Estimate, Sales $3.1M Miss $5.55M Estimate",1,decrease,0.8,0.6,,138,12,0
42,ENERGIZER HOLDINGS INC NEW,Energizer shares are trading higher after the Goldman Sachs upgraded the stock from Neutral to Buy and raised the price target from $48 to $60.,1,increase,0.8,0.5,,141,11,2
43,ENERGIZER HOLDINGS INC NEW,UPDATE: Goldman Upgrades Energizer Holdings To Buy As Firm Sees Co As 'A double digit EPS compounder over the next three years'; Firm Sees 'Incremental M&A optionality in the future'; Believes Uncertainty Has Created Opportunity,1,increase,0.8,0.5,,162,11,2
44,ENERGIZER HOLDINGS INC NEW,"Goldman Sachs Upgrades Energizer Holdings to Buy, Raises Price Target to $60; Adds To Americas Conviction List",1,increase,0.8,0.5,,136,11,2
45,ESPERION THERAPEUTICS INC NEW,Esperion Highlights Results From Phase 3 Trial Published In Journal of the American Heart Association: Showed 'Bempedoic Acid Significantly Lowered LDL-Cholesterol and Reduced hsCRP in Patients Considered Statin Intolerant',1,increase,0.7,0.5,,167,11,2
46,ISHARES TRUST,UK Parliament Rejects All 4 Different Brexit Options,1,decrease,0.7,0.5,,116,12,0
47,ISHARES TRUST,Parliament To Vote On Brexit Plan B Options Tonight,1,uncertain,0.7,0.5,,116,12,1
48,ISHARES TRUST,"UPDATE: Parliament Speaker Has Selected Motions C, D, E, G",1,uncertain,0.5,0.1,,121,12,1
