custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
4137,AGILENT TECHNOLOGIES INC,Agilent Collaborates On Study Of Performance-Enhancing Spinach Extract,8,uncertain,0.6,0.3,the collaboration on a study of a performance-enhancing spinach extract may attract interest but does not directly indicate a clear positive or negative impact on agilent technologies' core business or financial performance.,153,68,1.0,2019-09-03,87432.0,-0.9843860752880572,0.639109406620264,6.192291869394295,8.507310727495065,0.5799203179776669,1.672859795014614,2.3459947877972898
4145,ACADIA PHARMACEUTICALS,"Stifel Nicolaus Maintains Hold on ACADIA Pharmaceuticals, Raises Price Target to $28",8,uncertain,0.6,0.3,"while maintaining a 'hold' rating suggests a lack of strong bullish sentiment, the raised price target could indicate a more favorable outlook, leading to uncertainty in the stock's immediate reaction.",162,67,1.0,2019-09-03,90177.0,-8.676788210868835,-1.6627080738544464,63.18290328165652,68.6460756760477,-2.7426183223724365,-1.1083284333478385,-0.3602319012129928
4153,ANALOG DEVICES INC,Analog Devices Option Alert: Sep 13 $110 Calls Sweep (45) near the Ask: 1133 @ $0.851 vs 13 OI; Ref=$106.04,8,increase,0.7,0.6,"the significant call option activity suggests bullish sentiment among traders, indicating a potential increase in analog devices inc's stock price.",173,62,2.0,2019-09-03,60871.0,-3.141222521662712,2.641478925943374,7.1442058480110315,8.366235779605113,0.7429877296090126,2.1697817244324513,3.105101125952814
4161,ADAMIS PHARMACEUTICALS CORP,Adamis Pharmaceuticals Announces Completion Of Pharmacokinetic Studies Comparing Naloxone To Generic Comparator,8,uncertain,0.5,0.5,"the completion of pharmacokinetic studies may indicate progress for adamis pharmaceuticals, but the impact on stock price will depend on the results and market perception.",164,61,1.0,2019-09-03,82163.0,-10.54313480854034,-4.273809120059013,-6.607139402621498,-8.928570476838305,0.9677423164248466,-2.451691368817932,-6.099998818646945
4169,AMERICAN EAGLE OUTFITTERS INC NE,A Preview Of American Eagle Outfitters Q2 Earnings,8,uncertain,0.6,0.5,"the preview of earnings can lead to mixed reactions depending on whether the results meet, exceed, or fall short of market expectations.",157,56,1.0,2019-09-03,80432.0,-3.269912302494049,-11.616473644971848,6.45359162227066,1.7209521750732204,-0.766967935487628,-0.5910188170123232,3.8912855902969
4177,PROSHARES TRUST II,Jon Najarian Sees Unusual Options Activity In Roku And AGQ,8,uncertain,0.5,0.5,"the news about unusual options activity in roku and agq does not directly relate to proshares trust ii, making the impact on its stock price uncertain.",149,71,1.0,2019-09-03,92865.0,8.558298647403717,4.920636489987373,-11.746028282945163,-12.010584910454558,0.9860793128609656,-0.0287170458897256,1.4867467655978128
4185,ALIGN TECHNOLOGY INC,SmileDirectClub Aims To Raise About $1.2B With IPO,8,decrease,0.7,0.5,"the ipo of smiledirectclub could increase competition in the clear aligner market, potentially impacting align technology inc's market share and stock price negatively.",148,66,0.0,2019-09-03,88860.0,-2.839821390807629,-0.8599846623837948,-0.0618294625145177,-0.1461469758772704,1.7560454085469246,3.271108888533236,5.3567304738652455
4193,ALIMERA SCIENCES INC,Alimera Sciences Launches ILUVIEN In Germany For Non-Infectious Uveitis Indication,8,increase,0.8,0.6,"the launch of iluvien in germany for a specific indication suggests potential revenue growth and market expansion for alimera sciences, which is likely to positively impact investor sentiment and stock price.",159,73,2.0,2019-09-03,93339.0,-8.605771511793137,2.6038937270641327,-13.20357332202542,8.232510715064056,-2.576107159256935,-3.255813498169735,-6.684611430231524
4201,ALNYLAM PHARMACEUTICALS INC,"Cantor Fitzgerald On Alnylam Pharmaceuticals Also Notes 'If the ORION-9 and ORION-10 readouts expected this month also look clean, we think that overall ALNY shares may move 10-20% cumulatively based on these updates",8,increase,0.8,0.15,the positive outlook from cantor fitzgerald regarding potential clean readouts from orion-9 and orion-10 suggests that alnylam pharmaceuticals inc's stock may rise significantly if the results are favorable.,196,75,2.0,2019-09-03,90178.0,1.326062250882387,0.6971620488911867,3.0699539009330534,7.41193403956697,-2.063353545963764,-1.9800744455414243,-1.8489194544855423
4209,ALNYLAM PHARMACEUTICALS INC,"Cantor Fitzgerald Reiterates Overweight, $138 Tgt On Alnylam Pharma As Firm Notes Co's Partner Medicines Co. Presented ORION-11 Ph3 Data For Inclisiran And Firm Thinks 'the detailed ORION-11 data is supportive of ALNY platform efficacy and safety'",8,increase,0.8,0.7,"the reiteration of an 'overweight' rating and a target price of $138, along with supportive data for alny's platform efficacy and safety, suggests positive sentiment that is likely to boost investor confidence and increase the stock price.",205,77,2.0,2019-09-03,90178.0,1.326062250882387,0.6971620488911867,3.0699539009330534,7.41193403956697,-2.063353545963764,-1.9800744455414243,-1.8489194544855423
4217,ALNYLAM PHARMACEUTICALS INC,"Piper Jaffray Maintains Overweight on Alnylam Pharmaceuticals, Raises Price Target to $145",8,increase,0.8,0.6,the maintenance of an 'overweight' rating and an increase in the price target typically signals positive sentiment and potential for stock price appreciation.,166,62,2.0,2019-09-03,90178.0,1.326062250882387,0.6971620488911867,3.0699539009330534,7.41193403956697,-2.063353545963764,-1.9800744455414243,-1.8489194544855423
4225,AMERICAN TOWER CORP NEW,"American Tower shares are trading higher after the company signed a new multiyear agreement with AT&T. The deal is ""essential"" for executing AT&T's 5G network.",8,increase,0.8,0.7,"the new multiyear agreement with at&t is likely to boost american tower's revenue and growth prospects, positively impacting its stock price.",174,62,2.0,2019-09-03,86111.0,3.3233389258384696,1.3580604456365108,-9.09434479187292,-6.954252082369594,-0.0954824965447187,0.0217272365205412,0.1740759722536511
4233,AMERICAN TOWER CORP NEW,AT&T And American Tower Sign New Multiyear Agreement,8,increase,0.8,0.7,"the signing of a new multiyear agreement between at&t and american tower suggests a stable and potentially growing revenue stream for american tower, which is likely to positively impact its stock price.",150,72,2.0,2019-09-03,86111.0,3.3233389258384696,1.3580604456365108,-9.09434479187292,-6.954252082369594,-0.0954824965447187,0.0217272365205412,0.1740759722536511
4241,ABERCROMBIE & FITCH CO,"Morgan Stanley Maintains Underweight on Abercrombie & Fitch, Lowers Price Target to $14",8,decrease,0.8,0.7,"morgan stanley's decision to maintain an 'underweight' rating and lower the price target typically signals negative sentiment, which is likely to lead to a decrease in the stock price.",164,71,0.0,2019-09-03,83976.0,-5.335155501961708,6.286126375198364,21.42467521105924,18.862970194205108,1.1764711700379848,-14.10106069592474,-11.768255098621106
4249,ARDELYX INC,Why Are Shares Of Ardelyx Ripping Higher?,8,increase,0.8,0.7,"the phrase 'ripping higher' suggests a significant positive movement in ardelyx inc's stock price, likely due to favorable news or developments.",145,59,2.0,2019-09-03,14690.0,71.17646932601929,-14.77663367986679,3.780065472546657,-19.58763431142332,-3.1339000910520554,-7.356947424820904,-7.859077283453009
4257,ARDELYX INC,Ardelyx shares are trading higher after the company's pivotal phase 3 AMPLIFY study of tenapanor in combination with phosphate binders in patients with chronic kidney disease met primary and all key secondary endpoints.,8,increase,0.85,0.7,"the successful results of the pivotal phase 3 amplify study are likely to boost investor confidence and interest in ardelyx, leading to an increase in stock price.",177,69,2.0,2019-09-03,14690.0,71.17646932601929,-14.77663367986679,3.780065472546657,-19.58763431142332,-3.1339000910520554,-7.356947424820904,-7.859077283453009
4265,ARDELYX INC,Ardelyx Shares To Resume Trade At 8:30 a.m. EDT,8,uncertain,0.5,0.5,"the resumption of trading could indicate a resolution of prior issues, but without additional context on the reasons for the halt, the impact on stock price is unclear.",152,63,1.0,2019-09-03,14690.0,71.17646932601929,-14.77663367986679,3.780065472546657,-19.58763431142332,-3.1339000910520554,-7.356947424820904,-7.859077283453009
4273,ARDELYX INC,Ardelyx Reports AMPLIFY Pivotal Phase  Study Of Tenapanor In Combination With Phosphate Binders In Patients With Chronic Kidney Disease Met Primary And All Key Secondary Endpoints,8,increase,0.8,0.7,"the successful results of the pivotal phase study for tenapanor in combination with phosphate binders suggest a positive outlook for ardelyx's product pipeline, likely leading to an increase in stock price.",174,69,2.0,2019-09-03,14690.0,71.17646932601929,-14.77663367986679,3.780065472546657,-19.58763431142332,-3.1339000910520554,-7.356947424820904,-7.859077283453009
4281,BANK OF AMERICA CORP,3 Ways To Double Your Money,8,uncertain,0.5,0.2,"the headline suggests a strategy for investment but does not provide specific information about bank of america corp's performance or outlook, leading to uncertainty in its impact on the stock price.",143,70,1.0,2019-09-03,59408.0,-1.6721228137612338,1.6266193240880966,9.19731810640152,11.392426650057974,0.6586180068552494,2.458099940508407,3.9289797756443257
4289,BIG LOTS INC,"UPDATE: Barclays Maintains Equal-Weight On Big Lots, Lowers Target To $25 As Firm Notes Despite Co's Various Initiatives 'BIG hasn't proven it can ""comp the comp,"" which leads to limited valuation upside'",8,decrease,0.8,0.7,"the downgrade in target price and the note that big lots hasn't proven its ability to improve performance suggest negative sentiment, likely leading to a decrease in stock price.",177,71,0.0,2019-09-03,67467.0,-0.0439570489106699,-1.4951634220778942,7.475816937660462,-1.2382503749746587,3.362106904387474,6.258758270913756,8.333333349794625
4297,BIG LOTS INC,"Barclays Maintains Equal-Weight on Big Lots, Lowers Price Target to $25",8,decrease,0.8,0.7,"the downgrade in price target to $25 suggests a negative outlook on big lots' stock performance, likely leading to a decrease in stock price.",152,64,0.0,2019-09-03,67467.0,-0.0439570489106699,-1.4951634220778942,7.475816937660462,-1.2382503749746587,3.362106904387474,6.258758270913756,8.333333349794625
4305,BIOLINERX LTD,BioLineRx Successfully Completes Dose-Escalation Part Of Phase 1/2a Clinical Study For AGI-134 Immunotherapy For Treatment Of Solid Tumors,8,increase,0.75,0.6,"the successful completion of the dose-escalation part of a clinical study typically indicates progress in drug development, which can positively influence investor sentiment and lead to an increase in stock price.",171,71,2.0,2019-09-03,12912.0,-4.912276193499565,-1.8450167030096056,7.749078816331423,8.118082096429568,-3.2816436141729355,-3.716220806279702,-1.7241445962535296
4313,BRISTOL MYERS SQUIBB CO,"Bank of America Maintains Neutral on Bristol-Myers Squibb, Raises Price Target to $49",8,increase,0.7,0.6,"the maintenance of a neutral rating combined with a raised price target suggests a positive outlook, which could lead to an increase in investor confidence and stock price.",163,65,2.0,2019-09-03,19393.0,-0.062406447250396,0.166523759253323,1.0824322763805627,3.5387193186624977,-0.4143375903367996,-1.2124951834194708,0.2920913265624048
4321,BOSTON SCIENTIFIC CORP,"Barclays Reinstates Overweight on Boston Scientific, Announces $48 Price Target",8,increase,0.8,0.6,"the reinstatement of an 'overweight' rating by barclays, along with a price target of $48, suggests positive sentiment and potential for stock price appreciation.",158,62,2.0,2019-09-03,77605.0,-2.4806959554553027,0.9119296446442604,-0.8879266694679755,1.5598787036348982,-0.2567708026617765,0.5648337391296554,1.207954283465118
4329,BURLINGTON STORES INC,This Analyst Said Burlington Delivered Quality Showing In A Challenging Quarter,8,increase,0.7,0.6,"the positive assessment of burlington's performance in a challenging quarter suggests resilience and may boost investor confidence, likely leading to an increase in stock price.",149,63,2.0,2019-09-03,14182.0,-0.9383223950862885,0.3140759188681841,-0.8425158751163009,-1.5653818909312944,-1.4263425022363665,16.863854647471534,18.846108838636862
