"","question","return","model","prompt","mag_v_conf","ret","up.coef","down.coef","up.se","down.se","group_id","id","return_type"
"1","q1",0.0445997162731278,"gpt-3.5-turbo","base_blanks","magnitude","1",0.958168728289019,0.336701921961962,0.550751986415435,0.384760455696346,"q1_magnitude_1_base_blanks",37,"realized"
"2","q1",0.0445997162731278,"gpt-3.5-turbo","base_json","magnitude","1",0.141105984155683,1.02205171677963,0.360518767872702,0.459294885740517,"q1_magnitude_1_base_json",38,"realized"
"3","q1",0.0445997162731278,"gpt-3.5-turbo","cot1","magnitude","1",-0.276280392356536,0.767090189114727,0.310564658925103,0.490297898058016,"q1_magnitude_1_cot1",39,"realized"
"4","q1",0.0445997162731278,"gpt-3.5-turbo","cot2","magnitude","1",-0.210140994329679,1.03943281119607,0.284410553654398,0.46935309688385,"q1_magnitude_1_cot2",40,"realized"
"5","q1",0.0445997162731278,"gpt-3.5-turbo","cot3","magnitude","1",-0.399969192464667,1.12906918847828,0.344136310688339,0.51187579096415,"q1_magnitude_1_cot3",41,"realized"
"6","q1",0.0445997162731278,"gpt-3.5-turbo","persona1","magnitude","1",-0.30986226831638,0.847588559906051,0.307508160856598,0.491999314295232,"q1_magnitude_1_persona1",42,"realized"
"7","q1",0.0445997162731278,"gpt-3.5-turbo","persona2","magnitude","1",-0.352048467580856,1.10524547710488,0.252624471127365,0.478637193386499,"q1_magnitude_1_persona2",43,"realized"
"8","q1",0.0445997162731278,"gpt-3.5-turbo","persona3","magnitude","1",-0.0207725542730502,1.6336912774438,0.256811736627093,0.484614645688985,"q1_magnitude_1_persona3",44,"realized"
"9","q1",0.0445997162731278,"gpt-3.5-turbo","persona4","magnitude","1",-0.739240286075314,0.645703478650509,0.456523274263343,1.11146986591453,"q1_magnitude_1_persona4",45,"realized"
"10","q1",0.0445997162731278,"gpt-3.5-turbo","base_blanks","confidence","1",0.838165797730412,0.927289700093642,1.59554285504533,0.721062069049815,"q1_confidence_1_base_blanks",10,"realized"
