headline type,magnitude,confidence,custom_id,company_name,headline,prompt_type,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
decrease,0.5,0.6,26154,NOMURA HOLDINGS INC,"""Brexit"" And The US-China Trade War Drag On European Freight Markets",6,"global trade tensions and brexit risks point to weaker macro conditions and softer market activity, which could dampen nomura's trading, advisory, and overall earnings prospects.",135,973,0.0,2019-09-04,89256.0,1.21064679697156,0.47846846282482,6.93779836751893,3.11005064392186,1.72414220869541,4.55696367014339,4.82233642550444
increase,0.42,0.66,18873,INTERNATIONAL BUSINESS MACHS COR,"""Deep Data"" To Become The Greatest Natural Resource, Tech Execs Say",6,"the piece frames data as a key future resource, which could lift sentiment toward ibm due to its emphasis on data analytics, ai, and cloud services.",135,1163,2.0,2019-01-08,12490.0,1.42192151397466,0.71768388152122,1.5855808694993498,10.898770963516991,0.7074682973325199,4.6408623121304995,2.55186396067854
increase,0.6,0.65,13909,CANADIAN NATIONAL RAILWAY CO,"""Every Option"" On Table To End CN Strike, Canadian Minister Says",6,"resolution of the cn strike with government options on the table reduces disruption risk and uncertainty, likely boosting investor sentiment.",140,514,2.0,2019-11-25,84181.0,0.54192161187529,1.5839783474802902,-2.95897302363726,-1.0260752411344398,0.09963061893358,-0.08839981180025,-2.19578026778957
uncertain,0.0,0.8,20298,HUNT J B TRANSPORT SERVICES INC,"""FreightWaves Is Doing Some Pretty Cool Stuff""",6,"the news item is about freightwaves and contains no information about hunt j b transport services inc, so it provides no clear signal for hjt's investor sentiment.",137,976,1.0,2019-09-20,42877.0,0.92838471755385,-0.61323218978941,-2.7244857209331097,-4.87954411929361,-1.34333642199635,-1.5837101252327,-1.65217519888541
decrease,0.3,0.65,31463,TEXTRON INC,"""Liquid nitrogen explosion at @TextronAviation @Beechcraft Plant III this morning sends 11 workers to the hospital. Authorities say no fatalities""",6,"the incident at a textron aviation plant involving injuries signals safety and potential production-disruption risks, which can dampen near-term investor sentiment.",148,905,0.0,2019-12-27,23579.0,-1.53162851929664,0.29305920470505,0.9467947044409,1.53291309274299,0.02219875896116,-1.1411025970825102,-0.3318617611647
uncertain,0.3,0.54,11658,CALAMOS GLOBAL DYNAMIC INCOME FD,"""Nuclear Verdict"" Kills 540 Truck Carrier",6,"the article is sector-specific and not directly tied to calamos global dynamic income fd, so its impact on the fund's sentiment is ambiguous and depends on broader market reactions.",136,1361,1.0,2019-10-14,92110.0,0.38167599122971,-0.3802247578278099,0.7604555605203299,2.28136670467478,0.25284811854362,0.37974730762979,1.79717809338064
uncertain,0.15,0.6,12187,ISHARES INC,"""Really tariffs, laws, have to originate with Congress, and I think you just can't declare emergencies on spending, on tariffs, also on arms sales,"" - Sen. Rand Paul on CNN",6,"the quote concerns congressional limits on tariffs and emergencies rather than ishares-specific news, so its effect on ishares investor sentiment depends on how investors interpret broader trade-policy risk.",156,1034,1.0,2019-06-04,83223.0,1.8514201045036296,0.64427657052874,3.7735835528885,2.5077447330715303,-0.5824790336191601,-4.19847925269117,-2.82396183203412
increase,0.4,0.62,25979,TREEHOUSE FOODS INC,"""Shipper Of Choice"" TreeHouse Foods Bakes-In Driver Satisfaction",6,"improved driver satisfaction signals stronger logistics reliability and potential cost efficiencies, which can positively affect earnings visibility and investor sentiment.",134,643,2.0,2019-06-25,90775.0,-1.90755855292081,-1.4584869146347,2.56170328849314,5.1795070842695,-0.9087604470551,-1.26765801437906,-2.86834237845211
increase,0.65,0.68,28483,X P O INC,"""Shipper Of Choice"" – It Can Be A Sweet Deal To Partner With Nestle",6,"the article frames a nestle partnership as a strategic win, potentially expanding revenue and market reach for xpo, which would boost investor sentiment, though details are not guaranteed.",136,590,2.0,2019-06-13,90175.0,2.60575208812952,-1.3045746833086,0.2957003230493,-4.2268225451035795,0.95495274290442,0.86408558309953,4.1837113188820805
decrease,0.7,0.68,34725,P G & E CORP,"' PG&E Knew for Years Its Lines Could Spark Wildfires, And Didn't Fix Them' -Dow Jones",6,"the report suggests long‑standing safety neglect and potential liabilities, likely weighing on investors due to higher regulatory risk and ongoing costs.",144,838,0.0,2019-07-10,13688.0,-2.23846398293972,-4.43924702703952,-13.7850417007584,-11.72897348352941,0.73630856350064,0.45891909280191,-2.1457372841654
decrease,0.4,0.65,38734,WYNN RESORTS LTD,"' Wynn Resorts terminates ""all discussions with Crown Resorts concerning any transaction""' -CNBC",6,"ending discussions with crown resorts removes a potential growth avenue for wynn, likely disappointing investors who anticipated a transaction and signaling negative sentiment toward immediate strategic prospects.",140,970,0.0,2019-04-09,89533.0,-3.85917238891124,1.24946543946862,3.9207287432608497,3.6909375076832096,2.7742328122258098,3.70874786502617,5.24595009279951
increase,0.6,0.66,30478,QUALCOMM INC,"'""We expect Apple will likely adopt 5G baseband chips made by Qualcomm (focus on mmWave markets) and Samsung (focus on Sub-6GHz markets) for lowering supply risk, reducing costs and having better bargaining power.""' -Tweet From CNBC Technology Reporter",6,"the report suggests key customers (apple and samsung) will adopt qualcomm's 5g baseband chips, implying higher demand, reduced supply-chain risk, and stronger bargaining power, which is broadly bullish for qualcomm.",169,1046,2.0,2019-04-22,77178.0,2.60358229279518,5.79480305314064,6.441379480808671,7.66133798887791,1.02427611127495,13.39957856255818,39.716683334839395
increase,0.32,0.66,7826,ALIBABA GROUP HOLDING LTD,'#Alibaba on Wednesday launched online market place #Taobao Taiwan by licensing the Taobao brand to a UK company's #Taiwan subsidiary' -Tweet From National Business Daily,6,"licensing taobao branding for a taiwan market entry signals potential revenue growth and geographic diversification with lower direct exposure, supporting a cautiously positive investor outlook.",157,900,2.0,2019-10-24,14888.0,1.54779003933072,1.01999100297689,2.38771089499891,8.17734027266339,0.01765776687534,-2.07469235573105,0.46709224362535
decrease,0.6,0.66,33649,P G & E CORP,'#BREAKING: CAL FIRE formally blames PG&E equipment for cause of deadly #CampFire in Paradise last year.' -Tweet From Editor For Comstock Mag,6,"formal attribution of the camp fire to pg&e equipment heightens liability risk and regulatory scrutiny, likely depressing investor sentiment.",154,709,0.0,2019-05-15,13688.0,-1.63399316370487,0.6090842187404599,5.20487567184684,-1.55038101815943,0.71311611682176,-1.29032130572283,-5.1162778300079
uncertain,0.0,0.6,32271,LIBERTY ALL STAR EQUITY FD,"'#BREAKING: US Navy warship has seized a ""significant cache"" of suspected Iranian guided missile parts headed to rebels in Yemen' -Kann's Amichai Stein",6,"the news involves geopolitical tensions that could influence markets in either direction, and liberty all star equity fd's diversified u.s. equity holdings make the overall impact on sentiment unclear without knowing the fund's specific positions.",161,1108,1.0,2019-12-04,70797.0,0.76923370361328,0.30534320976585,0.3053431902011,1.8320592111195,-0.61162021011114,-1.21580434162406,-1.36570791248776
uncertain,0.15,0.62,43269,ISHARES INC,"'#Turkish Defence Minister Hulusi Akar: ""Despite the agreements with the #US and #Russia, the PKK/YPG has not withdrawn from the area and violated the agreements.""' -Tweet",6,"the news is geopolitical and turkey-focused, which could affect turkey-related etfs, but it does not directly implicate ishares inc, making overall sentiment toward the company uncertain.",158,1232,1.0,2019-11-07,92600.0,2.13017351925373,-0.42486945167183,0.1545033702379,4.36462373035031,1.03627033531665,0.87545256099708,1.88907251560106
increase,0.5,0.72,4857,AETERNA ZENTARIS INC,'$AEZS Aeterna Zentaris receives European Commission Approval for Macimorelin for diagnosis of adult growth hormone deficiency.' -Tweet From TradeHawk,6,"eu regulatory approval for macimorelin expands potential market and reduces regulatory risk for aeterna zentaris, likely boosting investor sentiment.",156,582,2.0,2019-01-11,88240.0,6.34005814790725,5.6910578161478,-4.06504320810756,4.33603892951841,2.35987976193428,3.58209339227932,-0.57306550369039
decrease,0.65,0.8,5051,ATHERSYS INC,"'$ATHX is using the story of a stroke survivor to promote the development of an experimental stem cell therapy. But by doing so, the company has obscured the treatment's clinical trial failure' -STAT's Adam Feuerstein",6,"the critical report alleging obscured trial failure undermines credibility and raises risk concerns, likely dampening investor sentiment in the near term.",163,711,0.0,2019-06-26,92456.0,-4.62427996098995,-4.848480224609371,-0.6060597138278,-3.03029988591471,-1.14285601302981,-1.70454379546987,-3.88888530558908
decrease,0.7,0.66,6564,BIOGEN INC,"'$BIIB Scorecard for its ""high RISK high reward"" R&D strategy. Pretty much everything except Spinraza on this pipeline chart from 2015 failed' -Tweet From Notable Biotech Source",6,"the tweet emphasizes pervasive failures in biogen's r&d pipeline with only spinraza succeeding, suggesting diminished near-term prospects and harming investor sentiment.",159,714,0.0,2019-03-21,76841.0,-29.230478405952447,-4.482544958591459,2.6181250601672703,3.5966096139046,-0.9791244752705,-1.55230173667745,-2.81322918222706
uncertain,0.0,0.55,27593,MCDONALDS CORP,'$BYND quick roll as $MCD #McDonalds says they are not planning to add #plantbased burger to menu' -HammerstoneMarkets Tweets,6,"the report states mcdonald's is not planning to add a plant-based burger, which could dampen expectations for growth from that segment but may be neutral to overall core performance, making the net effect unclear.",155,1296,1.0,2019-05-23,43449.0,-0.49510174430906,-0.60310447588562,0.23119208735953,3.87605023677128,0.06005323375575,0.4874622950679,0.37145142066044
decrease,0.55,0.62,8220,CHEGG INC,"'$CHGG is the poster child for institutionalized academic cheating. tgt- $25 Cannot be disputed, cheating now matters   $CHGG activities illegal in 17 states...' -Tweet From Citron Research",6,"the tweet contains severe accusations of illegal activities and cheating, which could undermine investor confidence in chegg, though the impact depends on credibility and broader information.",157,715,0.0,2019-03-22,14273.0,-7.31215700507164,1.44179165363311,3.699675289978361,0.70729639663775,-3.10285966843366,-4.43373530745954,-3.7845738048146305
decrease,0.5,0.6,14226,ENPHASE ENERGY INC,'$ENPH $SEDG duopoly has come to an abrupt end...' -Tweet From Citron,6,"the claim that enph and solaredge's duopoly has ended suggests higher competitive pressure and potentially reduced margins, which would likely dampen investor sentiment toward enphase.",140,1103,0.0,2019-09-12,13323.0,-10.19416898488998,-0.54054432548582,22.16216223797866,4.43693138236973,6.18556104600429,3.8655468519316103,-2.6771662841322397
decrease,0.6,0.65,12016,CISCO SYSTEMS INC,"'$FNJN $CSCO Markman opinion issued in the Finjan vs Cisco Systems patent infringement lawsuit.  The court adopted all of Finjans proposed claim constructions, nice win for $FNJN.' -TradeHawk Tweets",6,"adoption of finjan's claim constructions by the court signals a more plaintiff-favorable interpretation that can increase cisco's infringement risk, potentially depressing investor sentiment.",165,908,0.0,2019-02-06,76076.0,0.4655125550925699,-1.6427943482994998,0.04212407199271,4.06487026416482,-0.19007424125447,-0.16899414599081,-0.06344384441334
uncertain,0.38,0.62,18384,GILEAD SCIENCES INC,'$GILD's comment on M&A: late stage opportunities are few and far between.' -Tweet From Notable Biotech Investor Brad Loncar,6,"the comment centers on the m&a environment rather than gilead's fundamentals or near-term catalysts, so its net impact on sentiment is ambiguous.",151,1226,1.0,2019-02-04,77274.0,0.0,-3.3833015710115397,-3.4689511711345005,-4.69664648706843,0.05713599966838,0.31505257561008,0.66102419236038
decrease,0.5,0.65,18616,GENWORTH FINANCIAL INC,'$GNW down hard. Not much news we see other than Oceanwide's $1b LA development owing contractors $50m and still stalled due to financial troubles. Oceanwide also attempting to sell off their NYC development.' -Hindenberg Research Tweets,6,"the piece focuses on gnw being down and ties it to oceanwide's troubles rather than gnw-specific news, implying negative investor sentiment toward gnw from the stock movement.",175,976,0.0,2019-02-25,90162.0,-6.51163235306739,-4.22885753214359,-3.2338276383945903,-10.44776298389225,-5.2863385528326,-4.2316166530884605,-5.28633859093582
decrease,0.6,0.65,19574,INTERCEPT PHARMACEUTICALS INC,'$ICPT — Anyone else disappointed w/ this morning's NASH study update? Not much new to chew over. The per protocol efficacy results seem like marketing material. Safety data essentially same as previously disclosed. Am I missing something?' -STAT's Adam F,6,"the quoted analyst commentary expresses disappointment and views the update as lacking new, actionable data, which would likely dampen investor sentiment.",180,518,0.0,2019-04-11,13643.0,-13.20019960403442,-9.10739973187446,-16.58234182062656,-14.37708626789794,1.93428583443164,0.4160426639326199,3.11885985887867
decrease,0.4,0.65,22128,JACK IN THE BOX INC,'$JACK Trades Lower on Cautious Chatter: SI The fall appears tied to a rumor the company's auction is struggling' -Walter Bloomberg Tweets,6,"the article ties the stock's fall to cautious chatter and rumors about the auction, signaling negative sentiment due to uncertainty about the company's strategic process.",150,713,0.0,2019-02-14,77453.0,-5.28257265686988,0.8290366269648001,2.03492368813185,-0.03768417983569,0.98522128537297,-0.93115658122582,1.338317677947
decrease,0.5,0.65,22194,GRAND CANYON EDUCATION INC,'$LOPE.  DEAD or fraud' -Tweet From Citron,6,"a highly negative, unsubstantiated claim from a prominent short-seller tweet can dampen investor sentiment in the near term.",138,710,0.0,2019-09-09,92852.0,2.9406514018774,-4.23691645264625,-4.577616564809659,-1.68603148618655,-4.02209870517253,-4.71293922304024,-9.51257406120917
decrease,0.5,0.72,23050,MCKESSON H B O C INC,'$MCK as a public nuisance.  The whole story has changed.  Citron is proud to present to changing status of the opioid lawsuit and why $MCK will trade down to $80...' -Tweet From Citron,6,"the tweet expresses a bearish view and a price-target decline for mck based on opioid litigation status changes, indicating negative sentiment.",174,1030,0.0,2019-09-27,81061.0,-2.61550582945346,0.83376737311482,-3.5785479894893397,-0.58289176262329,-2.19958182424306,-0.8124862617693099,-2.63065475978685
decrease,0.7,0.65,25305,NETFLIX INC,'$NFLX investors at this level as blind as Bird Box.  Market cap up $45 bill in 12 days or 12 $DWA / 12 $LGF / 10 $ROKU / 5 Hulu.  $NFLX to trade back to $300' -Tweet From Citron Research,6,"the citron research tweet portrays investors as blind and forecasts a price decline to $300, indicating bearish sentiment toward nflx.",182,838,0.0,2019-01-11,89393.0,3.98262552917003,-1.37740867212414,0.44729079005749,-0.5716973851510501,1.46893747150897,1.37072307862242,2.9555424199924003
uncertain,0.4,0.6,30577,QUALCOMM INC,"'$QCOM down again; yesterday, hedge fund says it will lose FTC case; counter point: I spoke to a former FTC chair who said the agency had set an ambitious goal here...' -CNBC's Josh Lipton Tweets (1/2)",6,"the stock is down and there's a hedge fund expectation of an ftc loss (negative), but a counterpoint from a former ftc chair adds nuance, making overall sentiment mixed.",166,1226,1.0,2019-01-24,77178.0,-1.85435395687818,0.96437288448214,-2.53887208547926,-0.51171451865363,-4.64173965156078,-6.332549374115071,-5.47745120147599
uncertain,0.4,0.6,31297,R H,'$RH by far the most compelling story in retail.  Citron explains why we believe $RH days as a standalone public company is limited as suitors will line up to buy this rare trophy asset with 0 competition...' -Tweet From Citron,6,"the news suggests potential takeover interest (positive for buyers and possible premium) while also implying rh's standalone viability may be limited (negative for long-term standalone growth), creating mixed sentiment.",164,1234,1.0,2019-01-24,13687.0,-0.45168916694819,4.16058115661144,4.49126846051042,3.4453553375915997,0.35340460017323,-3.4732572896156797,0.7637048491628601
decrease,0.65,0.65,12841,AMDOCS LTD,"'$T AT&T revenues disappoint, company says ""priority is to pay down debt"" - which generally translates into cut costs and squeeze suppliers. $DOX 30% of sales tied to AT&T' -Tweet From Spruce Point Capital",6,"at&t's weak outlook and the claim that 30% of amdocs' sales depend on at&t imply near-term demand risk for amdocs, potentially lowering investor sentiment.",166,1234,0.0,2019-01-30,86144.0,-0.34203173127025,0.93930717557668,-0.34321249637162,1.42702480238097,0.34320561680942,0.19841381266021,0.47024475422334
uncertain,0.4,0.62,34618,UNITEDHEALTH GROUP INC,"'$TWLO chart bad, fundies good... Where does it end? Watch $UNH for a tell..  I know, different group, but it's a real warning' -Jim Cramer Tweets",6,"cramer's tweet frames unh as a potential tell rather than endorsing it, signaling caution/uncertainty about unh's near-term direction rather than a clear bullish or bearish stance.",161,1108,1.0,2019-09-26,92655.0,-3.0112087726593,-0.10209821630269,-0.05568736495844,3.82866156790657,-1.25777861103415,-2.88499623071217,-4.60303202087684
