custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
5065,AGILENT TECHNOLOGIES INC,"Bank of America Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $82",6,uncertain,0.6,0.2,maintaining a buy rating is supportive but lowering the price target is a negative signal — these mixed signals from a single analyst make the net short-term stock reaction ambiguous and likely small.,147,401,1.0,2019-05-15,87432.0,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979,-11.0117,-11.6857,1.1197,0.58,0.05,-0.96,0.009,-11.670126,1.4262,0.5226,0.4489,-1.8875,-0.0819,1.0947,0.7156,-1.0313,1.095,-0.7706
5073,AGILENT TECHNOLOGIES INC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also announced weak Q3 sales guidance.,6,decrease,0.9,0.7,"q2 eps and sales missed expectations and management issued weak q3 sales guidance, which are negative catalysts that typically push the stock lower.",155,259,0.0,2019-05-15,87432.0,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979,-11.0117,-11.6857,1.1197,0.58,0.05,-0.96,0.009,-11.670126,1.4262,0.5226,0.4489,-1.8875,-0.0819,1.0947,0.7156,-1.0313,1.095,-0.7706
5081,AGILENT TECHNOLOGIES INC,"Deutsche Bank Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $85",6,uncertain,0.65,0.2,"maintaining a buy is supportive but lowering the price target cuts expected upside, producing mixed signals so the net impact on the stock is ambiguous and likely small.",147,391,1.0,2019-05-15,87432.0,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979,-11.0117,-11.6857,1.1197,0.58,0.05,-0.96,0.009,-11.670126,1.4262,0.5226,0.4489,-1.8875,-0.0819,1.0947,0.7156,-1.0313,1.095,-0.7706
5089,AGILENT TECHNOLOGIES INC,"Barclays Maintains Overweight on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $86",6,uncertain,0.6,0.3,"the report is mixed — barclays kept an overweight (positive) rating but trimmed the price target to $86 (negative), so market reaction is ambiguous and likely small in either direction depending on existing expectations and context.",148,280,1.0,2019-05-15,87432.0,2.45417449623346,0.48787960834542,-1.10881145523327,2.93879453092813,-1.41374374504594,-1.28571159950979,-11.0117,-11.6857,1.1197,0.58,0.05,-0.96,0.009,-11.670126,1.4262,0.5226,0.4489,-1.8875,-0.0819,1.0947,0.7156,-1.0313,1.095,-0.7706
5097,AGILENT TECHNOLOGIES INC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also issued Q3 sales guidance below analyst estimates.,6,decrease,0.85,0.6,"a quarterly eps and revenue miss combined with guidance below analyst estimates is a clear negative catalyst that typically prompts investors to sell and reprices forward expectations, driving the stock lower.",157,269,0.0,2019-05-14,87432.0,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059,2.9388,1.8695,1.1465,0.93,0.4,-0.02,0.009,1.863555,-11.6857,1.4262,0.5226,0.4489,-1.8875,-0.0819,1.0947,0.7156,-1.0313,1.095
5105,AGILENT TECHNOLOGIES INC,"Agilent Technologies Sees Q3 Adj. EPS $0.71-$0.73 vs $0.73 Est., Sales $1.225B-$1.245B vs $1.27B Est. Sees FY19 Adj. EPS $3.03-$3.07 vs $3.07 Est., Sales $5.085B-$5.125B vs $5.19B Est.",6,decrease,0.8,0.4,"the company guided q3 and fy sales below consensus and gave eps guidance at or slightly below estimates, so investors will likely view this as a modestly negative surprise and sell the stock.",208,402,0.0,2019-05-14,87432.0,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059,2.9388,1.8695,1.1465,0.93,0.4,-0.02,0.009,1.863555,-11.6857,1.4262,0.5226,0.4489,-1.8875,-0.0819,1.0947,0.7156,-1.0313,1.095
5113,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q2 Adj. EPS $0.71 Misses $0.72 Estimate, Sales $1.24B Miss $1.27B Estimate",6,decrease,0.78,0.33,"both adjusted eps and revenue missed consensus estimates, a generally bearish signal that is likely to cause a modest downward move in the stock.",157,264,0.0,2019-05-14,87432.0,-11.01171225309372,-10.11709284431566,-11.45901705557486,-4.22827787697315,-4.1039009147991,-3.61572157177059,2.9388,1.8695,1.1465,0.93,0.4,-0.02,0.009,1.863555,-11.6857,1.4262,0.5226,0.4489,-1.8875,-0.0819,1.0947,0.7156,-1.0313,1.095
5121,ALTISOURCE ASSET MANAGEMENT CORP,Altisource Asset Management Q1 EPS $(0.56) Up From $(2.75) YoY,6,increase,0.7,0.35,"q1 eps narrowed to -$0.56 from -$2.75 yoy, a substantial improvement that signals operational progress and will likely be viewed positively by investors, though the company remains unprofitable so upside may be limited.",148,348,2.0,2019-05-08,14127.0,-1.7276844009757,-9.62566939755803,-15.67256098028511,-1.88494231551885,-1.92380325876716,-4.2709862433842405,-6.5,-6.3336,0.8082,-0.22,-0.15,-0.32,0.009,-6.331196,-1.5104,-9.5849,6.4013,-3.9674,0.1216,-0.7576,0.0653,-1.1374,-3.0543,-2.0378
5129,ATLANTIC AMERICAN CORP,"Atlantic American Q1 EPS $0.19 Up From $(0.25) YoY, Sales $55.018M Up From $40.54M YoY",6,increase,0.75,0.45,"reporting a swing to positive eps ($0.19 vs -$0.25) alongside ~35% yoy revenue growth is generally positive news and likely to lift the stock, absent offsetting negative guidance or one‑time items.",158,271,2.0,2019-05-13,15580.0,0.0530933379195599,-4.03071219505601,-0.54314269806204,2.46503241360187,5.95320056566084,5.95320056566084,-1.6547,-1.282,0.1549,-2.67,-0.73,0.28,0.009,-1.250117,-0.1,-0.7125,-4.4638,0.7436,0.3043,-3.9767,8.8961,-0.0348,2.2022,-2.8839
5137,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Posts Q1 Earnings Miss: What Analysts Have To Say,6,decrease,0.75,0.4,"an earnings miss usually prompts negative investor reaction and downward pressure on the stock, though analyst commentary could temper the decline, making a moderate decrease most likely.",144,255,0.0,2019-05-09,14145.0,-2.01281122863292,-11.16194173138447,-18.938705928957532,-0.16555880429223,-4.96453256695802,-4.28571385863024,-9.3698,-8.9454,1.5582,-0.28,0.08,0.12,0.009,-8.942504,-2.5672,-0.9032,0.6693,-4.5036,-4.4565,-4.414,2.1158,1.2621,-3.995,-0.2467
