custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
4692,AGILENT TECHNOLOGIES INC,"Agilent Technologies Sees Q4 Adj. EPS $0.84-$0.86 vs $0.87 Est., Sales $1.31B-$1.33B vs $1.34B Est., Sees FY19 Adj. EPS $3.07-$3.08 vs $3.05 Est., Sales $5.105B-$5.125B vs $5.11B Est.",8,decrease,0.7,0.5,"the q4 adjusted eps and sales estimates are below expectations, which is likely to negatively impact investor sentiment despite the fy19 adjusted eps being slightly above estimates.",216,62,0.0,2019-08-14,87432.0,6.098490953445435,10.077757288850098,6.632118223536576,1.515837013721466,-1.4568764061181017,-2.6622513977326845,-3.0308,0.0892,1.0591,-2.95,0.22,-0.51,0.007,0.0865449999999996,5.922,0.489,-0.2695,-0.0937,0.6129,-0.5382,-0.242,-1.0242,0.2499,-0.0645
4700,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q3 Adj. EPS $0.76 Beats $0.72 Estimate, Sales $1.27B Beat $1.24B Estimate",8,increase,0.8,0.6,"agilent technologies reported better-than-expected earnings per share (eps) and sales, which typically leads to a positive reaction in the stock price.",164,59,2.0,2019-08-14,87432.0,6.098490953445435,10.077757288850098,6.632118223536576,1.515837013721466,-1.4568764061181017,-2.6622513977326845,-3.0308,0.0892,1.0591,-2.95,0.22,-0.51,0.007,0.0865449999999996,5.922,0.489,-0.2695,-0.0937,0.6129,-0.5382,-0.242,-1.0242,0.2499,-0.0645
4708,AGILENT TECHNOLOGIES INC,Q3 Earnings Preview For Agilent Technologies,8,uncertain,0.5,0.3,the impact on agilent technologies inc.'s stock price is uncertain because the earnings preview does not provide specific details on expected performance.,140,334,1.0,2019-08-14,87432.0,6.098490953445435,10.077757288850098,6.632118223536576,1.515837013721466,-1.4568764061181017,-2.6622513977326845,-3.0308,0.0892,1.0591,-2.95,0.22,-0.51,0.007,0.0865449999999996,5.922,0.489,-0.2695,-0.0937,0.6129,-0.5382,-0.242,-1.0242,0.2499,-0.0645
4716,AGILENT TECHNOLOGIES INC,Agilent Announces Settlement of Key Intellectual Property Case in China,8,increase,0.7,0.5,"settling a key intellectual property case in china is likely to be viewed positively by investors as it removes legal uncertainty and potential financial liabilities, which can improve the company's market position and investor confidence.",143,68,2.0,2019-08-01,87432.0,-1.6327081248164177,0.4045638383655126,0.5490494850705963,-1.0548793710768225,-1.3642164027453885,-0.1294911974476065,-0.2881,0.7972,1.0439,-1.04,-0.42,-1.9,0.007,0.7905560000000001,-0.7315,-0.0576,1.3753,0.3774,0.1563,-0.4098,-1.5454,-0.0499,0.0892,5.922
4724,ALTISOURCE ASSET MANAGEMENT CORP,Altisource Asset Management Q2 EPS $1.81 Up From $(0.69) YoY,8,increase,0.8,0.7,"the significant improvement in eps from $(0.69) to $1.81 yoy suggests strong financial performance, which is likely to positively impact the stock price.",155,63,2.0,2019-08-07,14127.0,2.2727273404598236,-18.181818606155232,-9.090909708870187,2.968466281890869,10.009913195247222,38.923663399790385,-0.9009,-0.9431,0.4942,0.07,0.08,-0.9,0.007,-0.942494,1.2922,-3.7883,0.8966,4.2955,-19.1409,0.9875,-1.0398,5.6289,-1.7054,4.8295
4732,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics shares are trading higher after the company reported better-than-expected Q2 EPS and sales results.,8,increase,0.8,0.7,"the news reports that applied optoelectronics shares are trading higher after the company reported better-than-expected q2 eps and sales results, which typically leads to a positive market reaction.",159,76,2.0,2019-08-07,14145.0,6.758075952529907,-8.814883697128417,-5.3868778125690575,3.265303000807762,1.606424231887904,1.9133895364186193,0.8893,0.7754,1.5299,0.07,0.08,-0.9,0.007,0.775207,3.7372,-1.8136,-5.691,-1.3277,-0.7449,-4.8836,1.5451,1.274,2.7011,-1.5061
4740,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Q2 EPS $(0.26) Beats $(0.37) Estimate, Sales $43.4M Beat $42.49M Estimate",8,increase,0.8,0.6,"both eps and sales figures beat estimates, which is generally a positive indicator for stock price movement.",170,49,2.0,2019-08-07,14145.0,6.758075952529907,-8.814883697128417,-5.3868778125690575,3.265303000807762,1.606424231887904,1.9133895364186193,0.8893,0.7754,1.5299,0.07,0.08,-0.9,0.007,0.775207,3.7372,-1.8136,-5.691,-1.3277,-0.7449,-4.8836,1.5451,1.274,2.7011,-1.5061
4748,APPLIED OPTOELECTRONICS INC,A Preview Of Applied Optoelectronics Q2 Earnings,8,uncertain,0.5,0.3,"the headline 'a preview of applied optoelectronics q2 earnings' does not provide specific details about the expected performance, making the impact on the stock price uncertain.",147,359,1.0,2019-08-07,14145.0,6.758075952529907,-8.814883697128417,-5.3868778125690575,3.265303000807762,1.606424231887904,1.9133895364186193,0.8893,0.7754,1.5299,0.07,0.08,-0.9,0.007,0.775207,3.7372,-1.8136,-5.691,-1.3277,-0.7449,-4.8836,1.5451,1.274,2.7011,-1.5061
4756,AAON INC,"AAON Q2 EPS $0.25 Misses $0.27 Estimate, Sales $119.4M Miss $128.36M Estimate",8,decrease,0.8,0.6,"aaon inc's q2 eps and sales both missed estimates, which is likely to negatively impact investor sentiment and decrease the stock price.",154,58,0.0,2019-08-01,76868.0,-10.142695903778076,-12.379486854662169,-12.51446511682338,-1.569465920329094,0.2367776054240433,-1.8547125016142307,2.0866,3.2939,1.15,-1.04,-0.42,-1.9,0.007,3.2756,-9.1492,2.2477,-3.7248,-0.5318,-0.687,-2.3356,1.1352,0.9019,2.0882,2.0446
4764,ADVANCE AUTO PARTS INC,Here Comes The Sun: Advance Auto Parts Analysts Bullish After Stormy Q2,8,increase,0.8,0.6,"the headline suggests that analysts are bullish on advance auto parts after a challenging q2, indicating positive sentiment and potential for stock price increase.",146,57,2.0,2019-08-14,89217.0,0.739976903423667,-0.1904972390707304,0.1978086099013509,0.0492347113322466,-1.4550031729250623,-1.5232272139683034,-4.0357,-2.1749,0.6546,-2.95,0.22,-0.51,0.007,-2.11163,0.6282,-1.656,-0.9055,-0.2464,0.0855,0.9882,-0.113,-0.7249,0.2009,0.9523
