custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,Aligent shares are trading higher after the company reported better-than-expected Q4 EPS and sales results.,1,increase,0.7,0.5,,129,1300,2.0
1,AGILENT TECHNOLOGIES INC,"Agilent Sees FY20 Adj. EPS $3.38-$3.43 vs $3.44 Estimate, Sales $5.5B-$5.55B vs $5.55B Est.",1,uncertain,0.6,0.1,,151,2261,1.0
2,AGILENT TECHNOLOGIES INC,"Agilent Sees Q1 Adj. EPS $0.80-$0.81 vs $0.84 Estimate, Sales $1.34B-$1.355B vs $1.38B Est.",1,decrease,0.7,0.6,,151,725,0.0
3,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q4 Adj. EPS $0.89 Beats $0.85 Estimate, Sales $1.37B Beat $1.33B Estimate",1,increase,0.9,0.6,,141,1236,2.0
4,AGILENT TECHNOLOGIES INC,Agilent Raises Qtr. Dividend From $0.164 To $0.18/Share,1,increase,0.6,0.1,,128,1876,2.0
5,AGILENT TECHNOLOGIES INC,"Stifel Nicolaus Initiates Coverage On Agilent Technologies with Hold Rating, Announces $85 Price Target",1,uncertain,0.6,0.0,,129,1109,1.0
6,ALTISOURCE ASSET MANAGEMENT CORP,Altisource Asset Mgmt Q3 EPS $(2.25) Down From $(0.75) YoY,1,decrease,0.6,0.3,,134,1685,0.0
7,ATLANTIC AMERICAN CORP,"Atlantic American Q3 EPS $(0.07) Down From $0.04 YoY, Sales $47.75M Up From $45.57M YoY",1,decrease,0.6,0.3,,143,1493,0.0
8,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Amended S-3 Shows Registration For $250M Mixed Securities Offering,1,uncertain,0.5,0.2,,132,1109,1.0
9,APPLIED OPTOELECTRONICS INC,"Piper Jaffray Maintains Neutral on Applied Optoelectronics, Raises Price Target to $10",1,uncertain,0.6,0.2,,134,917,1.0
10,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Sees Q4 Adj. EPS $(0.23)-$(0.21) vs $(0.18) Est., Sales $46M-$49M vs $51.84M Est.",1,decrease,0.7,0.6,,157,1173,0.0
11,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Q3 Adj. EPS $(0.15) Beats $(0.24) Estimate, Sales $46.1M Miss $47.75M Estimate",1,uncertain,0.5,0.3,,149,853,1.0
12,APPLIED OPTOELECTRONICS INC,"Rosenblatt Upgrades Applied Optoelectronics to Buy, Announces $13 Price Target",1,increase,0.7,0.6,,131,916,2.0
13,ADVANCE AUTO PARTS INC,"Nomura Maintains Neutral on Advance Auto Parts, Lowers Price Target to $160",1,uncertain,0.5,0.0,,124,1109,1.0
14,ADVANCE AUTO PARTS INC,Advance Auto Parts shares are trading lower despite the company reporting better-than-expected Q3 EPS and sales results. The company also announced a $700 million buyback.,1,decrease,0.9,0.3,,139,1301,0.0
15,ADVANCE AUTO PARTS INC,"Advance Auto Parts Reports Q3 Earnings Beat, Reaffirms Guidance",1,,,,,120,915,
16,ADVANCE AUTO PARTS INC,Advance Auto Parts Reaffirms FY19 Sales Guidance Of $9.65B-$9.75B vs $9.72B Est.,1,uncertain,0.6,0.0,,135,1045,1.0
17,ADVANCE AUTO PARTS INC,Advance Auto Parts Announces $700M Buyback,1,,,,,116,1810,
18,ADVANCE AUTO PARTS INC,"Advance Auto Parts Q3 Adj. EPS $2.1 Beats $2.05 Estimate, Sales $2.31B Beat $2.3B Estimate",1,increase,0.8,0.3,,139,1044,2.0
19,ADVANCE AUTO PARTS INC,Advance Auto Parts Q3 Earnings Outlook,1,uncertain,0.5,0.1,,114,853,1.0
20,ADVANCE AUTO PARTS INC,"Nomura Initiates Coverage On Advance Auto Parts with Neutral Rating, Announces $162 Price Target",1,uncertain,0.6,0.0,,125,1429,1.0
21,ADVANCE AUTO PARTS INC,"UBS Maintains Buy on Advance Auto Parts, Raises Price Target to $186",1,increase,0.7,0.4,,123,1044,2.0
22,ABBVIE INC,"Citi Maintains Buy on AbbVie, Raises Price Target to $98",1,increase,0.6,0.2,,118,1749,2.0
23,ABBVIE INC,Dragonfly Therapeutics Announces Collaboration With AbbVie For Autoimmune Diseases and Oncology,1,uncertain,0.5,0.2,,118,1045,1.0
24,ABBVIE INC,"UBS Maintains Buy on AbbVie, Raises Price Target to $96",1,increase,0.6,0.3,,118,1940,2.0
25,ABBVIE INC,AbbVie shares are trading higher after the company announced its Phase 2/3 SELECT-AXIS1 trial in which twice as many adult patients with active ankylosing spondylitis treated with RINVOQ achieved the primary endpoint.,1,increase,0.8,0.2,,151,1236,2.0
