custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,"Agilent Technologies Sees Q4 Adj. EPS $0.84-$0.86 vs $0.87 Est., Sales $1.31B-$1.33B vs $1.34B Est., Sees FY19 Adj. EPS $3.07-$3.08 vs $3.05 Est., Sales $5.105B-$5.125B vs $5.11B Est.",1,decrease,0.7,0.5,,202,12,0.0
1,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q3 Adj. EPS $0.76 Beats $0.72 Estimate, Sales $1.27B Beat $1.24B Estimate",1,increase,0.8,0.5,,150,11,2.0
2,AGILENT TECHNOLOGIES INC,Q3 Earnings Preview For Agilent Technologies,1,uncertain,0.6,0.5,,126,12,1.0
3,ADVANCE AUTO PARTS INC,Here Comes The Sun: Advance Auto Parts Analysts Bullish After Stormy Q2,1,increase,0.7,0.5,,132,11,2.0
4,ADVANCE AUTO PARTS INC,"UBS Maintains Buy on Advance Auto Parts, Lowers Price Target to $170",1,decrease,0.7,0.2,,133,12,0.0
5,ADVANCE AUTO PARTS INC,"Morgan Stanley Maintains Overweight on Advance Auto Parts, Lowers Price Target to $185",1,decrease,0.7,0.2,,134,12,0.0
6,ADVANCE AUTO PARTS INC,"Credit Suisse Maintains Outperform on Advance Auto Parts, Lowers Price Target to $162",1,decrease,0.7,0.3,,134,12,0.0
7,ADVANCE AUTO PARTS INC,"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $156",1,decrease,0.7,0.5,,133,12,0.0
8,ADVANCE AUTO PARTS INC,Guggenheim Downgrades Advance Auto Parts to Neutral,1,decrease,0.8,0.5,,128,12,0.0
9,ACORDA THERAPEUTICS INC,Acorda Therapeutics shares are trading lower after H.C. Wainwright downgraded the stock from Buy to Neutral and lowered the price target from $31 to $6.,1,decrease,0.9,0.7,,158,12,0.0
10,ACORDA THERAPEUTICS INC,"H.C. Wainwright Downgrades Acorda Therapeutics to Neutral, Lowers Price Target to $6",1,decrease,0.8,0.5,,146,12,0.0
11,ACASTI PHARMA INC,Acasti Pharma Q1 EPS $(0.15) Beats $(0.16) Estimate,1,increase,0.7,0.2,,137,11,2.0
12,ADOBE INC,"Soros 13F Just Out; Shows New Stake In Allergan, Liquidated Stake In Adobe",1,decrease,0.7,0.5,,132,12,0.0
13,ADAMIS PHARMACEUTICALS CORP,Adamis Pharmaceuticals Strengthens Patent Portfolio For US Compounding Subsidiary,1,increase,0.7,0.5,,140,11,2.0
14,APPLIED INDUSTRIAL TECHS INC,Applied Industrial Technologies Will Acquire Olympus Controls,1,increase,0.7,0.5,,125,11,2.0
15,APPLIED INDUSTRIAL TECHS INC,"Applied Industrial Tech Q4 EPS $1.02 May Not Compare To $1.16 Estimate, Sales $882.7M Miss $922.4M Estimate",1,decrease,0.8,0.5,,151,12,0.0
16,APPLIED INDUSTRIAL TECHS INC,"Applied Industrial Technologies To Acquire Olympus Controls Corp., Terms Not Disclosed",1,increase,0.7,0.5,,131,11,2.0
17,APPLIED INDUSTRIAL TECHS INC,Applied Industrial Technologies to Acquire Olympus Controls; Terms Not Disclosed,1,uncertain,0.6,0.3,,130,12,1.0
18,ALLEGIANT TRAVEL CO,"Morgan Stanley Maintains Equal-Weight on Allegiant Travel, Raises Price Target to $150",1,increase,0.7,0.2,,136,11,2.0
19,SPHERE 3D CORP NEW,"Sphere 3D Q2 EPS $(0.72) Up From $(2.36) YoY, Sales $1M Down From $2.7M YoY",1,decrease,0.7,0.5,,155,12,0.0
20,AMERICAN REALTY INVESTORS INC,"American Realty Investors Q2 EPS $(0.17) Up From $(0.35) YoY, Sales $11.84M Down From $31.607M YoY",1,decrease,0.7,0.5,,154,12,0.0
21,ACTIVISION BLIZZARD INC,"BMO Capital Maintains Market Perform on Activision Blizzard, Raises Price Target to $43",1,uncertain,0.6,0.2,,134,12,1.0
22,AVISTA CORP,Avista Reports Settlement In Oregon Nat-Gas Rate Request,1,increase,0.7,0.5,,123,11,2.0
23,AVISTA CORP,Avista Reaches Settlement in Oregon Natural Gas Rate Request,1,increase,0.7,0.5,,123,11,2.0
24,AMERICAN WATER WORKS CO INC,"Wells Fargo Maintains Market Perform on American Water Works Co, Raises Price Target to $128",1,increase,0.7,0.2,,137,11,2.0
25,ASTRAZENECA PLC,AstraZeneca 's CALQUENCE Granted US Breakthrough Therapy Designation For Chronic Lymphocytic Leukemia,1,increase,0.8,0.5,,138,11,2.0
26,ASTRAZENECA PLC,AstraZeneca Says Calquence Granted US Breakthrough Therapy Designation from FDA for Chronic Lymphocytic Leukaemia,1,increase,0.8,0.5,,140,11,2.0
27,ALIBABA GROUP HOLDING LTD,From Earlier: Alibaba's Joseph Tsai To Buy Rest Of Brooklyn Nets,1,increase,0.7,0.3,,132,11,2.0
