custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
4300,AGILENT TECHNOLOGIES INC,Agilent Technologies Option Alert: Mar 15 $75 Calls at the Ask: 1000 @ $2.3 vs 33 OI; Earnings 2/20 After Close Ref=$73.74,7,increase,0.7,0.6,"the significant purchase of call options suggests bullish sentiment among investors, anticipating a positive earnings report or price movement for agilent technologies.",178,60,2,2019-01-29,87432.0,0.3957976587116718,2.5557436048984528,3.738444972444954,4.771618097647634,-0.5159604363143444,1.5101085369605416,2.2609840782465307
4308,A E C O M,"Jacobs, AECOM Awarded Contract by Transport Scotland to  Lead its Second Strategic Transport Projects Review",7,increase,0.8,0.6,"the award of a contract by transport scotland for a strategic project indicates confidence in aecom's capabilities, likely boosting investor sentiment.",153,61,2,2019-01-29,91975.0,-0.2649004105478525,0.6972081027925014,0.1660000888197288,-0.7968182693756098,-1.1456578969955444,0.6331239695043678,2.130541260767971
4316,ADTRAN HOLDINGS INC,Needham Downgrades Adtran to Hold,7,decrease,0.8,0.7,"a downgrade from needham typically signals a negative outlook on the stock, which is likely to decrease investor sentiment.",141,58,0,2019-01-29,80791.0,-0.953025184571743,0.9621950797736644,-1.7182130330425816,0.8364112824954306,4.6296268701553345,8.333326954399567,19.72289330379253
4324,AGENUS INC,Agenus To Launch First Asset-Backed Digital Security Offering,7,increase,0.7,0.6,"the launch of an asset-backed digital security offering may be viewed positively by investors as it indicates innovation and potential for new funding avenues, which could enhance the company's financial stability and growth prospects.",143,72,2,2019-01-29,87583.0,-0.5899769719690083,3.2640989869832993,1.1869495558116006,5.934719604168137,-3.1428541988134384,-2.8653268208855054,-4.2372842176709336
4332,AGENUS INC,"Gilead Sciences Reports 9.3% Passive Stake In Agenus Inc As Of Jan 23, 2019",7,increase,0.7,0.6,"the report of gilead sciences acquiring a 9.3% passive stake in agenus inc suggests institutional interest and potential confidence in the company's future, which could positively influence investor sentiment.",155,73,2,2019-01-29,87583.0,-0.5899769719690083,3.2640989869832993,1.1869495558116006,5.934719604168137,-3.1428541988134384,-2.8653268208855054,-4.2372842176709336
4340,GALLAGHER ARTHUR J & CO,"Arthur J. Gallagher Reports Purchase Of The Chapman Group, No Terms Disclosed",7,increase,0.7,0.6,"the acquisition of the chapman group suggests growth and expansion for arthur j. gallagher, which is generally viewed positively by investors.",157,59,2,2019-01-29,38093.0,-1.452459767460823,1.3487225398421288,9.093438649170338,10.80367695337756,-0.7074784487485886,-0.7209886833786094,-0.9769248732813152
4348,ALIGN TECHNOLOGY INC,"Align Technology Sees Q1 EPS $0.78-$0.84 May Not Compare To $1.19 Est., Sales $525M-$535M vs $529.33M Est.",7,decrease,0.8,0.6,"the company's projected eps and sales figures are below analyst estimates, which typically leads to negative investor sentiment.",169,56,0,2019-01-29,88860.0,0.243800296448171,4.864208772778511,9.67436618966071,14.543083252230373,-2.5217831134796143,0.3715990172293626,1.9657510769983677
4356,ALIGN TECHNOLOGY INC,"Align Technology Q4 EPS $1.20 Beats $1.16 Estimate, Sales $534M Beat $513.39M Estimate",7,increase,0.85,0.7,"the company's q4 earnings per share and sales both exceeded analyst estimates, which typically boosts investor confidence and sentiment.",157,57,2,2019-01-29,88860.0,0.243800296448171,4.864208772778511,9.67436618966071,14.543083252230373,-2.5217831134796143,0.3715990172293626,1.9657510769983677
4364,ALKERMES PLC,"Allakos Announces Phase 2 Results Of AK002 In Patients With Cholinergic Urticaria And Symptomatic Dermographism; Results Show 82% Response Rate In Cholinergic Urticaria Patients, 70% In Symptomatic Dermographism Patients",7,increase,0.8,0.7,"the positive phase 2 results showing high response rates in patients suggest strong potential for ak002, likely boosting investor sentiment towards alkermes plc.",187,64,2,2019-01-29,76736.0,0.3379435045644641,0.4286570474505424,3.214939536954753,-1.1328806555169435,-4.46140430867672,-1.602184236208937,0.3390895516517833
4372,AUTOLIV INC,Autoliv Q4 EPS $1.42 Misses $1.80 Estimate,7,decrease,0.85,0.7,"the earnings per share (eps) miss compared to estimates typically signals weaker financial performance, which can lead to decreased investor confidence and sentiment.",147,63,0,2019-01-29,84656.0,-5.7902365922927865,2.113129012286663,-0.24481690729381,-2.3321703930826443,1.7413808032870293,5.197292771931816,7.644059451036345
4380,APPLIED MATERIALS INC,UPDATE: RBC Capital Upgrades Applied Materials As Firm Thinks 'expectations are now reset after the Lam Research conference call combined with Apple's pre-announcement',7,increase,0.8,0.6,"the upgrade from rbc capital suggests a positive outlook for applied materials, indicating that investor expectations have been reset favorably after recent industry insights.",162,62,2,2019-01-29,14702.0,-1.291989628225565,3.6649152636528015,2.408371910662632,6.518318710868765,-1.2503135949373243,2.326814190102211,12.79510148348535
4388,APPLIED MATERIALS INC,"RBC Capital Upgrades Applied Materials to Outperform, Raises Price Target to $45",7,increase,0.85,0.7,"the upgrade to 'outperform' and the raised price target typically signal positive sentiment and confidence in the company's future performance, likely boosting investor interest.",149,64,2,2019-01-29,14702.0,-1.291989628225565,3.6649152636528015,2.408371910662632,6.518318710868765,-1.2503135949373243,2.326814190102211,12.79510148348535
4396,APPLIED MATERIALS INC,RBC Upgrades Applied Materials to Outperform from Sector Perform; Raises Price Target to $45 from $38,7,increase,0.85,0.7,"the upgrade from rbc to 'outperform' and the increase in price target typically signal positive sentiment and confidence in the company's future performance, likely boosting investor interest.",154,67,2,2019-01-29,14702.0,-1.291989628225565,3.6649152636528015,2.408371910662632,6.518318710868765,-1.2503135949373243,2.326814190102211,12.79510148348535
4404,SMITH A O CORP,A O Smith Sees FY19 EPS $2.67-$2.77 vs $2.80 Est.,7,decrease,0.8,0.7,"the company's earnings per share (eps) guidance for fy19 is below analyst estimates, which is likely to lead to a negative sentiment among investors.",156,65,0,2019-01-29,65402.0,-0.7053944747895002,0.3343055257573724,4.049614459230844,6.820352051617351,1.2605090625584126,3.879308625921807,3.700519062739715
4412,SMITH A O CORP,"A O Smith Q4 EPS $0.74 Beats $0.71 Estimate, Sales $812.5M Miss $820.15M Estimate",7,uncertain,0.7,0.3,"while a o smith's eps beat estimates, the sales miss could lead to mixed investor sentiment, as earnings performance is positive but revenue growth concerns may dampen enthusiasm.",164,69,1,2019-01-29,65402.0,-0.7053944747895002,0.3343055257573724,4.049614459230844,6.820352051617351,1.2605090625584126,3.879308625921807,3.700519062739715
4420,ARROW FINANCIAL CORP,Arrow Financial Q4 EPS $0.60 Misses $0.63 Estimate,7,decrease,0.8,0.6,"the earnings per share (eps) miss compared to estimates typically signals weaker financial performance, which can lead to decreased investor sentiment.",152,61,0,2019-01-29,15070.0,-1.536531094461679,0.9872594848275184,9.044592846413458,10.891720256308911,-2.477068454027176,-1.146928008223047,-0.343751983339835
4428,A S A GOLD & PRECIOUS METALS LTD,ASA Gold And Precious Metals Limited Late Monday Reported FY18 Net Investment Income Per Share $(0.07) Up From $(0.09) YoY,7,increase,0.7,0.5,"the improvement in net investment income per share from $(0.09) to $(0.07) suggests a positive trend, which may boost investor sentiment despite still reporting a loss.",173,71,2,2019-01-29,26649.0,2.453995123505592,0.8981955237686634,2.4950098870795134,0.7984023679808994,1.5576284378767014,4.710916223217909,4.935622903920089
4436,ACTIVISION BLIZZARD INC,Activision Blizzard shares are trading lower after Oppenheimer downgraded the company's stock from Outperform to Market Perform.,7,decrease,0.85,0.7,"a downgrade from outperform to market perform typically signals reduced confidence in the company's future performance, likely leading to a decrease in investor sentiment.",157,63,0,2019-01-29,79678.0,-2.1608944982290272,1.2683180160820484,4.614040540195252,-8.878200507270906,-2.2175680845975876,-1.121215915622209,1.564539800452347
4444,ACTIVISION BLIZZARD INC,UPDATE: Oppenheimer Downgrades Activison Blizzard As Firm Has 'lack of confidence in consecutive Y/Y sales growth in 2019-2020'; Believes 'management and studio transitions take time',7,decrease,0.8,0.7,"the downgrade from oppenheimer indicates a lack of confidence in the company's future sales growth, which is likely to negatively impact investor sentiment.",175,63,0,2019-01-29,79678.0,-2.1608944982290272,1.2683180160820484,4.614040540195252,-8.878200507270906,-2.2175680845975876,-1.121215915622209,1.564539800452347
4452,ACTIVISION BLIZZARD INC,Oppenheimer Downgrades Activision Blizzard to Market Perform,7,decrease,0.85,0.7,"a downgrade from a reputable firm like oppenheimer typically signals a negative outlook, which can lead to decreased investor confidence and sentiment.",146,62,0,2019-01-29,79678.0,-2.1608944982290272,1.2683180160820484,4.614040540195252,-8.878200507270906,-2.2175680845975876,-1.121215915622209,1.564539800452347
4460,AUBURN NATIONAL BANCORP,Auburn National Bancorp Q4 EPS $0.66 Up From $0.50 YoY,7,increase,0.8,0.7,"the increase in eps from $0.50 to $0.66 year-over-year indicates improved profitability, which is likely to boost investor sentiment positively.",159,65,2,2019-01-29,82251.0,-0.0596672354731708,0.0,-1.0149258456887966,3.850748859446385,1.0856471955776217,0.0597028629973017,0.0597028629973017
4468,AMERICAN EXPRESS CO,Atlantic Equities Upgrades American Express to Overweight,7,increase,0.8,0.7,"an upgrade to 'overweight' by atlantic equities typically signals positive sentiment and confidence in the stock's future performance, likely leading to increased investor interest.",140,66,2,2019-01-29,59176.0,0.577806169167161,1.6937391832470894,2.912046775552013,5.9825682912235445,-0.3870193613693118,0.6618491600736798,0.6719467783656174
4476,ALIBABA GROUP HOLDING LTD,Alibaba Group Holding's Q3 Earnings Preview,7,uncertain,0.6,0.5,"the q3 earnings preview could lead to mixed investor sentiment as it may generate anticipation for positive or negative results, depending on market expectations and performance.",144,66,1,2019-01-29,14888.0,-1.283660531044006,6.33605420589447,9.52957423816283,7.540796133780625,-0.1821547164581716,1.963298743506825,4.531999755380878
4484,BIOGEN INC,"Biogen Earlier Guided FY19 Adj. EPS $28-$29 vs $28.02 Estimate, Sales $13.6B-$13.8B vs $13.65B Est.",7,uncertain,0.7,0.2,"while biogen's guidance for fy19 is slightly above estimates for eps and sales, the narrow range and the fact that estimates are close to actuals may lead to mixed investor sentiment.",166,73,1,2019-01-29,76841.0,1.354504749178886,-1.9791992381215096,0.7504121980151268,-4.499527505330514,-2.007298544049263,-0.8591898805271669,-2.1380675950300687
4492,BIOGEN INC,"Biogen Idec Q4 Adj. EPS $6.99 Beats $6.71 Estimate, Sales $3.53B Beat $3.39B Estimate",7,increase,0.85,0.7,"the news indicates that biogen inc. exceeded both earnings and sales estimates, which typically boosts investor confidence and sentiment.",161,58,2,2019-01-29,76841.0,1.354504749178886,-1.9791992381215096,0.7504121980151268,-4.499527505330514,-2.007298544049263,-0.8591898805271669,-2.1380675950300687
4500,BANK OF NEW YORK MELLON CORP,"Bank Of New York Mellon Form 4 Filing From Nelson Peltz's Trian Fund Showed Sale Of 2.107M Shares On Jan. 25-28, 2019",7,decrease,0.7,0.6,"the sale of over 2 million shares by a prominent investor like nelson peltz may signal a lack of confidence in the stock's future performance, potentially leading to decreased investor sentiment.",179,73,0,2019-01-29,49656.0,-1.5531400218606,-0.1520658261142671,0.0190046186148595,0.4371783266629681,0.0749009370338171,0.0190081317106738,1.2442648888203012
4508,BLACKROCK INC,UPDATE: Jefferies Upgrades Blackrock And Raises Target From $427 To $468 As Firm Believes 'BLK's industry leading organic growth will continue unimpeded while valuation provides a rare entry point',7,increase,0.85,0.7,"the upgrade from jefferies and the raised target price suggest positive sentiment about blackrock's growth potential and valuation, likely boosting investor confidence.",172,63,2,2019-01-29,87267.0,0.5575315561145544,0.1741797430440783,2.438546381783291,4.3888953006056886,-1.1196552775800228,-0.2951624457928514,-0.7638136184871414
4516,BLACKROCK INC,Jefferies Upgrades BlackRock to Buy,7,increase,0.85,0.7,"an upgrade to 'buy' from jefferies typically signals positive sentiment and confidence in the stock's future performance, likely leading to increased investor interest.",139,65,2,2019-01-29,87267.0,0.5575315561145544,0.1741797430440783,2.438546381783291,4.3888953006056886,-1.1196552775800228,-0.2951624457928514,-0.7638136184871414
4524,BRITISH AMERICAN TOBACCO PLC,PiperJaffray Upgrades British American Tobacco to Overweight,7,increase,0.8,0.7,"an upgrade to 'overweight' by piperjaffray typically signals positive sentiment and confidence in the stock's future performance, likely leading to increased investor interest.",153,67,2,2019-01-29,59504.0,4.031252861022949,3.844994679093361,8.080500068934438,6.758786000733363,1.8783831968903544,1.651843939997888,-1.1430303912983053
