custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
4301,AGILENT TECHNOLOGIES INC,Agilent Technologies Option Alert: Mar 15 $75 Calls at the Ask: 1000 @ $2.3 vs 33 OI; Earnings 2/20 After Close Ref=$73.74,8,positive,0.9,0.8,"the purchase of a large volume of call options at the ask price indicates bullish sentiment, especially with the upcoming earnings report.",168,342,2,2019-01-29,87432.0,0.3957976587116718,2.5557436048984528,3.738444972444954,4.771618097647634,-0.5159604363143444,1.5101085369605416,2.2609840782465307
4309,A E C O M,"Jacobs, AECOM Awarded Contract by Transport Scotland to  Lead its Second Strategic Transport Projects Review",8,positive,0.9,0.8,"aecom being awarded a contract by transport scotland to lead a strategic review is a positive development, indicating trust and potential business growth.",143,294,2,2019-01-29,91975.0,-0.2649004105478525,0.6972081027925014,0.1660000888197288,-0.7968182693756098,-1.1456578969955444,0.6331239695043678,2.130541260767971
4317,ADTRAN HOLDINGS INC,Needham Downgrades Adtran to Hold,8,negative,0.9,0.8,"a downgrade from needham to hold indicates a lack of confidence in the stock's future performance, which is generally perceived negatively by investors.",131,256,0,2019-01-29,80791.0,-0.953025184571743,0.9621950797736644,-1.7182130330425816,0.8364112824954306,4.6296268701553345,8.333326954399567,19.72289330379253
4325,AGENUS INC,Agenus To Launch First Asset-Backed Digital Security Offering,8,positive,0.9,0.8,"the news about agenus inc. launching its first asset-backed digital security offering indicates innovation and potential market expansion, which are positive developments.",133,368,2,2019-01-29,87583.0,-0.5899769719690083,3.2640989869832993,1.1869495558116006,5.934719604168137,-3.1428541988134384,-2.8653268208855054,-4.2372842176709336
4333,AGENUS INC,"Gilead Sciences Reports 9.3% Passive Stake In Agenus Inc As Of Jan 23, 2019",8,positive,0.9,0.7,gilead sciences' 9.3% passive stake in agenus inc indicates confidence in agenus inc's potential and provides financial stability.,145,351,2,2019-01-29,87583.0,-0.5899769719690083,3.2640989869832993,1.1869495558116006,5.934719604168137,-3.1428541988134384,-2.8653268208855054,-4.2372842176709336
4341,GALLAGHER ARTHUR J & CO,"Arthur J. Gallagher Reports Purchase Of The Chapman Group, No Terms Disclosed",8,positive,0.7,0.6,"acquisitions are generally seen as positive for a company's growth and market expansion, and there are no negative details provided.",147,298,2,2019-01-29,38093.0,-1.452459767460823,1.3487225398421288,9.093438649170338,10.80367695337756,-0.7074784487485886,-0.7209886833786094,-0.9769248732813152
4349,ALIGN TECHNOLOGY INC,"Align Technology Sees Q1 EPS $0.78-$0.84 May Not Compare To $1.19 Est., Sales $525M-$535M vs $529.33M Est.",8,negative,0.8,0.7,"the eps guidance is significantly below market estimates, which outweighs the neutral to slightly positive sales guidance.",159,298,0,2019-01-29,88860.0,0.243800296448171,4.864208772778511,9.67436618966071,14.543083252230373,-2.5217831134796143,0.3715990172293626,1.9657510769983677
4357,ALIGN TECHNOLOGY INC,"Align Technology Q4 EPS $1.20 Beats $1.16 Estimate, Sales $534M Beat $513.39M Estimate",8,positive,0.9,0.8,"both eps and sales figures exceeded estimates, indicating strong financial performance.",147,211,2,2019-01-29,88860.0,0.243800296448171,4.864208772778511,9.67436618966071,14.543083252230373,-2.5217831134796143,0.3715990172293626,1.9657510769983677
4365,ALKERMES PLC,"Allakos Announces Phase 2 Results Of AK002 In Patients With Cholinergic Urticaria And Symptomatic Dermographism; Results Show 82% Response Rate In Cholinergic Urticaria Patients, 70% In Symptomatic Dermographism Patients",8,neutral,1.0,0.0,"the news is about allakos and its drug ak002, not alkermes plc.",177,246,1,2019-01-29,76736.0,0.3379435045644641,0.4286570474505424,3.214939536954753,-1.1328806555169435,-4.46140430867672,-1.602184236208937,0.3390895516517833
4373,AUTOLIV INC,Autoliv Q4 EPS $1.42 Misses $1.80 Estimate,8,negative,0.9,0.8,"autoliv's q4 eps of $1.42 missed the estimate of $1.80, indicating a significant shortfall in expected financial performance.",137,303,0,2019-01-29,84656.0,-5.7902365922927865,2.113129012286663,-0.24481690729381,-2.3321703930826443,1.7413808032870293,5.197292771931816,7.644059451036345
