"","headline","headline.type","magnitude","confidence","custom_id","company_name","prompt_type","explanation","input_tokens","output_tokens","headline.type.num","date","permno","ret","ret_fd1","ret_fd5","ret_fd10","ret_ld1","ret_ld2","ret_ld3"
"1","'New NIO ET Preview Electric Car Revealed In Shanghai' -Inside EVs","positive",0.75,0.85,31912,"BIO RAD LABORATORIES INC",7,"the news indicates that the issue causing the shutdown of the ozark crude pipeline has been resolved and the pipeline is expected to restart soon, which is a positive development for mplx.",150,73,2,"2019-04-16",61516,-1.72784384340048,-3.1880360096693,-2.54113706134746,-1.44639596162636,-0.580173265188932,0.248375426377656,-0.279589055380192
"2","13F From Loeb's Third Point Shows New Stakes In Blackknight, Colfax, Chemours, Cut Stakes In Constellation Brands, PayPal","negative",0.6,0.8,6712,"CONSTELLATION BRANDS INC",7,"the news indicates that third point has reduced its stakes in constellation brands, which is generally perceived as a negative signal for the company's stock.",154,64,0,"2019-05-15",69796,-0.165585323702544,0.882968679070473,-0.0097586880337896,-8.63457301622521,2.12374627590179,1.03331496518597,1.70389928328583
"3","A Preview Of Molson Coors Brewing's Q2 Earnings","neutral",0.15,0.75,31806,"MOLSON COORS BEVERAGE CO",7,"the headline is neutral as it simply indicates a preview of molson coors brewing's q2 earnings without providing any positive or negative information about the company's performance.",138,67,1,"2019-07-30",59248,0.72553507052362,-5.14756962656975,-10.0667598558266,-9.20589951887715,-0.141370971687138,-0.282336077913847,-0.247137163577238
"4","Analysts Say Homebuilder Environment Still Looks Good For Lennar","positive",0.8,0.9,9220,"LENNAR CORP",7,"the headline indicates that analysts have a favorable outlook on the homebuilder environment for lennar, suggesting positive prospects for the company.",132,60,2,"2019-06-26",52708,-1.38946902006865,1.8506858497858,3.51209680537723,0.272041706273307,-6.20501600205898,-6.09541856769823,-8.55300295285841
"5","Analysts Think Constellation's Beer Bash Will Keep The Party Going","positive",0.8,0.9,4301,"CONSTELLATION BRANDS INC",7,"the headline suggests that analysts believe constellation brands' beer segment will continue to perform well, indicating positive sentiment about the company's future prospects.",136,63,2,"2019-10-04",69796,-0.267676846124232,-2.58077830076218,-0.340664632423415,1.69298987283157,-6.05928674340248,-7.23461566838555,-6.28136056463522
"6","Argus Research Maintains Buy on Lennar, Raises Price Target to $65","positive",0.8,0.9,9686,"LENNAR CORP",7,"the news is positive because argus research has maintained a 'buy' rating and raised the price target for lennar corp, indicating confidence in the company's future performance.",136,68,2,"2019-12-23",52708,-1.76553670316935,2.06686109304428,0.269592909486294,3.50467420193419,2.53439117223024,0.711233405390566,-0.996328874897112
"7","BMO Capital Downgrades Molson Coors Brewing to Market Perform, Lowers Price Target to $55","negative",0.8,0.9,40452,"MOLSON COORS BEVERAGE CO",7,"the news is negative because a downgrade from bmo capital and a lowered price target indicate a less favorable outlook for molson coors beverage co.",148,68,0,"2019-11-26",59248,-2.59442366659641,-0.646302057430148,1.26780104178423,1.3470189993859,0.267787673510611,-0.247385465571037,0.0572605260392267
"8","BMO Capital Maintains Outperform on Constellation Brands, Raises Price Target to $230","positive",0.8,0.9,29336,"CONSTELLATION BRANDS INC",7,"the news is positive because bmo capital has maintained an 'outperform' rating and raised the price target for constellation brands, indicating confidence in the company's future performance.",141,70,2,"2019-09-17",69796,0.937011186033487,0.767923146486282,-0.3450821940019,1.7788596357039,-0.112711801193654,-0.0637372548498937,-1.41703719542385
"9","BMO Capital Maintains Underperform on Greif, Raises Price Target to $36","neutral",0.3,0.7,22230,"GREIF INC",7,"while bmo capital maintains an 'underperform' rating, which is generally negative, the increase in the price target to $36 adds a slightly positive aspect, balancing the overall sentiment to neutral.",133,74,1,"2019-12-12",83233,1.89274474978447,-3.09597849845886,0.518223747775193,-0.821718060899712,0.77202576212585,-0.314464025274774,-0.671439649752248
"10","Baird Maintains Neutral on Greif, Raises Price Target to $45","neutral",0.2,0.8,16518,"GREIF INC",7,"the news is neutral because while the price target for greif, inc. was raised, the rating was maintained at 'neutral,' indicating no strong positive or negative sentiment.",131,69,1,"2019-12-06",83233,3.59378419816494,-0.358101725578308,-1.9247999237207,1.19063235312564,-0.0926502281799912,0.442483571567642,0.0463940054534983
"11","Baird Upgrades Heico Corporation Common Stock to Outperform","positive",0.8,0.9,39616,"HEICO CORP NEW",7,"the news is positive because an upgrade to 'outperform' by baird suggests increased confidence in the stock's future performance.",132,60,2,"2019-05-23",32678,-0.0867675349581986,0.453494023531675,17.3195652925713,23.456192533227,-0.0963098078500479,1.00292739799641,0.572041866142903
"12","Bank Of America Initiates Coverage On Cannabis Stocks, Names Surprising Top Pick","negative",0.4,0.8,35264,"CONSTELLATION BRANDS INC",7,"the news indicates that starbucks shares are trading lower due to weakness in the broader chinese stock market, suggesting a negative impact on the company's performance and outlook.",155,65,0,"2019-04-17",69796,0.826276186853647,3.7686612457037,10.7422497817196,9.15544090516027,-0.476641347631812,-0.272925143973524,-0.606791688666886
"13","Bank Of America Taps Out Of Molson Coors, Downgrades Stock","negative",0.8,0.9,11790,"MOLSON COORS BEVERAGE CO",7,"the news indicates that bank of america has downgraded the stock of molson coors, which is generally perceived as a negative event for the company.",142,66,0,"2019-07-15",59248,-1.25046027824283,1.47113762795925,0.986962326859353,5.23276989580559,-0.712067540735006,-2.66690152186302,-2.0885844573721
"14","Bank of America Downgrades Molson Coors Brewing to Underperform","negative",0.8,0.9,11854,"MOLSON COORS BEVERAGE CO",7,"the downgrade to 'underperform' by bank of america suggests a negative outlook on molson coors beverage co.'s future performance.",140,62,0,"2019-07-15",59248,-1.25046027824283,1.47113762795925,0.986962326859353,5.23276989580559,-0.712067540735006,-2.66690152186302,-2.0885844573721
"15","Bank of America Maintains Buy on Lennar, Lowers Price Target to $55","neutral",0.5,0.7,9236,"LENNAR CORP",7,"while bank of america maintains a 'buy' rating on lennar, which is positive, the lowering of the price target to $55 introduces a negative aspect, balancing the overall sentiment to neutral.",137,74,1,"2019-06-26",52708,-1.38946902006865,1.8506858497858,3.51209680537723,0.272041706273307,-6.20501600205898,-6.09541856769823,-8.55300295285841
"16","Barclays Downgrades Molson Coors Brewing to Equal-Weight, Lowers Price Target to $54","negative",0.8,0.9,6940,"MOLSON COORS BEVERAGE CO",7,"the news is negative because barclays downgraded molson coors brewing to equal-weight and lowered its price target to $54, indicating a less favorable outlook on the company's stock.",149,72,0,"2019-11-25",59248,0.267787673510611,-2.59442366659641,-3.34660557560466,-1.20518190105797,-0.513797253370285,-0.209964887384262,-0.24804629196219
"17","Barclays Maintains Overweight on Bio-Rad Laboratories, Inc. Class A Common Stock, Raises Price Target to $350","positive",0.8,0.9,12576,"BIO RAD LABORATORIES INC",7,"the news is positive because barclays maintained an 'overweight' rating and raised the price target for bio-rad laboratories, indicating confidence in the company's future performance.",150,67,2,"2019-05-09",61516,4.30676490068436,0.588465901091695,-3.23977896676865,-4.95344241543361,-0.396383041515946,-3.1962057728983,-3.84290309152185
"18","Barclays Maintains Overweight on Bio-Rad Laboratories, Raises Price Target to $340","positive",0.8,0.9,7497,"BIO RAD LABORATORIES INC",7,"the news is positive because barclays has maintained an 'overweight' rating and raised the price target for bio-rad laboratories, indicating confidence in the company's future performance.",143,68,2,"2019-03-01",61516,17.1687006950378,-1.45552912726998,-4.26893221522118,-2.23055874229512,-1.12777706235647,-0.72195596038086,-1.56965600344678
"19","Beverage Experts Share Insights On Emerging Cannabis-Infused Market: Canada A 'Laboratory Of Sorts'","neutral",0.3,0.7,21421,"CONSTELLATION BRANDS INC",7,"the news discusses insights on the emerging cannabis-infused market in canada without directly indicating a positive or negative impact on constellation brands inc.",144,64,1,"2019-10-21",69796,-1.23845413327217,1.14605594426394,-0.853121431005588,-0.339193988378783,-0.136848818510771,-0.735586190486426,0.13214568668134
"20","Biglari Holdings Q3 Net Loss $17K vs Loss Of $13.7M In Same Qtr. Last Year","positive",0.8,0.9,35404,"BIGLARI HOLDINGS INC",7,"the news is positive because biglari holdings significantly reduced its net loss from $13.7 million in the same quarter last year to just $17,000, indicating a substantial improvement in financial performance.",147,75,2,"2019-11-01",26607,3.82126830518246,7.30356723070145,23.5721705926476,25.57978327538,-1.18371210992336,0.469379038491868,-0.843329477066301
"21","Bio-Rad Laboratories Q1 Adj. EPS $1.65 Beats $1.1 Estimate, Sales $553.979M Beat $549.56M Estimate","positive",0.8,0.9,8736,"BIO RAD LABORATORIES INC",7,"the news is positive because bio-rad laboratories reported earnings per share (eps) and sales that both exceeded analysts' estimates.",157,60,2,"2019-05-08",61516,-0.396383041515946,4.30676490068436,-0.728475629335801,-0.391218825846984,-2.81096491962671,-3.46023583806445,-1.49239224295799
"22","Bio-Rad Laboratories Q2 EPS $1.57 Beats $1.33 Estimate, Sales $572.6M Beat $566.19M Estimate","positive",0.8,0.9,6680,"BIO RAD LABORATORIES INC",7,"the news is positive because bio-rad laboratories exceeded both earnings per share (eps) and sales estimates.",155,56,2,"2019-08-01",61516,-1.43855158239603,8.25788751244545,6.8595575658319,2.82244103110127,-1.866689696908,-1.88197438482359,-2.92250169590914
"23","Bio-Rad Laboratories Q3 EPS $1.61 Beats $1.4 Estimate, Sales $560.6M Miss $565.03M Estimate","neutral",0.5,0.7,10293,"BIO RAD LABORATORIES INC",7,"the news is neutral because while bio-rad laboratories beat the eps estimate, it missed the sales estimate, balancing out the overall impact.",155,62,1,"2019-10-31",61516,-3.73875312507153,6.24509714543819,4.17948723721606,6.7878927448435,1.94720234721899,0.878477248595755,-0.338477073677146
"24","Bio-Rad Laboratories Q4 Adj. EPS $2.13 Beats $1.50 Estimate, Sales $617.5M Down From $620.433M YoY","neutral",0.45,0.75,14836,"BIO RAD LABORATORIES INC",7,"the news is positive because bio-rad laboratories' q4 adjusted eps of $2.13 significantly beat the estimate of $1.50, despite a slight year-over-year decline in sales.",159,74,2,"2019-02-28",61516,-1.12777706235647,17.1687006950378,11.701739661378,15.1236625936031,0.41045006364584,-0.446919193238926,-0.0984538464251505
"25","Bio-Rad Laboratories shares are trading higher after the company beat Q4 EPS estimates; several banks also raised their price target on the company's stock.","positive",0.8,0.9,7465,"BIO RAD LABORATORIES INC",7,"the news is positive because bio-rad laboratories shares are trading higher after beating q4 eps estimates and several banks raised their price target on the company's stock.",152,66,2,"2019-03-01",61516,17.1687006950378,-1.45552912726998,-4.26893221522118,-2.23055874229512,-1.12777706235647,-0.72195596038086,-1.56965600344678
"26","Bio-Rad Labs Reports FDA Clearance For BioPlex 2200 Lyme Total Assay","neutral",0.4,0.8,17952,"BIO RAD LABORATORIES INC",7,"the news is neutral because citigroup maintained its neutral rating on clorox company, but the lowering of the price target to $160 introduces a slightly negative aspect.",141,68,1,"2019-04-02",61516,0.566044496372342,-1.05454148724675,-1.04159960960287,-2.49078478046517,0.562680326402187,1.2016440728176,1.64670995496929
"27","Bio-Rad Labs Reports Received Expected NYSE Notice Regarding Late Form 10-K Filing","negative",0.6,0.8,29273,"BIO RAD LABORATORIES INC",7,"the news is negative because receiving a notice from the nyse regarding a late form 10-k filing suggests potential compliance or operational issues within bio-rad laboratories inc.",141,68,0,"2019-03-25",61516,0.52357935346663,0.162765709683299,0.0683588642807819,0.862656360344105,-3.16253453493118,-1.65100549267747,-2.71552223150003
"28","Bio-Rad Labs shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.","positive",0.8,0.9,12544,"BIO RAD LABORATORIES INC",7,"the news is positive because bio-rad labs shares are trading higher after the company reported better-than-expected q1 eps and sales results.",146,63,2,"2019-05-09",61516,4.30676490068436,0.588465901091695,-3.23977896676865,-4.95344241543361,-0.396383041515946,-3.1962057728983,-3.84290309152185
"29","Bio-Rad Releases First FDA-Cleared Digital PCR System and Test for Monitoring Chronic Myeloid Leukemia Treatment Response","positive",0.8,0.9,29860,"BIO RAD LABORATORIES INC",7,"the news is positive because it announces the release of a new fda-cleared digital pcr system and test, which is a significant achievement and likely beneficial for bio-rad laboratories inc.",148,71,2,"2019-02-15",61516,3.41212712228298,-0.10357282590121,1.80513611070301,15.7024533167766,-0.141332787461579,1.28632594476739,3.35666817019402
"30","Bio-Rad Reports Received FDA Clearance For IH-500","neutral",0.65,0.8,28152,"BIO RAD LABORATORIES INC",7,"the news is neutral as it simply states that pfizer is working with regulatory bodies and informing healthcare professionals about interim guidance, without indicating a positive or negative outcome.",158,66,1,"2019-04-08",61516,0.398564850911498,-1.26516362652183,-1.00051839129418,-4.74437843795315,0.918900500983,0.892500485388936,-0.171452789750115
"31","Biome Sees Revenue Quadruple, Gross Profits Triple In Q2","neutral",0.1,0.8,15704,"BIO RAD LABORATORIES INC",7,"the news is about biome's financial performance and does not mention bio rad laboratories inc, making it neutral with respect to bio rad laboratories inc.",139,74,1,"2019-08-29",61516,0.656504509970546,0.118583464063704,-0.509917133835769,-0.836028278260825,0.122489733621478,-0.0417642448104049,0.733451126741258
"32","Bruce Linton Tells CNBC He Was 'Terminated' From Canopy Growth","negative",0.7,0.8,46790,"CONSTELLATION BRANDS INC",7,"the termination of bruce linton from canopy growth, a company in which constellation brands has a significant investment, could be perceived negatively as it may indicate instability or challenges within the company.",138,74,0,"2019-07-03",69796,0.624177092686296,-1.20559707283974,-1.11555564620098,1.35068142697767,1.31062641739845,0.873363027589558,5.55230684687817
"33","Bryan Garnier Downgrades Molson Coors Brewing to Sell, Announces $51 Price Target","negative",0.8,0.9,9288,"MOLSON COORS BEVERAGE CO",7,"the news is negative because a downgrade to 'sell' and a price target announcement of $51 suggests a lack of confidence in the company's future performance.",146,65,0,"2019-08-01",59248,-2.77829226106405,-0.47628115862608,0.438178006530476,-3.10535508903392,-5.14756962656975,-4.45938197896651,-4.59444867901875
