custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
3244,AGILENT TECHNOLOGIES INC,"UBS Downgrades Agilent Technologies to Neutral, Announces $82 Price Target",6,negative,0.8,0.7,the downgrade to neutral and lower price target suggest a less optimistic outlook for agilent technologies.,135,52,0.0,2019-10-18,87432.0,-0.46716295182704,1.22033478692173,1.09963746283847,3.2184543760302997,-0.46499068848788,-1.09571197425492,-0.34583946736121
3252,ACME UNITED CORP,"Acme United Q3 EPS $0.3 Beats $0.28 Estimate, Sales $36.995M Beat $36.76M Estimate",6,positive,0.8,0.7,"the news indicates that acme united corp beat both eps and sales estimates for q3, showing strong performance.",145,57,2.0,2019-10-18,60038.0,3.1761702150106403,4.87283207476139,1.24387518477284,4.82474147800824,-0.7835877127945401,-2.24441167090463,-2.6311042680136
3260,A D T INC,ADT shares are trading higher after the company announced it will acquire I-View Now to help reduce false alarms and optimize priority response from emergency services.,6,positive,0.9,0.8,the acquisition of i-view now by adt to reduce false alarms and optimize emergency response is seen as a positive move for the company's growth and efficiency.,142,66,2.0,2019-10-18,17223.0,5.278172343969341,-2.1680260077118803,4.33603918765339,7.31707247718891,-1.2676010839641,4.0059417778266,6.37329408670985
3268,ARROWHEAD PHARMACEUTICALS INC,Arrowhead Pharmaceuticals shares are trading higher after the company discussed its developement strategy for its emerging pipiline of RNAi at its R&D conference.,6,positive,0.9,0.8,"the news of arrowhead pharmaceuticals discussing its development strategy for its rnai pipeline at its r&d conference is likely to be viewed positively by investors, indicating potential growth and innovation within the company.",153,72,2.0,2019-10-18,80069.0,-1.77595019340515,1.52990045025944,7.23226289606038,15.38247216262285,6.05621635913848,6.565721907553169,10.97634632021424
3276,AMES NATL CORP,Ames National Q3 EPS $0.44 Down From $0.48 YoY,6,negative,0.8,0.6,the decrease in eps from the previous year indicates a decline in performance for ames natl corp.,135,55,0.0,2019-10-18,90470.0,0.0,1.81818176060915,-0.98181979373838,0.8664259550683799,0.14566975878551,0.3283478686057099,0.29175755245165
3284,ACTIVISION BLIZZARD INC,Group Of Members Of Congress Pen Letter To Blizzard CEO Condemning Co.'s Decision To Ban Professional Hearthstone Player For Voicing Support For Hong Kong Protests,6,negative,0.9,0.8,"the news highlights controversy and backlash towards activision blizzard inc's decision, which reflects negatively on the company.",153,59,0.0,2019-10-18,79678.0,-1.88882760703563,1.77850648760795,1.3201272892295,2.34689912727978,0.0,0.05399348447099,1.05435709558088
3292,ACTIVISION BLIZZARD INC,Activision Blizzard shares are trading lower despite high anticipation of the new Modern Warfare release and strength in its Call of Duty Mobile title. The company confirmed 'Modern Warfare' will have free maps and no loot boxes.,6,positive,0.8,0.7,"the news of free maps and no loot boxes for the new modern warfare release is likely to be seen as positive by investors and gamers, potentially boosting the company's reputation and sales.",162,70,2.0,2019-10-18,79678.0,-1.88882760703563,1.77850648760795,1.3201272892295,2.34689912727978,0.0,0.05399348447099,1.05435709558088
3300,AMERICAN EXPRESS CO,American Express Trades Higher On Q3 Earnings Beat,6,positive,0.9,0.8,"the news states that american express traded higher on q3 earnings beat, indicating a positive performance for the company.",123,56,2.0,2019-10-18,59176.0,-1.96473244577646,1.96128878742456,1.28468647423627,2.0383668607339303,1.4393959194421702,1.28412464223788,2.32837790849294
3308,AMERICAN EXPRESS CO,American Express Sees FY19 Adj. EPS $7.85-$8.35 vs $8.12 Estimate,6,negative,0.8,0.7,"the news indicates that american express' adjusted earnings per share for fy19 are lower than the estimated value, which could be seen as a negative performance.",136,64,0.0,2019-10-18,59176.0,-1.96473244577646,1.96128878742456,1.28468647423627,2.0383668607339303,1.4393959194421702,1.28412464223788,2.32837790849294
3316,AMERICAN EXPRESS CO,"American Express Q3 EPS $2.08 Beats $2.03 Estimate, Sales $11B Beat $10.95B Estimate",6,positive,0.9,0.8,"the news indicates that american express exceeded both earnings per share and sales estimates for q3, showing strong performance.",140,56,2.0,2019-10-18,59176.0,-1.96473244577646,1.96128878742456,1.28468647423627,2.0383668607339303,1.4393959194421702,1.28412464223788,2.32837790849294
3324,ACUITY BRANDS INC,"JMP Securities Maintains Market Outperform on Acuity Brands, Lowers Price Target to $160",6,neutral,0.7,0.2,"the news maintains a positive market outlook on acuity brands but lowers the price target, resulting in a neutral overall impact.",137,58,1.0,2019-10-18,89216.0,-0.2191531239077399,0.75652836821973,1.60253912691399,2.48921964938846,0.05678631132468,-1.15412341579073,1.05702712015414
3332,ALIBABA GROUP HOLDING LTD,"Alibaba shares trading lower with broader US, Chinese stock markets. The company's Pictures unit is expecting to reporting a net loss between RMB370 million and RMB400 million during the second half of 2019.",6,negative,0.8,0.7,the news of alibaba's pictures unit expecting a net loss is a negative indicator for the company's performance.,162,55,0.0,2019-10-18,14888.0,-4.36528176069259,2.59563606232404,3.06272825250424,4.33394518291399,-0.15243282541632,0.8899611166584199,3.32437609911986
3340,ALIBABA GROUP HOLDING LTD,Alibaba Shares Down 2.4% For Session; Hearing Co.'s Pictures Unit Expecting 2H'19 Net Loss RMB370M-RMB400M,6,negative,0.8,0.7,the news of alibaba's shares being down and their pictures unit expecting a net loss indicates a negative trend for the company.,154,58,0.0,2019-10-18,14888.0,-4.36528176069259,2.59563606232404,3.06272825250424,4.33394518291399,-0.15243282541632,0.8899611166584199,3.32437609911986
3348,B C B BANCORP INC,BCB Bancorp Q3 EPS $0.3 Up From $0.27 YoY,6,positive,0.8,0.7,the increase in eps from $0.27 to $0.3 year over year is a positive indicator of growth and financial performance for b c b bancorp inc.,140,70,2.0,2019-10-18,91015.0,-0.30864167492836,0.61919447034597,-0.15480226984886,0.6191945131423601,0.30959723517298,0.46511955165708,-0.23094482088711
3356,BANK OF NEW YORK MELLON CORP,Bank of New York Mellon shares are trading higher after Credit Suisse raised the price target of the stock from $46 to $48.,6,positive,0.8,0.7,the increase in price target by credit suisse indicates a positive outlook for bank of new york mellon shares.,149,55,2.0,2019-10-18,49656.0,2.1631345152854897,0.72782975621521,2.9775052253072603,4.70933637166275,-0.13500801287591,0.04508668791829,1.07037396673146
3364,BANK OF NEW YORK MELLON CORP,"Credit Suisse Maintains Neutral on Bank of New York Mellon, Raises Price Target to $48",6,positive,0.8,0.6,"the news states that credit suisse maintains a neutral rating on bank of new york mellon but raises the price target, indicating a slightly positive outlook.",142,63,2.0,2019-10-18,49656.0,2.1631345152854897,0.72782975621521,2.9775052253072603,4.70933637166275,-0.13500801287591,0.04508668791829,1.07037396673146
3372,BANCO LATINOAMERICANO DE CO EX S,Foreign Trade Bank Q3 EPS $0.52 Misses $0.55 Estimate,6,negative,0.8,0.7,the news of foreign trade bank q3 eps missing estimates suggests a negative performance for banco latinoamericano de co ex s.,146,63,0.0,2019-10-18,77920.0,-0.70635415613651,0.6605648435652199,6.96137675147208,7.69254220324924,-0.2516413806006299,-0.10080875334949,0.7625806399905001
3380,BADGER METER INC,"Baird Maintains Neutral on Badger Meter, Raises Price Target to $52",6,positive,0.8,0.6,"the news indicates that baird has maintained a neutral rating on badger meter but has raised the price target, suggesting a potential increase in value for the company.",132,66,2.0,2019-10-18,53110.0,6.420228630304329,-3.24081256985664,-3.72278187635553,-3.25743564827725,10.12855619192123,5.465398947890749,6.9820296493119605
3388,BURLINGTON STORES INC,"UPDATE: Credit Suisse Maintains Outperform On Burlington Stores, Raises Tgt To $245 On 'Conservative 4Q guidance + emerging SSS/margin drivers (with accelerating tailwinds from stepped up 2019 new store opens) that should support a best-in-class EPS algo'",6,positive,0.9,0.8,"the news indicates that credit suisse maintains an outperform rating on burlington stores, raises target price, and highlights positive factors driving growth in the company's earnings per share.",176,68,2.0,2019-10-18,14182.0,-0.04937353660352,-3.25512290000915,-3.12669877362626,-5.21610148413675,-1.46428998559713,-0.07399793178404,1.06781072317179
3396,BURLINGTON STORES INC,"Credit Suisse Maintains Outperform on Burlington Stores, Raises Price Target to $245",6,positive,0.9,0.8,"the news indicates that credit suisse maintains an outperform rating on burlington stores and raises the price target, suggesting confidence in the company's performance and potential growth.",134,66,2.0,2019-10-18,14182.0,-0.04937353660352,-3.25512290000915,-3.12669877362626,-5.21610148413675,-1.46428998559713,-0.07399793178404,1.06781072317179
3404,CHEESECAKE FACTORY INC,"Morgan Stanley Maintains Equal-Weight on Cheesecake Factory, Lowers Price Target to $43",6,negative,0.8,0.6,"the news indicates that morgan stanley has lowered the price target for cheesecake factory, suggesting a potential decrease in value.",142,58,0.0,2019-10-18,77902.0,0.22100645583122,2.42573991417884,8.88572637692126,8.85977679967171,0.1562436344102,0.39153669436695,1.34386904872552
3412,CHEESECAKE FACTORY INC,"Barclays Maintains Underweight on Cheesecake Factory, Lowers Price Target to $37",6,negative,0.8,0.7,barclays maintaining an underweight rating and lowering the price target suggests a negative outlook for cheesecake factory inc.,141,58,0.0,2019-10-18,77902.0,0.22100645583122,2.42573991417884,8.88572637692126,8.85977679967171,0.1562436344102,0.39153669436695,1.34386904872552
3420,CATERPILLAR INC,Caterpillar shares are trading lower after Morgan Stanley downgraded the stock from Overweight to Equal-Weight and lowered the price target $150 to $145 per share.,6,negative,0.8,0.9,the downgrade and lowered price target by morgan stanley indicate a negative outlook for caterpillar inc.,150,52,0.0,2019-10-18,18542.0,-0.2498679561540399,1.16287115961313,6.90076389475444,10.54242077462686,1.44404703751206,0.79371786281035,2.8742812543343503
3428,CATERPILLAR INC,UPDATE: Morgan Stanley On Caterpillar Also Notes 'We believe that the US Construction Equipment market peaked in 2019 and that E&T markets will fail to re-accelerate in 2020',6,negative,0.8,0.7,the news suggests a negative outlook for caterpillar inc. as the us construction equipment market is expected to decline and e&t markets are not expected to improve in 2020.,156,69,0.0,2019-10-18,18542.0,-0.2498679561540399,1.16287115961313,6.90076389475444,10.54242077462686,1.44404703751206,0.79371786281035,2.8742812543343503
3436,CATERPILLAR INC,"UPDATE: Morgan Stanley Downgrades Caterpillar To Equal-Weight, Lowers Target To $145 As Firm Notes 'We see increasing downside risks to CAT's Construction and Energy & Transportation segments'",6,negative,0.9,0.8,the downgrade and lowered target by morgan stanley indicate increasing downside risks for caterpillar's key segments.,154,53,0.0,2019-10-18,18542.0,-0.2498679561540399,1.16287115961313,6.90076389475444,10.54242077462686,1.44404703751206,0.79371786281035,2.8742812543343503
3444,CATERPILLAR INC,"Morgan Stanley Downgrades Caterpillar to Equal-Weight, Lowers Price Target to $145",6,negative,0.8,0.9,the downgrade and lower price target suggest a negative outlook for caterpillar inc.,136,49,0.0,2019-10-18,18542.0,-0.2498679561540399,1.16287115961313,6.90076389475444,10.54242077462686,1.44404703751206,0.79371786281035,2.8742812543343503
3452,CROWN CASTLE INC,Crown Castle International shares are trading higher after SunTrust Robinson Humphrey maintained a Buy rating on the company's stock and raised the price target from $135 to $150.,6,positive,0.9,0.8,the fact that suntrust robinson humphrey maintained a buy rating and raised the price target indicates a positive outlook for crown castle international shares.,149,61,2.0,2019-10-18,86339.0,3.20962592959404,-0.49284426495432,-2.12411327316399,-4.6091903001783,3.6305584013462,3.661350142947059,2.53433970700871
3460,CROWN CASTLE INC,"SunTrust Robinson Humphrey Maintains Buy on Crown Castle Intl, Raises Price Target to $150",6,positive,0.9,0.8,"the news indicates that suntrust robinson humphrey maintains a buy rating on crown castle intl and raises the price target, suggesting confidence in the company's performance.",134,65,2.0,2019-10-18,86339.0,3.20962592959404,-0.49284426495432,-2.12411327316399,-4.6091903001783,3.6305584013462,3.661350142947059,2.53433970700871
3468,CROWN CASTLE INC,"UBS Maintains Neutral on Crown Castle Intl, Raises Price Target to $137",6,positive,0.8,0.6,"the news states that ubs maintains a neutral rating on crown castle inc but raises the price target, indicating a potential increase in value, which is generally seen as positive.",131,68,2.0,2019-10-18,86339.0,3.20962592959404,-0.49284426495432,-2.12411327316399,-4.6091903001783,3.6305584013462,3.661350142947059,2.53433970700871
