custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
3246,ASTRAZENECA PLC,"Fasenra Approved in the US for Self-administration in a New Pre-filled Auto-injector, the Fasenra Pen",8,positive,0.9,0.8,"the approval of fasenra for self-administration in a new auto-injector indicates a significant advancement for astrazeneca, enhancing patient convenience and potentially increasing sales.",151,63,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3254,BANK OF AMERICA CORP,"Morgan Stanley Maintains Overweight on Bank of America, Lowers Price Target to $31",8,neutral,0.7,0.2,"while maintaining an 'overweight' rating is generally positive, the lowering of the price target suggests a more cautious outlook, resulting in a neutral overall assessment.",143,61,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3262,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (5) near the Ask: 620 @ $0.398 vs 640 OI; Ref=$21.24,8,positive,0.8,0.6,"the purchase of call options suggests that investors are anticipating a rise in big lots' stock price, indicating positive sentiment.",160,53,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3270,BIG LOTS INC,Big Lots Option Alert: Oct 18 $22.5 Calls Sweep (18) near the Ask: 600 @ $0.4 vs 640 OI; Ref=$21.2,8,positive,0.85,0.7,"the significant purchase of call options indicates bullish sentiment among traders, suggesting an expectation of rising stock prices.",160,325,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3278,BANK OF NEW YORK MELLON CORP,"Morgan Stanley Maintains Underweight on Bank of New York Mellon, Lowers Price Target to $40",8,negative,0.9,0.8,"morgan stanley's decision to maintain an underweight rating and lower the price target indicates a lack of confidence in the stock's performance, which is generally viewed as negative news.",151,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3286,BURLINGTON STORES INC,Canada Goose Holdings Get Small Spike As Traders Circulate Unconfirmed Chatter Indicating Burlington Stores Has Approached The Company With An M&A Offer,8,positive,0.7,0.6,"the news suggests that burlington stores inc. is actively pursuing a merger or acquisition, which is generally viewed positively as it indicates growth potential and strategic interest.",153,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3294,FIRST BUSEY CORP,"B. Riley Maintains Neutral on First Busey, Lowers Price Target to $27",8,neutral,0.8,0.1,"the news indicates a maintenance of a neutral rating and a price target reduction, which suggests a lack of strong positive or negative sentiment.",144,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3302,BLACKSTONE INC,Jon Najarian Sees Unusual Options Activity In Blackstone And Luckin Coffee,8,neutral,0.7,0.5,"the mention of unusual options activity does not inherently indicate a positive or negative sentiment about blackstone inc, as it simply reports on market behavior without providing context on the implications.",135,64,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3310,C F INDUSTRIES HOLDINGS INC,"Stifel Nicolaus Maintains Hold on CF Industries Holdings, Lowers Price Target to $46",8,negative,0.8,0.7,"the maintenance of a 'hold' rating and the lowering of the price target typically indicate a lack of confidence in the stock's performance, suggesting potential challenges ahead.",146,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3318,CHEGG INC,"BMO Capital Maintains Outperform on Chegg, Lowers Price Target to $35",8,neutral,0.7,0.2,"while maintaining an 'outperform' rating is generally positive, lowering the price target suggests a more cautious outlook on chegg's future performance.",137,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3326,COHERUS BIOSCIENCES INC,Coherus Biosciences shares are trading higher. Not seeing any news to justify price action.,8,neutral,0.8,0.1,"the news indicates that coherus biosciences shares are trading higher without any specific news to justify the price action, suggesting a lack of clear positive or negative sentiment.",146,64,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3334,CHARTER COMMUNICATIONS INC NEW,Charter Communications shares are trading higher after KeyBanc upgraded the stock from Sector Weight to Overweight and announced a price target of $515 per share.,8,positive,0.9,0.8,"the upgrade from sector weight to overweight and the increased price target indicate a favorable outlook for charter communications, suggesting potential for stock price appreciation.",159,63,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3342,CHARTER COMMUNICATIONS INC NEW,"KeyBanc Upgrades Charter Communications On Price Hike, Broadband Potential",8,positive,0.85,0.7,"the upgrade from keybanc suggests a favorable outlook for charter communications due to anticipated price hikes and broadband potential, indicating positive sentiment.",143,56,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3350,CHARTER COMMUNICATIONS INC NEW,"Citigroup Maintains Buy on Charter Communications, Raises Price Target to $483",8,positive,0.9,0.8,"the maintenance of a 'buy' rating and an increase in the price target indicates a favorable outlook for charter communications, suggesting potential for growth.",144,58,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3358,CHARTER COMMUNICATIONS INC NEW,"KeyBanc Upgrades Charter Communications to Overweight, Announces $515 Price Target",8,positive,0.9,0.8,"the upgrade to 'overweight' and the announcement of a $515 price target indicate a favorable outlook for charter communications, suggesting expected growth.",145,58,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3366,COMERICA INC,"B. Riley Maintains Neutral on Comerica, Lowers Price Target to $65",8,neutral,0.8,0.2,"the news indicates a maintenance of a neutral rating with a lowered price target, suggesting a lack of strong positive or negative sentiment.",136,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3374,COMCAST CORP NEW,"Citigroup Maintains Buy on Comcast, Raises Price Target to $56",8,positive,0.9,0.8,"the maintenance of a 'buy' rating and an increase in the price target indicates strong confidence in comcast's future performance, which is generally viewed positively by investors.",137,67,2,,,,,,,,,,,,,,,,,,,,,,,,,,
