custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,ATLANTIC AMERICAN CORP,"Atlantic American Q4 EPS $0.01 Down From $0.12 YoY, Sales $49.2M Up From $48.825M YoY",1,decrease,0.6,0.9,,142,1109,0.0
1,ADVANCE AUTO PARTS INC,"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $182",1,uncertain,0.6,0.2,,124,1045,1.0
2,ALLIANCEBERNSTEIN HOLDING L P,"AllianceBernstein Holding Q1 EPS $0.49 Misses $0.53 Estimate, Sales $795.462M Beat $677.88M Estimate",1,uncertain,0.6,0.4,,149,1109,1.0
3,ABBVIE INC,European Commission Approves Abbvie's SKYRIZI For Treatment Of Moderate To Severe Plaque Psoriasis,1,increase,0.8,0.6,,124,788,2.0
4,ABBVIE INC,"AbbVie Highlights Will Present New, Updated Data of Investigational Medicines for Parkinson's Disease and Multiple Sclerosis at 2019 American Academy of Neurology Annual Meeting",1,uncertain,0.6,0.3,,135,789,1.0
5,ABBVIE INC,"BMO Capital Upgrades AbbVie Inc. Common Stock to Market Perform, Raises Price Target to $79",1,increase,0.7,0.3,,124,1108,2.0
6,ABBVIE INC,Abbvie Says It Is Industry's Responsibility To Cover Some Drug Costs And Share Them With The Government To Make Them Affordable For Patients,1,decrease,0.7,0.6,,128,1429,0.0
7,ABBVIE INC,AbbVie  Raises FY19 Adj. EPS Guidance From $8.65-$8.75 To $8.73-$8.83 vs $8.69 Est.,1,increase,0.7,0.2,,137,1172,2.0
8,ABBVIE INC,"AbbVie Q1 Adj. EPS $2.14 Beats $2.05 Estimate, Sales $7.83B Beat $7.76B Estimate",1,increase,0.9,0.8,,134,1108,2.0
9,ABBVIE INC,Watching AbbVie Shares As Health Canada Approved Skyrizi For Treatment Of Moderate to Severe Plaque Psoriasis,1,,,,,124,1234,
10,ABBVIE INC,AbbVie's MAVIRET Now reimbursed In Quebec,1,increase,0.7,0.4,,114,1044,2.0
11,ABBVIE INC,AbbVie Reports New Formulary Listings For Hep C Treatment MAVIRET,1,increase,0.7,0.6,,118,788,2.0
12,ABBVIE INC,AbbVie shares are trading higher after development partner Alector announced it is initiating a phase 1 trial to treat Alzheimer's Disease.,1,increase,0.7,0.5,,127,980,2.0
13,ABBVIE INC,Alector Initiates Phase 1 Trial Of AL003 For Treatment Of Patients With Alzheimer's Disease,1,uncertain,0.5,0.0,,121,1302,1.0
14,AMERISOURCEBERGEN CORP,UPDATE: Bank Of America Downgrades AmerisourceBergen To Underperform As Firm Notes 'recent challenges seen across the broader pharma supply chain companies have created ongoing questions about the future profit growth for the sector',1,decrease,0.6,0.5,,153,853,0.0
15,AMERISOURCEBERGEN CORP,Amerisource Bergen shares are trading lower after Evercore ISI Group and Bank of America downgraded the company's stock; Bank of America also lowered its price target from $95 to $76.,1,decrease,0.7,0.6,,150,853,0.0
16,AMERISOURCEBERGEN CORP,"Bank of America Downgrades AmerisourceBergen to Underperform, Lowers Price Target to $76",1,decrease,0.7,0.5,,133,725,0.0
17,AMERISOURCEBERGEN CORP,Evercore ISI Group Downgrades AmerisourceBergen to In-Line,1,decrease,0.6,0.3,,127,1237,0.0
18,AMERISOURCEBERGEN CORP,AmerisourceBergen shares are trading lower in sympathy with Walgreens which reported worse-than-expected Q2 financial results.,1,decrease,0.9,0.6,,134,1301,0.0
19,ASBURY AUTOMOTIVE GROUP INC,Craig-Hallum Upgrades Asbury Automotive Group Inc Common Stock to Buy,1,increase,0.7,0.6,,126,724,2.0
20,ASBURY AUTOMOTIVE GROUP INC,Asbury Automotive shares are trading higher after the company reported better-than-expected Q1 EPS and sales.,1,increase,0.9,0.8,,131,916,2.0
21,ASBURY AUTOMOTIVE GROUP INC,"Asbury Automotive Group Q1 EPS $2.2 Beats $1.92 Estimate, Sales $1.671B Beat $1.66B Estimate",1,increase,0.8,0.8,,142,788,2.0
22,A B M INDUSTRIES INC,ABM Industries Incorporated Provides Notice of Data Privacy Incident,1,decrease,0.7,0.4,,117,917,0.0
23,A B M INDUSTRIES INC,KeyBanc Initiates Coverage On ABM Industries with Sector Weight Rating,1,uncertain,0.6,0.2,,121,1493,1.0
24,ACADIA PHARMACEUTICALS,ACADIA Pharma Reports Initiation Of Phase 3 CLARITY Program With Pimavanserin As Adjunctive Treatment for Major Depressive Disorder,1,increase,0.6,0.5,,143,1428,2.0
25,ACADIA PHARMACEUTICALS,'A safety watchdog argues the FDA should reconsider approval of a Parkinson's psychosis drug' -STAT News,1,decrease,0.6,0.5,,133,1429,0.0
26,ACADIA PHARMACEUTICALS,"ACADIA Pharmaceuticals To Present At The 18th Annual Needham Healthcare Conference On April 9, 2019",1,uncertain,0.6,0.0,,137,1109,1.0
27,ACADIA PHARMACEUTICALS,ACADIA Pharma Promotes Elena Ridloff CFO,1,,,,,124,915,
28,ARCH CAPITAL GROUP LTD NEW,Arch Capital Group Q1 Adj. EPS $0.67 Beats $0.62 Estimate,1,increase,0.8,0.5,,123,852,2.0
29,ACADIA HEALTHCARE CO INC,"Acadia Healthcare Q1 EPS $0.39 Beats $0.35 Estimate, Sales $760.617M Beat $759.9M Estimate",1,increase,0.8,0.2,,139,1046,2.0
30,ACCENTURE PLC IRELAND,Accenture to Acquire Zielpuls; Terms Not Disclosed,1,uncertain,0.7,0.4,,121,1110,1.0
31,ACCENTURE PLC IRELAND,"Accenture Wins Blanket Purchase Order Deal By US Dept. Of Energy For IT Services, Potential Value $2B",1,increase,0.8,0.6,,131,1108,2.0
32,ACCENTURE PLC IRELAND,"Accenture Reports Intent To Purchase Cirruseo, No Terms Disclosed",1,uncertain,0.6,0.2,,124,1557,1.0
33,A C N B CORP,ACNB Corporation Q1 EPS $0.83 vs $0.70 YoY,1,increase,0.8,0.2,,124,1108,2.0
34,A C N B CORP,ACNB Corp. Raises Qtr. Dividend From $0.23 To $0.25/Share,1,increase,0.7,0.1,,128,1620,2.0
35,ACELRX PHARMACEUTICALS INC,"B. Riley FBR Initiates Coverage On AcelRx Pharmaceuticals, Inc. - Common Stock with Buy Rating",1,increase,0.8,0.5,,137,788,2.0
36,ACELRX PHARMACEUTICALS INC,"Acelrx Pharmaceutical's Pooled Safety Results For Sufentanil Sublingual Tablets Selected For Presentation At 44Th Annual Regional Anesthesiology & Acute Pain Medicine Meeting Redwood City, Calif., April 11, 2019",1,uncertain,0.5,0.2,,163,789,1.0
37,ACASTI PHARMA INC,Acasti Pharma Announces TRILOGY 1 Trial Has Achieved 100% Patient Randomization In Patients With Severe Hypertriglyceridemia,1,increase,0.7,0.4,,140,788,2.0
38,ACME UNITED CORP,"Acme United Q1 EPS $0.24 Beats $0.2 Estimate, Sales $31.37M Miss $32.66M Estimate",1,uncertain,0.6,0.2,,135,1365,1.0
39,ADOBE INC,"Morgan Stanley Turns Bullish On Adobe, Highlights 'Durable' 20% EPS Growth",1,increase,0.9,0.8,,121,980,2.0
