custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3
4259,AGILENT TECHNOLOGIES INC,Agilent Technologies Option Alert: Mar 15 $75 Calls at the Ask: 1000 @ $2.3 vs 33 OI; Earnings 2/20 After Close Ref=$73.74,8,increase,0.8,0.7,the purchase of a significant number of call options at the ask price ahead of the earnings report suggests bullish sentiment and expectations of a positive stock price movement.,174,372,2.0,2019-01-29,87432.0,0.3957976587116718,2.5557436048984528,3.738444972444954,4.771618097647634,-0.5159604363143444,1.5101085369605416,2.2609840782465307
4267,AGILENT TECHNOLOGIES INC,"Needham Initiates Coverage On Agilent Technologies with Buy Rating, Announces $77 Price Target",8,increase,0.8,0.7,the initiation of coverage with a buy rating and a specific price target of $77 by needham is likely to increase investor sentiment as it suggests confidence in the company's future performance.,150,65,2.0,2019-01-03,87432.0,-3.683973103761673,3.4613538533449173,10.4789014039671,11.932984178286343,-2.6237720623612404,-0.4093338958376269,-0.9426476664021743
4275,ADVANCE AUTO PARTS INC,Bank of America Earlier Upgraded Advance Auto Parts to Buy,8,increase,0.8,0.7,"an upgrade to 'buy' from a major financial institution like bank of america typically signals positive sentiment and confidence in the company's future performance, likely increasing investor sentiment.",141,71,2.0,2019-01-09,89217.0,2.755898237228394,0.38923230022192,-1.210235538000859,-4.938268837958271,-0.6950447801500559,0.7619209874224708,-1.7377965917728444
4283,ADVANCE AUTO PARTS INC,"Barclays Upgrades Advance Auto Parts to Overweight, Raises Price Target to $205",8,increase,0.8,0.7,an upgrade from barclays to 'overweight' and a raised price target to $205 is likely to increase investor sentiment as it signals confidence in the company's future performance.,148,63,2.0,2019-01-07,89217.0,1.46716320887208,-0.6950447801500559,-1.5017984271076368,1.8555328022249684,-2.4808157235383987,0.5635761109621162,0.8573547345204657
4291,ABBVIE INC,Abbvie shares are continuing lower following a large sell off Friday due to worse than expected Q4 EPS and revenue results.,8,decrease,0.9,0.8,"the news indicates that abbvie shares are continuing to decline following a large sell-off due to worse-than-expected q4 eps and revenue results, which is likely to decrease investor sentiment.",149,68,0.0,2019-01-28,13721.0,-4.221506789326668,0.4277959931641817,1.8019177974264664,3.4093819858510344,-6.217974424362183,-8.942901252884505,-9.158585912269867
4299,ABBVIE INC,AbbVie Announces FDA Approval of IMBRUVICA Plus Obinutuzumab for Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma in Previously Untreated Patien,8,increase,0.9,0.7,fda approval of a new drug combination for a significant market is likely to boost investor confidence and positively impact abbvie's stock price.,164,322,2.0,2019-01-28,13721.0,-4.221506789326668,0.4277959931641817,1.8019177974264664,3.4093819858510344,-6.217974424362183,-8.942901252884505,-9.158585912269867
4307,ABBVIE INC,From AbbVie Q4 Earnings Conference Call: CEO Richard Gonzalez Says Rumors Of His Retirement Are False,8,increase,0.8,0.6,"the ceo's denial of retirement rumors provides clarity and stability, which is likely to reassure investors and increase sentiment.",146,318,2.0,2019-01-25,13721.0,-6.2179744243621835,-4.221506789326668,-0.0496659760699902,-1.0802121032702503,-2.905596047639847,-3.135581120004705,-4.044695728349302
4315,ABBVIE INC,"From AbbVie Q4 Earnings Conference Call: Sees Q1 EPS $2.05-$2.07 vs $2.03 Estimate, Sales $7.7B vs $8B Est.",8,decrease,0.8,0.6,"the news indicates that abbvie's q1 eps and sales estimates are below market expectations, which is likely to decrease investor sentiment.",166,57,0.0,2019-01-25,13721.0,-6.2179744243621835,-4.221506789326668,-0.0496659760699902,-1.0802121032702503,-2.905596047639847,-3.135581120004705,-4.044695728349302
4323,ABBVIE INC,AbbVie shares are trading lower after the company missed Q4 EPS and sales estimates.,8,decrease,0.9,0.7,the news that abbvie missed q4 eps and sales estimates is likely to decrease investor sentiment as it indicates the company did not meet financial expectations.,142,69,0.0,2019-01-25,13721.0,-6.2179744243621835,-4.221506789326668,-0.0496659760699902,-1.0802121032702503,-2.905596047639847,-3.135581120004705,-4.044695728349302
4331,ABBVIE INC,"From AbbVie Conference Call; Co. Says Humira Will Continue To Generate 'Strong Revenue', Driving Roughly $1B Of Growth In 2019",8,increase,0.9,0.8,the news that humira will continue to generate strong revenue and drive roughly $1 billion of growth in 2019 is likely to increase investor sentiment.,157,269,2.0,2019-01-25,13721.0,-6.2179744243621835,-4.221506789326668,-0.0496659760699902,-1.0802121032702503,-2.905596047639847,-3.135581120004705,-4.044695728349302
4339,ABBVIE INC,AbbVie Inc. Sees FY19 Adj. EPS $8.65-$8.75 vs $8.71 Est.,8,decrease,0.6,0.2,"the guidance range is very close to the estimate, but the midpoint is slightly below, leading to a mild negative sentiment.",151,343,0.0,2019-01-25,13721.0,-6.2179744243621835,-4.221506789326668,-0.0496659760699902,-1.0802121032702503,-2.905596047639847,-3.135581120004705,-4.044695728349302
4347,ABBVIE INC,"UBS Assumes AbbVie at Neutral, Lowers Price Target To $91",8,decrease,0.8,0.6,"ubs assuming a neutral rating and lowering the price target to $91 suggests a less optimistic outlook on abbvie's stock, which is likely to decrease investor sentiment.",142,64,0.0,2019-01-23,13721.0,-0.2368674846366047,-2.905596047639847,-10.616166886430412,-10.593550474445111,-0.9385433979332448,1.6743196317302145,3.635301576030603
4355,ABBVIE INC,AbbVie Announces Phase 3 Study of Ibrutinib In Metastatic Pancreatic Cancer Did Not Meet Primary Endpoint Of Improving Progression-Free Survival,8,decrease,0.8,0.6,the failure of a phase 3 study to meet its primary endpoint in improving progression-free survival for a drug in metastatic pancreatic cancer is likely to decrease investor sentiment as it suggests a setback in the drug's development and potential marketability.,157,77,0.0,2019-01-18,13721.0,2.637618221342564,-0.9385433979332448,-13.810056490148758,-12.25698455845291,1.928689517080784,1.9883005740562565,2.878710192618983
4363,ABBVIE INC,"AbbVie Exec Speaking At JP Morgan Healthcare Conference Says Sees Non-Humira Sales Growing To $35B+ In 2025, Sees Mavyret Remaining A Strong Source Of Cash Flow Over Long-Term",8,increase,0.8,0.7,"the news indicates strong future growth prospects for abbvie's non-humira sales and sustained cash flow from mavyret, which is likely to positively influence investor sentiment.",169,64,2.0,2019-01-09,13721.0,-3.282303363084793,0.4441400989890098,-1.3438351417966898,-0.9632861262276692,0.4647539462894201,1.9310667912006307,5.214972722641331
4371,ABBVIE INC,AbbVie Reports Strategic Collaboration With Tizona Therapeutics To Develop First-In-Class Immunotherapy For Cancer Targeting CD39,8,increase,0.8,0.7,the strategic collaboration to develop a first-in-class immunotherapy for cancer is likely to increase investor sentiment due to the potential for significant future benefits and positioning abbvie as a leader in a new treatment segment.,149,340,2.0,2019-01-03,13721.0,-3.2948587089776993,3.2216928899288177,2.2134617530445766,2.330279748920172,-3.210759162902832,-2.0741870169489696,-0.7563120477098173
4379,ABBVIE INC,Bank of America Downgrades AbbVie to Neutral,8,decrease,0.8,0.7,"a downgrade from a major financial institution like bank of america typically signals a negative outlook, which can decrease investor sentiment.",136,54,0.0,2019-01-03,13721.0,-3.2948587089776993,3.2216928899288177,2.2134617530445766,2.330279748920172,-3.210759162902832,-2.0741870169489696,-0.7563120477098173
4387,AMERISOURCEBERGEN CORP,AmerisourceBergen shares are trading higher after the company beat Q1 EPS and sales estimates.,8,increase,0.9,0.8,the news that amerisourcebergen beat q1 eps and sales estimates is likely to increase investor sentiment as it indicates strong financial performance.,153,67,2.0,2019-01-31,81540.0,6.163254752755165,0.4677934106439352,2.91471775736043,3.694367392993736,-1.2698040343821049,-1.984528100238536,-1.4185348058734726
4395,AMERISOURCEBERGEN CORP,AmerisourceBergen Narrows FY19 Adj. EPS Guidance From $6.65-$6.95 To $6.65-$6.85 vs $6.78 Estimate,8,decrease,0.7,0.5,"the narrowing of the fy19 adjusted eps guidance to a lower range than previously expected suggests a potential underperformance relative to initial expectations, which could negatively impact investor sentiment.",171,64,0.0,2019-01-31,81540.0,6.163254752755165,0.4677934106439352,2.91471775736043,3.694367392993736,-1.2698040343821049,-1.984528100238536,-1.4185348058734726
4403,AMERISOURCEBERGEN CORP,"AmerisourceBergen Q1 EPS $1.60 Beats $1.50 Estimate, Sales $45.4B Beat $43.82B Estimate",8,increase,0.9,0.8,"amerisourcebergen's q1 eps and sales both beat estimates, which is likely to positively influence investor sentiment.",166,63,2.0,2019-01-31,81540.0,6.163254752755165,0.4677934106439352,2.91471775736043,3.694367392993736,-1.2698040343821049,-1.984528100238536,-1.4185348058734726
