custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
4383,ATLANTIC AMERICAN CORP,"Atlantic American Q4 EPS $0.01 Down From $0.12 YoY, Sales $49.2M Up From $48.825M YoY",7,decrease,0.62,0.6,"eps fell dramatically year over year from 0.12 to 0.01 while revenue rose only modestly, indicating weaker profitability which could weigh on the stock despite small revenue growth.",162,1294,0.0,2019-04-01,15580.0,-0.8802143856883,-3.55912503697597,-10.8434902998568,1.19047509506344,-1.54440003768465,-0.39062457595334,2.4706,2.4086,0.0381,1.19,-0.3,0.99,0.01,2.4152610000000005,-0.8883,-0.0244,2.2951,-2.1072,-2.9039,-5.9321,5.4908,-2.8326,-3.8642,-0.3691
4391,ADVANCE AUTO PARTS INC,"Citigroup Maintains Neutral on Advance Auto Parts, Lowers Price Target to $182",7,uncertain,0.65,0.0,"citigroup's neutral rating with a lowered price target signals a mixed view on valuation, which could lead to an upward or downward move depending on market interpretation and further news.",144,1295,1.0,2019-04-01,89217.0,-0.1670267432927999,2.2807067847826,4.4923040826532405,1.05481408536434,2.18107698779379,1.34307624318659,1.8179,0.9424,0.7253,1.19,-0.3,0.99,0.01,0.9447930000000002,-0.1408,-1.1475,1.2041,1.231,0.3934,-0.672,1.4635,1.1981,-0.9118,0.7828
4399,ALLIANCEBERNSTEIN HOLDING L P,"AllianceBernstein Holding Q1 EPS $0.49 Misses $0.53 Estimate, Sales $795.462M Beat $677.88M Estimate",7,uncertain,0.62,0.0,"the eps miss versus a strong revenue beat creates mixed signals, and without guidance or outlook, the near-term stock reaction is uncertain.",169,967,1.0,2019-04-25,75278.0,0.24079703725874,1.47918920573171,1.39198612258562,-0.33211684785783,0.90786975519894,0.16689304408548,-3.1323,-3.0207,0.8789,-0.14,-0.75,-0.19,0.01,-3.0192539999999997,-0.235,0.0034,1.1215,0.8229,-0.0031,0.0093,0.2334,-1.658,1.7389,0.8997
4407,ABBVIE INC,European Commission Approves Abbvie's SKYRIZI For Treatment Of Moderate To Severe Plaque Psoriasis,7,increase,0.6,0.25,"eu commission approval expands skyrizi's eu market and potential sales, a positive development for abbvie, though the stock reaction may be muted if the news was anticipated or the incremental revenue is modest.",144,980,2.0,2019-04-30,13721.0,-0.62980223447084,-1.8138334424697904,-1.1966203017064,0.75283078476786,1.20999088738993,2.07195234991455,-1.1333,-1.1069,0.9085,-0.04,-0.7,0.28,0.01,-1.10696,0.1153,-0.3969,-0.7182,1.0379,-0.1563,0.2397,0.14,-0.9138,1.6265,1.2238
4415,ABBVIE INC,"AbbVie Highlights Will Present New, Updated Data of Investigational Medicines for Parkinson's Disease and Multiple Sclerosis at 2019 American Academy of Neurology Annual Meeting",7,uncertain,0.52,0.0,"stock price impact depends on the actual data from the presentations; without results, the news could be positive, neutral, or negative, making the direction uncertain.",155,972,1.0,2019-04-30,13721.0,-0.62980223447084,-1.8138334424697904,-1.1966203017064,0.75283078476786,1.20999088738993,2.07195234991455,-1.1333,-1.1069,0.9085,-0.04,-0.7,0.28,0.01,-1.10696,0.1153,-0.3969,-0.7182,1.0379,-0.1563,0.2397,0.14,-0.9138,1.6265,1.2238
4423,ABBVIE INC,"BMO Capital Upgrades AbbVie Inc. Common Stock to Market Perform, Raises Price Target to $79",7,uncertain,0.45,0.15,"the upgrade to market perform is neutral and the price target raise is modest, creating mixed signals about near-term stock movement.",144,1541,1.0,2019-04-29,13721.0,-1.13325482234358,-1.29514428211804,-4.27148208511909,0.45374417677521,1.30926501505914,1.3221373279404198,0.7528,0.5758,0.908,0.18,0.08,0.65,0.01,0.57936,-1.1069,0.1153,-0.3969,-0.7182,1.0379,-0.1563,0.2397,0.14,-0.9138,1.6265
4431,ABBVIE INC,Abbvie Says It Is Industry's Responsibility To Cover Some Drug Costs And Share Them With The Government To Make Them Affordable For Patients,7,uncertain,0.58,0.2,"the proposal signals potential price and cost-sharing pressure on abbvie, which could be negative for profits if enacted, but without specifics or policy certainty, the stock's direction remains uncertain.",148,1292,1.0,2019-04-25,13721.0,0.45374417677521,-1.09654036343481,-1.8023602782995,0.01270595821551,0.66538276300178,1.4180720222729502,0.8517,0.9722,0.9281,-0.14,-0.75,-0.19,0.01,0.971634,-0.0481,0.5758,-1.1069,0.1153,-0.3969,-0.7182,1.0379,-0.1563,0.2397,0.14
4439,ABBVIE INC,AbbVie  Raises FY19 Adj. EPS Guidance From $8.65-$8.75 To $8.73-$8.83 vs $8.69 Est.,7,increase,0.78,0.5,"abbvie raised its full-year adjusted eps guidance above consensus estimates, signaling improved profitability expectations and likely positive sentiment for the stock.",157,709,2.0,2019-04-25,13721.0,0.45374417677521,-1.09654036343481,-1.8023602782995,0.01270595821551,0.66538276300178,1.4180720222729502,0.8517,0.9722,0.9281,-0.14,-0.75,-0.19,0.01,0.971634,-0.0481,0.5758,-1.1069,0.1153,-0.3969,-0.7182,1.0379,-0.1563,0.2397,0.14
4447,ABBVIE INC,"AbbVie Q1 Adj. EPS $2.14 Beats $2.05 Estimate, Sales $7.83B Beat $7.76B Estimate",7,increase,0.78,0.65,"abbvie's q1 results beat estimates on both adjusted eps and revenue, signaling a positive near-term market reaction, though actual stock movement will depend on broader market conditions and guidance.",154,976,2.0,2019-04-25,13721.0,0.45374417677521,-1.09654036343481,-1.8023602782995,0.01270595821551,0.66538276300178,1.4180720222729502,0.8517,0.9722,0.9281,-0.14,-0.75,-0.19,0.01,0.971634,-0.0481,0.5758,-1.1069,0.1153,-0.3969,-0.7182,1.0379,-0.1563,0.2397,0.14
4455,ABBVIE INC,Watching AbbVie Shares As Health Canada Approved Skyrizi For Treatment Of Moderate to Severe Plaque Psoriasis,7,increase,0.66,0.25,"health canada's approval expands skyrizi's market in canada and could support abbvie's sales and sentiment, though the stock impact may be modest if the approval was already anticipated.",144,847,2.0,2019-04-18,13721.0,0.74771409854292,2.74590335820805,1.4696395426768398,-2.78019662946462,-3.76403240454743,-3.46619888494684,-0.5258,-0.6385,0.9337,0.11,-0.25,-0.51,0.01,-0.638507,0.635,-0.2615,0.2172,0.9722,-0.0481,0.5758,-1.1069,0.1153,-0.3969,-0.7182
