custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num
0,AGILENT TECHNOLOGIES INC,"UBS Downgrades Agilent Technologies to Neutral, Announces $82 Price Target",1,decrease,0.8,0.4,,125,405,0.0
1,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics Files for Up to $250M Mixed Shelf,1,decrease,0.65,0.3,,127,529,0.0
2,APPLIED OPTOELECTRONICS INC,"JP Morgan Downgrades Applied Optoelectronics to Underweight, Announces $11 Price Target",1,decrease,0.8,0.6,,132,277,0.0
3,AAON INC,"AAON Q3 EPS $0.26 Down From $0.27 YoY, Sales $113.5M Up From $112.937M YoY",1,decrease,0.6,0.2,,134,405,0.0
4,AAON INC,"AAON Earlier Reported Q3 EPS $0.26 Down From $0.27 YoY, Sales $113.5M Up From $112.937M YoY",1,decrease,0.7,0.2,,137,533,0.0
5,ADVANCE AUTO PARTS INC,Raymond James Reinstates Market Perform on Advance Auto Parts,1,uncertain,0.7,0.2,,119,469,1.0
6,ALLIANCEBERNSTEIN HOLDING L P,"AllianceBernstein Holding Q3 Adj. EPS $0.63, Inline, Sales $877.867M Beat $731.85M Estimate",1,increase,0.8,0.6,,146,404,2.0
7,ALLIANCEBERNSTEIN HOLDING L P,"Citigroup Maintains Buy on AllianceBernstein Holding, Lowers Price Target to $33",1,uncertain,0.7,0.5,,135,469,1.0
8,ABBVIE INC,Abbvie's RINVOQ Meets Primary And All Ranked Secondary Endpoints In Phase 3 Study In Psoriatic Arthritis,1,increase,0.8,0.6,,128,340,2.0
9,ABBVIE INC,Allergan Reports Shareholders Have Approved Deal By AbbVie,1,increase,0.8,0.3,,115,276,2.0
10,ABBVIE INC,AbbVie shares trading lower with the broader stock market following concerning ISM manufacturing data. Not seeing any company-specific news to justify the move lower.,1,decrease,0.8,0.4,,131,341,0.0
11,AMERISOURCEBERGEN CORP,AmerisourceBergen shares are trading lower in sympathy with McKesson after the company reported a drop in Q2 operating margins.,1,decrease,0.8,0.6,,137,341,0.0
12,AMBEV SA,Ambev SA shares are trading lower after the company reported worse-than-expected Q3 earnings results.,1,decrease,0.9,0.6,,122,341,0.0
13,AMBEV SA,"Ambev shares are trading higher, potentially on continued strength in the overall Brazilian market on pension reform outlook.",1,increase,0.7,0.4,,123,404,2.0
14,AMBEV SA,Ambev SA shares are trading lower on seemingly no company-specific news. The stock has traded roughly 33% of the average 100 day volume.,1,,,,,132,339,
15,AMBEV SA,Ambev shares are trading higher. Not seeing any news to justify the price action.,1,,,,,119,402,
16,ASBURY AUTOMOTIVE GROUP INC,"JP Morgan Maintains Neutral on Asbury Automotive Group, Lowers Price Target to $99",1,decrease,0.7,0.3,,129,405,0.0
17,ASBURY AUTOMOTIVE GROUP INC,"Asbury Automotive Group Q3 EPS $2.33 Beats $2.32 Estimate, Sales $1.84B Inline",1,increase,0.6,0.2,,136,212,2.0
18,ACADIA PHARMACEUTICALS,ACADIA Pharma Reports Initiation Of Phase 3 Study Of Trofinetide in Rett Syndrome,1,increase,0.8,0.6,,133,468,2.0
19,ACADIA PHARMACEUTICALS,"Oppenheimer Initiates Coverage On ACADIA Pharmaceuticals with Perform Rating, Announces $44 Price Target",1,increase,0.6,0.2,,133,532,2.0
20,ACADIA PHARMACEUTICALS,ACADIA Pharmaceuticals Highlights Presentation Of Additional Positive Data From The Phase 2 CLARITY Study With Pimavanserin In Adjunctive Major Depressive Disorder At 2019 Psych Congress,1,increase,0.7,0.3,,151,340,2.0
21,ACADIA PHARMACEUTICALS,ACADIA Pharmaceuticals Announces Late-Breaking Oral Presentation Of The Phase 3 HARMONY Study Of Pimavanserin In Dementia-Related Psychosis At The Clinical Trials on Alzheimer's Disease (CTAD) 2019 Meeting Dec 4th,1,increase,0.6,0.4,,164,340,2.0
22,ACADIA PHARMACEUTICALS,ACADIA Pharmaceuticals shares are trading higher after RBC Capital initiated coverage on the company's stock with an Outperform rating and a $60 price target.,1,increase,0.8,0.6,,141,340,2.0
23,ACADIA PHARMACEUTICALS,"RBC Capital Initiates Coverage On ACADIA Pharmaceuticals with Outperform Rating, Announces $60 Price Target",1,increase,0.7,0.3,,134,340,2.0
24,A C C O BRANDS CORP,ACCO Brands shares are trading lower after the company reported worse-than-expected Q3 EPS and sales results.,1,decrease,0.8,0.6,,132,405,0.0
25,A C C O BRANDS CORP,ACCO Brands Reaffirms FY19 Adj. EPS Guidance Of $1.15-$1.20 vs $1.19 Est.,1,increase,0.6,0.1,,138,468,2.0
26,A C C O BRANDS CORP,"ACCO Brands Q3 Adj. EPS $0.32 Misses $0.33 Estimate, Sales $505.7M Miss $512.91M Estimate",1,decrease,0.6,0.2,,144,469,0.0
27,A C C O BRANDS CORP,ACCO Brands Raises Quarterly Dividend From $0.060 To $0.065/Share,1,increase,0.7,0.2,,129,468,2.0
28,ARCH CAPITAL GROUP LTD NEW,Arch Capital shares are trading higher after MKM Partners maintained a Buy rating on the stock and raised the price target from $45 to $50 following better-than-expected Q3 EPS and sales results.,1,increase,0.8,0.4,,144,404,2.0
29,ARCH CAPITAL GROUP LTD NEW,"MKM Partners Maintains Buy on Arch Capital Group, Raises Price Target to $50",1,increase,0.8,0.3,,122,468,2.0
30,ARCH CAPITAL GROUP LTD NEW,"Arch Capital Group Q3 EPS $0.63 Beats $0.62 Estimate, Sales $1.438B Beat $1.28B Estimate",1,increase,0.8,0.3,,135,532,2.0
31,ARCH CAPITAL GROUP LTD NEW,Arch Capital Group Sees Q3 Catastrophe Losses $65M-$75M,1,decrease,0.7,0.2,,123,341,0.0
