question,month,model,file,return_type,response rows,prompt rows,empty headlines,duplicate headlines,rows in model sample,rows in all sample,model sample rows in batch,all sample rows in batch
1,jan,gpt-3.5-turbo,base_blanks,realized,4294,4294.0,0,44,4290,4290,4246,4246
1,feb,gpt-3.5-turbo,base_blanks,realized,4563,4563.0,0,0,4558,4551,4558,4551
1,mar,gpt-3.5-turbo,base_blanks,realized,3519,3519.0,0,0,3499,3489,3499,3489
1,apr,gpt-3.5-turbo,base_blanks,realized,4362,4362.0,0,25,4359,4269,4334,4244
1,may,gpt-3.5-turbo,base_blanks,realized,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,base_blanks,realized,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,base_blanks,realized,5216,5216.0,0,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,base_blanks,realized,4698,4698.0,0,27,4692,4687,4665,4660
1,sep,gpt-3.5-turbo,base_blanks,realized,4130,4130.0,0,20,4127,4126,4107,4106
1,oct,gpt-3.5-turbo,base_blanks,realized,6478,6478.0,0,41,6461,6460,6420,6419
1,nov,gpt-3.5-turbo,base_blanks,realized,5264,5264.0,0,0,5253,5232,5253,5232
1,dec,gpt-3.5-turbo,base_blanks,realized,3834,3834.0,0,0,3720,3713,3720,3713
1,jan,gpt-3.5-turbo,base_json,realized,4294,4294.0,0,44,4290,4290,4246,4246
1,feb,gpt-3.5-turbo,base_json,realized,4563,4563.0,0,0,4558,4551,4558,4551
1,mar,gpt-3.5-turbo,base_json,realized,3519,3519.0,1,0,3499,3489,3499,3489
1,apr,gpt-3.5-turbo,base_json,realized,4362,4362.0,0,25,4359,4269,4334,4244
1,may,gpt-3.5-turbo,base_json,realized,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,base_json,realized,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,base_json,realized,5216,5216.0,1,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,base_json,realized,4698,4698.0,2,27,4692,4687,4665,4660
1,sep,gpt-3.5-turbo,base_json,realized,4130,4130.0,0,20,4127,4126,4107,4106
1,oct,gpt-3.5-turbo,base_json,realized,6478,6478.0,1,41,6461,6460,6420,6419
1,nov,gpt-3.5-turbo,base_json,realized,5264,5264.0,1,0,5253,5232,5253,5232
1,dec,gpt-3.5-turbo,base_json,realized,3834,3834.0,0,0,3720,3713,3720,3713
1,jan,gpt-3.5-turbo,persona1,realized,4294,4294.0,0,44,4290,4290,4246,4246
1,feb,gpt-3.5-turbo,persona1,realized,4563,4563.0,1,0,4558,4551,4558,4551
1,mar,gpt-3.5-turbo,persona1,realized,3519,3519.0,1,0,3499,3489,3499,3489
1,apr,gpt-3.5-turbo,persona1,realized,4362,4362.0,0,25,4359,4269,4334,4244
1,may,gpt-3.5-turbo,persona1,realized,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,persona1,realized,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,persona1,realized,5216,5216.0,1,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,persona1,realized,4698,4698.0,1,27,4692,4687,4665,4660
1,sep,gpt-3.5-turbo,persona1,realized,4130,4130.0,1,20,4127,4126,4107,4106
1,oct,gpt-3.5-turbo,persona1,realized,6478,6478.0,0,41,6461,6460,6420,6419
1,nov,gpt-3.5-turbo,persona1,realized,5264,5264.0,1,0,5253,5232,5253,5232
1,dec,gpt-3.5-turbo,persona1,realized,3834,3834.0,1,0,3720,3713,3720,3713
1,jan,gpt-3.5-turbo,persona2,realized,4294,4294.0,0,44,4290,4290,4246,4246
1,feb,gpt-3.5-turbo,persona2,realized,4563,4563.0,0,0,4558,4551,4558,4551
1,mar,gpt-3.5-turbo,persona2,realized,3519,3519.0,1,0,3499,3489,3499,3489
1,apr,gpt-3.5-turbo,persona2,realized,4362,4362.0,0,25,4359,4269,4334,4244
1,may,gpt-3.5-turbo,persona2,realized,5066,5066.0,1,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,persona2,realized,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,persona2,realized,5216,5216.0,0,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,persona2,realized,4698,4698.0,0,27,4692,4687,4665,4660
1,sep,gpt-3.5-turbo,persona2,realized,4130,4130.0,1,20,4127,4126,4107,4106
1,oct,gpt-3.5-turbo,persona2,realized,6478,6478.0,0,41,6461,6460,6420,6419
1,nov,gpt-3.5-turbo,persona2,realized,5264,5264.0,0,0,5253,5232,5253,5232
1,dec,gpt-3.5-turbo,persona2,realized,3834,3834.0,0,0,3720,3713,3720,3713
1,jan,gpt-3.5-turbo,persona3,realized,4294,4294.0,0,44,4290,4290,4246,4246
1,feb,gpt-3.5-turbo,persona3,realized,4563,4563.0,0,0,4558,4551,4558,4551
1,mar,gpt-3.5-turbo,persona3,realized,3519,3519.0,0,0,3499,3489,3499,3489
1,apr,gpt-3.5-turbo,persona3,realized,4362,4362.0,0,25,4359,4269,4334,4244
1,may,gpt-3.5-turbo,persona3,realized,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,persona3,realized,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,persona3,realized,5216,5216.0,0,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,persona3,realized,4698,4698.0,0,27,4692,4687,4665,4660
1,sep,gpt-3.5-turbo,persona3,realized,4130,4130.0,0,20,4127,4126,4107,4106
1,oct,gpt-3.5-turbo,persona3,realized,6478,6478.0,0,41,6461,6460,6420,6419
1,nov,gpt-3.5-turbo,persona3,realized,5264,5264.0,0,0,5253,5232,5253,5232
1,dec,gpt-3.5-turbo,persona3,realized,3834,3834.0,0,0,3720,3713,3720,3713
1,jan,gpt-3.5-turbo,persona4,realized,4294,4294.0,0,44,4290,4290,4246,4246
1,feb,gpt-3.5-turbo,persona4,realized,4563,4563.0,0,0,4558,4551,4558,4551
1,mar,gpt-3.5-turbo,persona4,realized,3519,3519.0,0,0,3499,3489,3499,3489
1,apr,gpt-3.5-turbo,persona4,realized,4362,4362.0,0,25,4359,4269,4334,4244
1,may,gpt-3.5-turbo,persona4,realized,5066,5066.0,1,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,persona4,realized,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,persona4,realized,5216,5216.0,1,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,persona4,realized,4698,4698.0,0,27,4692,4687,4665,4660
1,sep,gpt-3.5-turbo,persona4,realized,4130,4130.0,0,20,4127,4126,4107,4106
1,oct,gpt-3.5-turbo,persona4,realized,6478,6478.0,0,41,6461,6460,6420,6419
1,nov,gpt-3.5-turbo,persona4,realized,5264,5264.0,0,0,5253,5232,5253,5232
1,dec,gpt-3.5-turbo,persona4,realized,3834,3834.0,0,0,3720,3713,3720,3713
1,jan,gpt-3.5-turbo,cot1,realized,4294,4294.0,0,44,4290,4290,4246,4246
1,feb,gpt-3.5-turbo,cot1,realized,4563,4563.0,0,0,4558,4551,4558,4551
1,mar,gpt-3.5-turbo,cot1,realized,3519,3519.0,0,0,3499,3489,3499,3489
1,apr,gpt-3.5-turbo,cot1,realized,4362,4362.0,0,25,4359,4269,4334,4244
1,may,gpt-3.5-turbo,cot1,realized,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,cot1,realized,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,cot1,realized,5216,5216.0,1,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,cot1,realized,4698,4698.0,1,27,4692,4687,4665,4660
1,sep,gpt-3.5-turbo,cot1,realized,4130,4130.0,0,20,4127,4126,4107,4106
1,oct,gpt-3.5-turbo,cot1,realized,6478,6478.0,0,41,6461,6460,6420,6419
1,nov,gpt-3.5-turbo,cot1,realized,5264,5264.0,0,0,5253,5232,5253,5232
1,dec,gpt-3.5-turbo,cot1,realized,3834,3834.0,0,0,3720,3713,3720,3713
1,jan,gpt-3.5-turbo,cot2,realized,4294,4294.0,0,44,4290,4290,4246,4246
1,feb,gpt-3.5-turbo,cot2,realized,4563,4563.0,0,0,4558,4551,4558,4551
1,mar,gpt-3.5-turbo,cot2,realized,3519,3519.0,0,0,3499,3489,3499,3489
1,apr,gpt-3.5-turbo,cot2,realized,4362,4362.0,0,25,4359,4269,4334,4244
1,may,gpt-3.5-turbo,cot2,realized,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,cot2,realized,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,cot2,realized,5216,5216.0,0,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,cot2,realized,4698,4698.0,1,27,4692,4687,4665,4660
1,sep,gpt-3.5-turbo,cot2,realized,4130,4130.0,0,20,4127,4126,4107,4106
1,oct,gpt-3.5-turbo,cot2,realized,6478,6478.0,1,41,6461,6460,6420,6419
1,nov,gpt-3.5-turbo,cot2,realized,5264,5264.0,0,0,5253,5232,5253,5232
1,dec,gpt-3.5-turbo,cot2,realized,3834,3834.0,0,0,3720,3713,3720,3713
