custom_id,company_name,headline,prompt_type,headline type,confidence,magnitude,explanation,input_tokens,output_tokens,headline type num,date,permno,ret_fd1,ret_fd5,ret_fd10,ret_ld1,ret_ld2,ret_ld3,ret,exret,b_mkt,mkt-rf,smb,hml,rf,exret_hat,exret_1,exret_2,exret_3,exret_4,exret_5,exret_6,exret_7,exret_8,exret_9,exret_10
4690,AGILENT TECHNOLOGIES INC,"Agilent Technologies Sees Q4 Adj. EPS $0.84-$0.86 vs $0.87 Est., Sales $1.31B-$1.33B vs $1.34B Est., Sees FY19 Adj. EPS $3.07-$3.08 vs $3.05 Est., Sales $5.105B-$5.125B vs $5.11B Est.",6,decrease,0.75,0.35,"near-term q4 guidance misses for both eps and sales are likely to drive a negative market reaction despite a slight fy eps upside, so the net effect should be a modest stock decline.",208,262,0.0,2019-08-14,87432.0,6.09849095344543,10.077757288850089,6.632118223536571,1.51583701372146,-1.4568764061181,-2.66225139773268,-3.0308,0.0892,1.0591,-2.95,0.22,-0.51,0.007,0.0865449999999996,5.922,0.489,-0.2695,-0.0937,0.6129,-0.5382,-0.242,-1.0242,0.2499,-0.0645
4698,AGILENT TECHNOLOGIES INC,"Agilent Technologies Q3 Adj. EPS $0.76 Beats $0.72 Estimate, Sales $1.27B Beat $1.24B Estimate",6,increase,0.8,0.4,"both adjusted eps and revenue beat consensus, a generally positive earnings surprise that is likely to lift the stock, though the ultimate move will depend on guidance and broader market sentiment.",156,329,2.0,2019-08-14,87432.0,6.09849095344543,10.077757288850089,6.632118223536571,1.51583701372146,-1.4568764061181,-2.66225139773268,-3.0308,0.0892,1.0591,-2.95,0.22,-0.51,0.007,0.0865449999999996,5.922,0.489,-0.2695,-0.0937,0.6129,-0.5382,-0.242,-1.0242,0.2499,-0.0645
4706,AGILENT TECHNOLOGIES INC,Q3 Earnings Preview For Agilent Technologies,6,uncertain,0.8,0.2,"a generic q3 earnings preview contains no concrete positive or negative results or guidance, so it is unlikely to drive a clear directional move and would mostly increase short-term uncertainty/volatility rather than cause a large price change.",132,340,1.0,2019-08-14,87432.0,6.09849095344543,10.077757288850089,6.632118223536571,1.51583701372146,-1.4568764061181,-2.66225139773268,-3.0308,0.0892,1.0591,-2.95,0.22,-0.51,0.007,0.0865449999999996,5.922,0.489,-0.2695,-0.0937,0.6129,-0.5382,-0.242,-1.0242,0.2499,-0.0645
4714,AGILENT TECHNOLOGIES INC,Agilent Announces Settlement of Key Intellectual Property Case in China,6,increase,0.7,0.2,"resolving a key ip dispute in china likely reduces legal and market-access risk for agilent, which investors should view positively, though the impact is probably modest absent details on settlement terms.",135,332,2.0,2019-08-01,87432.0,-1.63270812481641,0.4045638383655099,0.54904948507059,-1.05487937107682,-1.36421640274538,-0.1294911974476,-0.2881,0.7972,1.0439,-1.04,-0.42,-1.9,0.007,0.7905560000000001,-0.7315,-0.0576,1.3753,0.3774,0.1563,-0.4098,-1.5454,-0.0499,0.0892,5.922
4722,ALTISOURCE ASSET MANAGEMENT CORP,Altisource Asset Management Q2 EPS $1.81 Up From $(0.69) YoY,6,increase,0.75,0.45,"a large year-over-year swing from a loss to $1.81 eps is likely to be viewed positively and could lift the stock, though the effect may be moderated if the gain reflects one-time items, buybacks, or weak guidance.",147,343,2.0,2019-08-07,14127.0,2.27272734045982,-18.181818606155232,-9.09090970887018,2.9684662818908603,10.00991319524722,38.92366339979038,-0.9009,-0.9431,0.4942,0.07,0.08,-0.9,0.007,-0.942494,1.2922,-3.7883,0.8966,4.2955,-19.1409,0.9875,-1.0398,5.6289,-1.7054,4.8295
4730,APPLIED OPTOELECTRONICS INC,Applied Optoelectronics shares are trading higher after the company reported better-than-expected Q2 EPS and sales results.,6,increase,0.85,0.6,"an earnings and sales beat typically drives positive investor reaction and the report that shares are trading higher indicates immediate upward pressure, though longer-term direction depends on guidance and broader market context.",151,266,2.0,2019-08-07,14145.0,6.7580759525299,-8.81488369712841,-5.3868778125690495,3.26530300080776,1.6064242318878998,1.91338953641861,0.8893,0.7754,1.5299,0.07,0.08,-0.9,0.007,0.775207,3.7372,-1.8136,-5.691,-1.3277,-0.7449,-4.8836,1.5451,1.274,2.7011,-1.5061
4738,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics Q2 EPS $(0.26) Beats $(0.37) Estimate, Sales $43.4M Beat $42.49M Estimate",6,increase,0.7,0.3,"both eps and revenue beat analyst estimates, which should be viewed positively and likely pushes the stock up modestly, though eps remains negative and the beats are relatively small so upside is limited.",162,273,2.0,2019-08-07,14145.0,6.7580759525299,-8.81488369712841,-5.3868778125690495,3.26530300080776,1.6064242318878998,1.91338953641861,0.8893,0.7754,1.5299,0.07,0.08,-0.9,0.007,0.775207,3.7372,-1.8136,-5.691,-1.3277,-0.7449,-4.8836,1.5451,1.274,2.7011,-1.5061
4746,APPLIED OPTOELECTRONICS INC,A Preview Of Applied Optoelectronics Q2 Earnings,6,uncertain,0.6,0.3,"a generic earnings preview contains no clear positive or negative information about applied optoelectronics’ q2 results, so the impact on the stock is ambiguous and could move either way depending on the actual earnings details and guidance.",139,212,1.0,2019-08-07,14145.0,6.7580759525299,-8.81488369712841,-5.3868778125690495,3.26530300080776,1.6064242318878998,1.91338953641861,0.8893,0.7754,1.5299,0.07,0.08,-0.9,0.007,0.775207,3.7372,-1.8136,-5.691,-1.3277,-0.7449,-4.8836,1.5451,1.274,2.7011,-1.5061
4754,AAON INC,"AAON Q2 EPS $0.25 Misses $0.27 Estimate, Sales $119.4M Miss $128.36M Estimate",6,decrease,0.8,0.5,"both eps and revenue missed consensus estimates, a clearly negative earnings surprise that is likely to pressure the stock absent positive guidance or other offsets.",146,252,0.0,2019-08-01,76868.0,-10.14269590377807,-12.379486854662169,-12.51446511682338,-1.5694659203290902,0.23677760542404,-1.85471250161423,2.0866,3.2939,1.15,-1.04,-0.42,-1.9,0.007,3.2756,-9.1492,2.2477,-3.7248,-0.5318,-0.687,-2.3356,1.1352,0.9019,2.0882,2.0446
4762,ADVANCE AUTO PARTS INC,Here Comes The Sun: Advance Auto Parts Analysts Bullish After Stormy Q2,6,increase,0.75,0.55,"analysts turning bullish after a stormy q2 signals improved investor sentiment and expectations of recovery, likely putting upward pressure on the stock though recent weakness limits the upside.",138,333,2.0,2019-08-14,89217.0,0.7399769034236601,-0.19049723907073,0.19780860990135,0.04923471133224,-1.45500317292506,-1.5232272139683,-4.0357,-2.1749,0.6546,-2.95,0.22,-0.51,0.007,-2.11163,0.6282,-1.656,-0.9055,-0.2464,0.0855,0.9882,-0.113,-0.7249,0.2009,0.9523
