"prompt","model","V","regression","coef_name","coef","se","t","lci","uci"
1,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","3",0.314814814814815,0.0223521867331306,14.0842960276542,0.271005333842165,0.358624295787465
1,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","14",0.291612903225807,0.0163312025592943,17.8561806558358,0.259604334385361,0.323621472066252
1,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","15",0.313659359190556,0.0190590813658455,16.4572128724233,0.276304246135081,0.351014472246032
1,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","19",0.301221166892809,0.0169047673185155,17.8187112083398,0.268088431781489,0.334353902004129
1,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","20",0.395238095238095,0.0168737766532684,23.4232148119336,0.362166100714516,0.428310089761674
1,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","Other",0.312094217122151,0.00569521719159983,54.7993529697997,0.300931796542482,0.32325663770182
2,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","3",0.339009287925697,0.0186302012098058,18.1967593429566,0.302494764529743,0.37552381132165
2,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","14",0.294557097118463,0.014896224602244,19.7739430616594,0.265361033392445,0.323753160844481
2,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","15",0.297372060857538,0.0170048955075536,17.4874382924285,0.264043078101866,0.33070104361321
2,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","19",0.291764705882353,0.0155964596116619,18.7071113026313,0.261196206757162,0.322333205007544
2,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","20",0.396791443850267,0.0160044007634684,24.7926460799446,0.365423394759724,0.428159492940811
2,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","Other",0.311389405990862,0.00602576372875086,51.6763384706112,0.299579126103162,0.323199685878561
3,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","3",0.354515050167224,0.0195677158984934,18.117344507977,0.316163031746465,0.392867068587983
3,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","14",0.298936170212766,0.014936003760897,20.0144680597492,0.269662140768453,0.328210199657079
3,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","15",0.292942743009321,0.0166122715984629,17.6341171207691,0.260383288974936,0.325502197043706
3,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","19",0.293587174348697,0.0144199211027551,20.3598322249214,0.265324648327388,0.321849700370006
3,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","20",0.398947368421053,0.0158921471851252,25.1034277353322,0.367799332301198,0.430095404540908
3,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","Other",0.309560992538608,0.0060917460822864,50.8164635158958,0.297621389614364,0.321500595462852
4,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","3",0.363939899833055,0.0196644058294106,18.5075462228681,0.325398372630031,0.40248142703608
4,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","14",0.305376344086021,0.0151071079883569,20.2140836168892,0.275766956518285,0.334985731653758
4,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","15",0.308539944903581,0.0171475178704994,17.9932715179958,0.274931427453145,0.342148462354017
4,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","19",0.283832335329341,0.0156072137818479,18.1859708783803,0.253242758417902,0.31442191224078
4,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","20",0.392857142857143,0.0174475747659406,22.5164326920689,0.358660524698329,0.427053761015956
4,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","Other",0.309826967025792,0.00590990407906162,52.4250415710615,0.298243767878744,0.321410166172839
5,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","3",0.366541353383459,0.02089753855326,17.5399295208515,0.325582930453532,0.407499776313386
5,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","14",0.307086614173228,0.0154756666237505,19.8431913557729,0.276754864953929,0.337418363392528
5,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","15",0.301158301158301,0.0164629114695767,18.2931373782116,0.26889158759726,0.333425014719343
